k	program	signature	category	signature_genes_in_background	top_n	overlap_n	overlap_top50_n	overlap_genes	overlap_top50_genes	p_value	neg_log10_p
12	11	paracrine_communication	communication	12	100	0	0			1.0	-0.0
12	11	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
12	11	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
12	11	immune_contamination	contamination	13	100	12	12	AIF1,C1QA,C1QB,C1QC,CYBB,FOLR2,HLA-DQA1,HLA-DRA,MARCO,MS4A6A,PTPRC,TYROBP	AIF1,C1QA,C1QB,C1QC,CYBB,FOLR2,HLA-DQA1,HLA-DRA,MARCO,MS4A6A,PTPRC,TYROBP	1.0524942654286188e-17	16.977780261762597
12	11	mural_contamination	contamination	10	100	0	0			1.0	-0.0
12	11	endothelial_contamination	contamination	7	100	1	0	PECAM1		0.20905583688604873	0.6797377023445434
12	11	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
12	12	senescence_core	senescence	15	100	1	0	LMNB1		0.3954283587985156	0.4029321877586527
12	12	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
12	12	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
12	12	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
12	12	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
12	12	paracrine_communication	communication	12	100	1	0	TNFRSF12A		0.3312769380627967	0.4798087965982188
12	12	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
12	12	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
12	12	immune_contamination	contamination	13	100	3	0	HLA-DQA1,HLA-DRA,PTPRC		0.007783900365348736	2.1088027317140345
12	12	mural_contamination	contamination	10	100	0	0			1.0	-0.0
12	12	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
12	12	cycling_contamination	contamination	10	100	10	10	ASPM,BIRC5,CCNB2,CENPF,CEP55,MKI67,PIMREG,TOP2A,TPX2,UBE2C	ASPM,BIRC5,CCNB2,CENPF,CEP55,MKI67,PIMREG,TOP2A,TPX2,UBE2C	9.519843714272747e-16	15.021370181298938
14	1	senescence_core	senescence	15	100	1	0	TNFRSF10D		0.3954283587985156	0.4029321877586527
14	1	sasp_inflammatory	sasp	20	100	3	1	ICAM1,SAA1,SOCS3	SAA1	0.02626499908109733	1.5806226100550231
14	1	ecm_degradation	ecm_remodeling	17	100	2	2	LOX,MMP3	LOX,MMP3	0.10592506236370273	0.9750012716347
14	1	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	1	angiogenesis_hypoxia	communication	9	100	4	2	ADM,ANGPTL4,BNIP3,SLC2A1	ANGPTL4,BNIP3	0.00012272363799414472	3.9110717790684646
14	1	paracrine_communication	communication	12	100	1	1	ANGPTL4	ANGPTL4	0.3312769380627967	0.4798087965982188
14	1	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	1	generic_stress	generic_stress	14	100	7	7	DDIT4,FOS,MT1E,MT1M,MT1X,MT2A,TXNIP	DDIT4,FOS,MT1E,MT1M,MT1X,MT2A,TXNIP	9.649317722790935e-08	7.015503393361119
14	1	immune_contamination	contamination	13	100	1	0	CD14		0.3533761800303181	0.45176272825891506
14	1	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	1	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	1	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	2	senescence_core	senescence	15	100	0	0			1.0	-0.0
14	2	sasp_inflammatory	sasp	20	100	1	0	MIF		0.4890811644551101	0.31061906245110604
14	2	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
14	2	fibrocartilage_matrix	fibrocartilage	16	100	4	3	CHAD,CILP,DCN,PRELP	CILP,DCN,PRELP	0.0014832472387454557	2.8287864514845102
14	2	angiogenesis_hypoxia	communication	9	100	1	0	MIF		0.26039353388855496	0.5843698044025643
14	2	paracrine_communication	communication	12	100	3	2	CCN1,CCN2,MIF	CCN1,CCN2	0.006132741775973217	2.212345321246125
14	2	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	2	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	2	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	2	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	2	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	2	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	3	senescence_core	senescence	15	100	3	2	GADD45B,GADD45G,IGFBP7	GADD45B,GADD45G	0.011805608462311426	1.92791162442478
14	3	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
14	3	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
14	3	fibrocartilage_matrix	fibrocartilage	16	100	7	4	CHAD,CILP,COMP,DCN,FRZB,MGP,PRELP	CHAD,COMP,DCN,FRZB	3.046244913296513e-07	6.516235183003477
14	3	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
14	3	paracrine_communication	communication	12	100	0	0			1.0	-0.0
14	3	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	3	generic_stress	generic_stress	14	100	1	1	IER3	IER3	0.37475217407890277	0.42625583896605546
14	3	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	3	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	3	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	3	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	4	senescence_core	senescence	15	100	0	0			1.0	-0.0
14	4	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
14	4	ecm_degradation	ecm_remodeling	17	100	3	1	COL1A2,COL3A1,HTRA1	COL3A1	0.016822689959406997	1.7741045590065203
14	4	fibrocartilage_matrix	fibrocartilage	16	100	14	13	ACAN,CHAD,CILP,CILP2,COL11A1,COL2A1,COL9A2,COL9A3,COMP,DCN,FMOD,MGP,PRELP,SCRG1	ACAN,CILP,CILP2,COL11A1,COL2A1,COL9A2,COL9A3,COMP,DCN,FMOD,MGP,PRELP,SCRG1	7.912505864467558e-20	19.101685955090865
14	4	angiogenesis_hypoxia	communication	9	100	1	1	ANGPTL2	ANGPTL2	0.26039353388855496	0.5843698044025643
14	4	paracrine_communication	communication	12	100	0	0			1.0	-0.0
14	4	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	4	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	4	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	4	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	4	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	4	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	5	senescence_core	senescence	15	100	0	0			1.0	-0.0
14	5	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
14	5	ecm_degradation	ecm_remodeling	17	100	1	1	MMP2	MMP2	0.43477131809319347	0.3617391140906241
14	5	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	5	angiogenesis_hypoxia	communication	9	100	1	1	CXCL12	CXCL12	0.26039353388855496	0.5843698044025643
14	5	paracrine_communication	communication	12	100	1	1	CXCL12	CXCL12	0.3312769380627967	0.4798087965982188
14	5	progenitor_interface	progenitor_interface	8	100	1	1	THY1	THY1	0.23515099238304482	0.6286531841066286
14	5	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	5	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	5	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	5	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	5	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	6	senescence_core	senescence	15	100	1	0	GADD45A		0.3954283587985156	0.4029321877586527
14	6	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
14	6	ecm_degradation	ecm_remodeling	17	100	2	1	ADAMTS5,MMP2	ADAMTS5	0.10592506236370273	0.9750012716347
14	6	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	6	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
14	6	paracrine_communication	communication	12	100	0	0			1.0	-0.0
14	6	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	6	generic_stress	generic_stress	14	100	1	1	JUN	JUN	0.37475217407890277	0.42625583896605546
14	6	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	6	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	6	endothelial_contamination	contamination	7	100	1	1	RAMP2	RAMP2	0.20905583688604873	0.6797377023445434
14	6	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	7	senescence_core	senescence	15	100	2	0	IGFBP7,SERPINE1		0.08528558800432069	1.0691243519392781
14	7	sasp_inflammatory	sasp	20	100	1	0	SERPINE1		0.4890811644551101	0.31061906245110604
14	7	ecm_degradation	ecm_remodeling	17	100	6	5	COL1A1,COL1A2,COL3A1,MMP2,POSTN,TGFBI	COL1A1,COL1A2,COL3A1,POSTN,TGFBI	1.0100702308391408e-05	4.995648428390129
14	7	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	7	angiogenesis_hypoxia	communication	9	100	1	1	ANGPTL2	ANGPTL2	0.26039353388855496	0.5843698044025643
14	7	paracrine_communication	communication	12	100	1	0	TNFRSF12A		0.3312769380627967	0.4798087965982188
14	7	progenitor_interface	progenitor_interface	8	100	1	1	THY1	THY1	0.23515099238304482	0.6286531841066286
14	7	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	7	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	7	mural_contamination	contamination	10	100	1	0	TAGLN		0.2848110468007849	0.5454431699804685
14	7	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	7	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	8	senescence_core	senescence	15	100	0	0			1.0	-0.0
14	8	sasp_inflammatory	sasp	20	100	1	0	CXCL1		0.4890811644551101	0.31061906245110604
14	8	ecm_degradation	ecm_remodeling	17	100	2	2	HTRA1,TIMP3	HTRA1,TIMP3	0.10592506236370273	0.9750012716347
14	8	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	8	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
14	8	paracrine_communication	communication	12	100	1	1	HBEGF	HBEGF	0.3312769380627967	0.4798087965982188
14	8	progenitor_interface	progenitor_interface	8	100	5	5	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	1.8119298257958483e-06	5.7418586261182485
14	8	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	8	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	8	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	8	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	8	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	9	senescence_core	senescence	15	100	1	0	TNFRSF10D		0.3954283587985156	0.4029321877586527
14	9	sasp_inflammatory	sasp	20	100	3	3	IL11,MIF,PTGS2	IL11,MIF,PTGS2	0.02626499908109733	1.5806226100550231
14	9	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
14	9	fibrocartilage_matrix	fibrocartilage	16	100	2	2	COL2A1,SOX9	COL2A1,SOX9	0.09544243031613857	1.0202585104583135
14	9	angiogenesis_hypoxia	communication	9	100	5	5	ANGPTL4,BNIP3,MIF,SLC2A1,VEGFA	ANGPTL4,BNIP3,MIF,SLC2A1,VEGFA	3.97058562884604e-06	5.40114543363508
14	9	paracrine_communication	communication	12	100	7	7	ANGPTL4,BMP2,IL11,INHBA,MIF,TNFRSF12A,VEGFA	ANGPTL4,BMP2,IL11,INHBA,MIF,TNFRSF12A,VEGFA	2.3512173889923828e-08	7.628707214994515
14	9	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	9	generic_stress	generic_stress	14	100	2	1	DDIT3,HSPA5	HSPA5	0.07548825739871948	1.1221205999412116
14	9	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	9	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	9	endothelial_contamination	contamination	7	100	1	0	FLT1		0.20905583688604873	0.6797377023445434
14	9	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	10	senescence_core	senescence	15	100	5	3	BTG2,CDKN1A,GADD45B,HMOX1,TNFRSF10D	BTG2,CDKN1A,HMOX1	8.07881542610925e-05	4.092652313930708
14	10	sasp_inflammatory	sasp	20	100	12	7	CCL2,CXCL1,CXCL2,CXCL3,CXCL8,ICAM1,IL6,NFKBIA,PTGS2,SOCS3,TNFAIP3,TNFAIP6	CXCL2,CXCL3,ICAM1,IL6,NFKBIA,PTGS2,SOCS3	8.428934945030851e-14	13.074227298058277
14	10	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
14	10	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	10	angiogenesis_hypoxia	communication	9	100	1	1	HMOX1	HMOX1	0.26039353388855496	0.5843698044025643
14	10	paracrine_communication	communication	12	100	3	1	BMP2,CCN1,INHBA	CCN1	0.006132741775973217	2.212345321246125
14	10	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	10	generic_stress	generic_stress	14	100	5	4	ATF3,FOS,HMOX1,IER3,PPP1R15A	ATF3,HMOX1,IER3,PPP1R15A	5.529551904587946e-05	4.257310060964683
14	10	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	10	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	10	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	10	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	11	senescence_core	senescence	15	100	1	1	IGFBP5	IGFBP5	0.3954283587985156	0.4029321877586527
14	11	sasp_inflammatory	sasp	20	100	1	1	TNFAIP6	TNFAIP6	0.4890811644551101	0.31061906245110604
14	11	ecm_degradation	ecm_remodeling	17	100	4	4	FN1,HTRA1,TIMP1,TIMP3	FN1,HTRA1,TIMP1,TIMP3	0.0018910338451440306	2.7233006982159047
14	11	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	11	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
14	11	paracrine_communication	communication	12	100	0	0			1.0	-0.0
14	11	progenitor_interface	progenitor_interface	8	100	2	2	PRG4,TIMP3	PRG4,TIMP3	0.02638974840707613	1.578564750209635
14	11	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	11	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	11	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	11	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	11	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	12	senescence_core	senescence	15	100	1	1	IGFBP7	IGFBP7	0.3954283587985156	0.4029321877586527
14	12	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
14	12	ecm_degradation	ecm_remodeling	17	100	1	0	ADAMTS4		0.43477131809319347	0.3617391140906241
14	12	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	12	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
14	12	paracrine_communication	communication	12	100	0	0			1.0	-0.0
14	12	progenitor_interface	progenitor_interface	8	100	3	3	MCAM,SPARCL1,THY1	MCAM,SPARCL1,THY1	0.001718612309643267	2.764822081877302
14	12	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	12	immune_contamination	contamination	13	100	0	0			1.0	-0.0
14	12	mural_contamination	contamination	10	100	10	9	ACTA2,ADGRF5,COX4I2,GJA4,MCAM,MYH11,RGS5,SYNPO2,TAGLN,TINAGL1	ACTA2,ADGRF5,COX4I2,GJA4,MCAM,RGS5,SYNPO2,TAGLN,TINAGL1	9.519843714272747e-16	15.021370181298938
14	12	endothelial_contamination	contamination	7	100	1	0	EMCN		0.20905583688604873	0.6797377023445434
14	12	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	13	senescence_core	senescence	15	100	0	0			1.0	-0.0
14	13	sasp_inflammatory	sasp	20	100	4	1	CCL3,CCL4,CXCL8,TNFAIP3	CCL4	0.003567942938810839	2.4475820997997664
14	13	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
14	13	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	13	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
14	13	paracrine_communication	communication	12	100	0	0			1.0	-0.0
14	13	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	13	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	13	immune_contamination	contamination	13	100	12	12	AIF1,C1QA,C1QB,C1QC,CYBB,FOLR2,HLA-DQA1,HLA-DRA,MARCO,MS4A6A,PTPRC,TYROBP	AIF1,C1QA,C1QB,C1QC,CYBB,FOLR2,HLA-DQA1,HLA-DRA,MARCO,MS4A6A,PTPRC,TYROBP	1.0524942654286188e-17	16.977780261762597
14	13	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	13	endothelial_contamination	contamination	7	100	1	0	PECAM1		0.20905583688604873	0.6797377023445434
14	13	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
14	14	senescence_core	senescence	15	100	1	0	LMNB1		0.3954283587985156	0.4029321877586527
14	14	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
14	14	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
14	14	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
14	14	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
14	14	paracrine_communication	communication	12	100	1	0	TNFRSF12A		0.3312769380627967	0.4798087965982188
14	14	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
14	14	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
14	14	immune_contamination	contamination	13	100	3	0	HLA-DQA1,HLA-DRA,PTPRC		0.007783900365348736	2.1088027317140345
14	14	mural_contamination	contamination	10	100	0	0			1.0	-0.0
14	14	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
14	14	cycling_contamination	contamination	10	100	10	10	ASPM,BIRC5,CCNB2,CENPF,CEP55,MKI67,PIMREG,TOP2A,TPX2,UBE2C	ASPM,BIRC5,CCNB2,CENPF,CEP55,MKI67,PIMREG,TOP2A,TPX2,UBE2C	9.519843714272747e-16	15.021370181298938
16	1	senescence_core	senescence	15	100	0	0			1.0	-0.0
16	1	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
16	1	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
16	1	fibrocartilage_matrix	fibrocartilage	16	100	2	1	CILP,FMOD	CILP	0.09544243031613857	1.0202585104583135
16	1	angiogenesis_hypoxia	communication	9	100	1	0	ANGPTL2		0.26039353388855496	0.5843698044025643
16	1	paracrine_communication	communication	12	100	1	1	CCN2	CCN2	0.3312769380627967	0.4798087965982188
16	1	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
16	1	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
16	1	immune_contamination	contamination	13	100	0	0			1.0	-0.0
16	1	mural_contamination	contamination	10	100	0	0			1.0	-0.0
16	1	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
16	1	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
16	2	senescence_core	senescence	15	100	1	0	TNFRSF10D		0.3954283587985156	0.4029321877586527
16	2	sasp_inflammatory	sasp	20	100	2	2	ICAM1,SAA1	ICAM1,SAA1	0.1390168715158232	0.8569324892309466
16	2	ecm_degradation	ecm_remodeling	17	100	1	1	LOX	LOX	0.43477131809319347	0.3617391140906241
16	2	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
16	2	angiogenesis_hypoxia	communication	9	100	4	3	ADM,ANGPTL4,BNIP3,SLC2A1	ADM,ANGPTL4,BNIP3	0.00012272363799414472	3.9110717790684646
16	2	paracrine_communication	communication	12	100	1	1	ANGPTL4	ANGPTL4	0.3312769380627967	0.4798087965982188
16	2	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
16	2	generic_stress	generic_stress	14	100	7	5	DDIT4,FOS,MT1E,MT1M,MT1X,MT2A,TXNIP	DDIT4,MT1E,MT1M,MT1X,MT2A	9.649317722790935e-08	7.015503393361119
16	2	immune_contamination	contamination	13	100	1	0	CD14		0.3533761800303181	0.45176272825891506
16	2	mural_contamination	contamination	10	100	0	0			1.0	-0.0
16	2	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
16	2	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
16	3	senescence_core	senescence	15	100	3	2	GADD45B,GADD45G,IGFBP7	GADD45B,GADD45G	0.011805608462311426	1.92791162442478
16	3	sasp_inflammatory	sasp	20	100	1	0	NFKBIA		0.4890811644551101	0.31061906245110604
16	3	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
16	3	fibrocartilage_matrix	fibrocartilage	16	100	6	2	CHAD,CILP,COMP,DCN,FRZB,MGP	CHAD,FRZB	6.713623089927696e-06	5.1730430441662545
16	3	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
16	3	paracrine_communication	communication	12	100	0	0			1.0	-0.0
16	3	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
16	3	generic_stress	generic_stress	14	100	1	1	IER3	IER3	0.37475217407890277	0.42625583896605546
16	3	immune_contamination	contamination	13	100	0	0			1.0	-0.0
16	3	mural_contamination	contamination	10	100	0	0			1.0	-0.0
16	3	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
16	3	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
16	4	senescence_core	senescence	15	100	0	0			1.0	-0.0
16	4	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
16	4	ecm_degradation	ecm_remodeling	17	100	1	1	MMP2	MMP2	0.43477131809319347	0.3617391140906241
16	4	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
16	4	angiogenesis_hypoxia	communication	9	100	1	1	CXCL12	CXCL12	0.26039353388855496	0.5843698044025643
16	4	paracrine_communication	communication	12	100	1	1	CXCL12	CXCL12	0.3312769380627967	0.4798087965982188
16	4	progenitor_interface	progenitor_interface	8	100	1	0	THY1		0.23515099238304482	0.6286531841066286
16	4	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
16	4	immune_contamination	contamination	13	100	0	0			1.0	-0.0
16	4	mural_contamination	contamination	10	100	0	0			1.0	-0.0
16	4	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
16	4	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
16	5	senescence_core	senescence	15	100	0	0			1.0	-0.0
16	5	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
16	5	ecm_degradation	ecm_remodeling	17	100	3	1	COL1A2,COL3A1,HTRA1	COL3A1	0.016822689959406997	1.7741045590065203
16	5	fibrocartilage_matrix	fibrocartilage	16	100	15	13	ACAN,CHAD,CILP,CILP2,COL11A1,COL2A1,COL9A2,COL9A3,COMP,DCN,FMOD,FRZB,MGP,PRELP,SCRG1	ACAN,CILP,CILP2,COL11A1,COL2A1,COL9A2,COL9A3,COMP,DCN,FMOD,MGP,PRELP,SCRG1	3.0827374602485886e-22	21.51106346016496
16	5	angiogenesis_hypoxia	communication	9	100	1	1	ANGPTL2	ANGPTL2	0.26039353388855496	0.5843698044025643
16	5	paracrine_communication	communication	12	100	0	0			1.0	-0.0
16	5	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
16	5	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
16	5	immune_contamination	contamination	13	100	0	0			1.0	-0.0
16	5	mural_contamination	contamination	10	100	0	0			1.0	-0.0
16	5	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
16	5	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
16	6	senescence_core	senescence	15	100	1	0	BTG2		0.3954283587985156	0.4029321877586527
16	6	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
16	6	ecm_degradation	ecm_remodeling	17	100	2	2	ADAMTS5,MMP3	ADAMTS5,MMP3	0.10592506236370273	0.9750012716347
16	6	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
16	6	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
16	6	paracrine_communication	communication	12	100	0	0			1.0	-0.0
16	6	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
16	6	generic_stress	generic_stress	14	100	5	1	ATF3,DDIT4,FOS,JUN,TXNIP	JUN	5.529551904587946e-05	4.257310060964683
16	6	immune_contamination	contamination	13	100	0	0			1.0	-0.0
16	6	mural_contamination	contamination	10	100	0	0			1.0	-0.0
16	6	endothelial_contamination	contamination	7	100	1	0	RAMP2		0.20905583688604873	0.6797377023445434
16	6	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
16	7	senescence_core	senescence	15	100	1	0	BTG2		0.3954283587985156	0.4029321877586527
16	7	sasp_inflammatory	sasp	20	100	2	1	MIF,SOCS3	MIF	0.1390168715158232	0.8569324892309466
16	7	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
16	7	fibrocartilage_matrix	fibrocartilage	16	100	7	5	ACAN,CHAD,CILP,COMP,DCN,FRZB,PRELP	CHAD,COMP,DCN,FRZB,PRELP	3.046244913296513e-07	6.516235183003477
16	7	angiogenesis_hypoxia	communication	9	100	2	1	BNIP3,MIF	MIF	0.033210660338964235	1.4787224890894424
16	7	paracrine_communication	communication	12	100	3	3	CCN1,CCN2,MIF	CCN1,CCN2,MIF	0.006132741775973217	2.212345321246125
16	7	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
16	7	generic_stress	generic_stress	14	100	5	2	DDIT4,FOS,MT1E,MT1X,TXNIP	MT1E,TXNIP	5.529551904587946e-05	4.257310060964683
16	7	immune_contamination	contamination	13	100	0	0			1.0	-0.0
16	7	mural_contamination	contamination	10	100	0	0			1.0	-0.0
16	7	endothelial_contamination	contamination	7	100	1	0	CLDN5		0.20905583688604873	0.6797377023445434
16	7	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
16	8	senescence_core	senescence	15	100	0	0			1.0	-0.0
16	8	sasp_inflammatory	sasp	20	100	1	0	CXCL1		0.4890811644551101	0.31061906245110604
16	8	ecm_degradation	ecm_remodeling	17	100	2	2	HTRA1,TIMP3	HTRA1,TIMP3	0.10592506236370273	0.9750012716347
16	8	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
16	8	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
16	8	paracrine_communication	communication	12	100	1	1	HBEGF	HBEGF	0.3312769380627967	0.4798087965982188
16	8	progenitor_interface	progenitor_interface	8	100	5	5	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	1.8119298257958483e-06	5.7418586261182485
16	8	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
16	8	immune_contamination	contamination	13	100	0	0			1.0	-0.0
16	8	mural_contamination	contamination	10	100	0	0			1.0	-0.0
16	8	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
16	8	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
16	9	senescence_core	senescence	15	100	5	3	BTG2,CDKN1A,GADD45B,HMOX1,TNFRSF10D	BTG2,CDKN1A,HMOX1	8.07881542610925e-05	4.092652313930708
