axis_id	ligand	receiver_context	target_gene_set_name	source	genes	n_genes
IL11_gp130	IL11	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	CCL2;CXCL1;CXCL2;CXCL8;IL6;MMP1;MMP13;MMP3;MMP9;TIMP1;AIF1;C1QA;C1QB;CD68;CD74;FCGR3A;LST1;LYZ;PTPRC;TYROBP;C1R;C1S;CCL3;CFD;FOS;IER3;JUN;NFKBIA;PTGS2;SOD2	30
IL11_gp130	IL11	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;ABL2;MAT2A;HMOX1;PPP1R15A;KDM6B;IER3;NFKBIA;IRF1;MYC;NR4A3;NFKBIZ;SOCS3;ARID5B;NR4A2;IL6;ATF3;NR4A1;KCNQ1OT1;HSPH1	21
IL6_gp130	IL6	GSE220243_meniscus:endothelial	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	CCL2;CXCL1;CXCL2;CXCL8;IL6;MMP1;MMP13;MMP3;MMP9;TIMP1;AIF1;C1QA;C1QB;CD68;CD74;FCGR3A;LST1;LYZ;PTPRC;TYROBP;C1R;C1S;CCL3;CFD;FOS;IER3;JUN;NFKBIA;PTGS2;SOD2	30
IL6_gp130	IL6	GSE220243_meniscus:endothelial	inflammatory_sasp_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;ABL2;MAT2A;HMOX1;PPP1R15A;KDM6B;IER3;NFKBIA;IRF1;MYC;NR4A3;NFKBIZ;SOCS3;ARID5B;NR4A2;IL6;ATF3;NR4A1;KCNQ1OT1;HSPH1	21
INHBA_activin	INHBA	HRA001986_chondrocyte:Ch.4(CFD)	remodeling_msp_programs	gse220243_cnmf_program_interpretation_priority	RPS17;RPL17;EEF1G;GAS5;NME2;MIF;SNHG29;GABARAP;RNASEK;VEGFA;SEPTIN7;SNHG5;SERPINA3;BMP2;MICOS10;TNFRSF12A;ECRG4;HSPA5;FOSL1;CHAC1;FGF2;PAPSS2;PTGS2;KDM6B;CDKN1A;INHBA;SDF2L1;RCAN1;GLIS3	29
INHBA_activin	INHBA	HRA001986_chondrocyte:Ch.4(CFD)	sasp_matrix_remodeling	bulk_cell_state_proxy_signature_gene_sets	ADAMTS5;ALPL;COL10A1;IBSP;MMP13;MMP3;RUNX2;SPP1;ACAN;BGN;CHAD;CILP;COL2A1;COMP;FMOD;FRZB;PCOLCE2;PRELP;CXCL1;CXCL2;CXCL8;IL6;MMP1;MMP9;SERPINE1;TIMP1	26
LIF_gp130	LIF	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	CCL2;CXCL1;CXCL2;CXCL8;IL6;MMP1;MMP13;MMP3;MMP9;TIMP1;AIF1;C1QA;C1QB;CD68;CD74;FCGR3A;LST1;LYZ;PTPRC;TYROBP;C1R;C1S;CCL3;CFD;FOS;IER3;JUN;NFKBIA;PTGS2;SOD2	30
LIF_gp130	LIF	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;ABL2;MAT2A;HMOX1;PPP1R15A;KDM6B;IER3;NFKBIA;IRF1;MYC;NR4A3;NFKBIZ;SOCS3;ARID5B;NR4A2;IL6;ATF3;NR4A1;KCNQ1OT1;HSPH1	21
MIF_CD74	MIF	GSE220243_meniscus:immune_myeloid	communication_axes	bulk_cell_state_proxy_signature_gene_sets	ANGPTL4;CCN1;CCN2;CXCL12;FGF2;IL11;MIF;POSTN;SPP1;VEGFA	10
MIF_CD74	MIF	GSE220243_meniscus:immune_myeloid	msp_primary_cnmf_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;PPP1R15A;ABL2;MAT2A;HMOX1;KDM6B;IRF1;NFKBIA;MYC;IER3;SOCS3;ATF3;NR4A3;NFKBIZ;ARID5B;NR4A1;KCNQ1OT1;NR4A2;HSPH1;TNFRSF12A;VEGFA;BMP2;HSPA5;RPS17;MIF;RPL17;PTGS2;FOSL1;INHBA;SDF2L1;CHAC1;RCAN1;SERPINA3;GLIS3;EEF1G;NME2;GAS5;ANGPTL4;IL11;SLC2A1;FGF2;BNIP3;EGLN3;EIF4EBP1;BHLHE40;RFLNB	47
