reference_name	gene	state	mean_expression	marker_score	marker_rank
GSE220243_broad	FOLR2	inflammatory_like	0.0007976791239343584	-1.6357660293579102	38167
GSE220243_broad	SCRG1	inflammatory_like	0.4850400686264038	-1.63690984249115	38168
GSE220243_broad	MARCO	inflammatory_like	0.0008178073330782354	-1.6563869714736938	38169
GSE220243_broad	FMOD	inflammatory_like	0.9254579544067383	-1.6885533332824707	38171
GSE220243_broad	TPM1	inflammatory_like	0.3357965052127838	-1.6959055662155151	38172
GSE220243_broad	HLA-DQB1	inflammatory_like	0.02163246087729931	-1.712108850479126	38173
GSE220243_broad	CXCR4	inflammatory_like	0.009490680880844593	-1.7218942642211914	38174
GSE220243_broad	HLA-DQA1	inflammatory_like	0.0010827835649251938	-1.7247140407562256	38175
GSE220243_broad	CYBB	inflammatory_like	0.0007801827741786838	-1.7305821180343628	38176
GSE220243_broad	C11ORF96	inflammatory_like	0.9255709648132324	-1.7549057006835938	38178
GSE220243_broad	PECAM1	inflammatory_like	0.00788851734250784	-1.7753784656524658	38179
GSE220243_broad	LYZ	inflammatory_like	0.0022943364456295967	-1.7986180782318115	38181
GSE220243_broad	SELENOP	inflammatory_like	0.517390251159668	-1.8062009811401367	38182
GSE220243_broad	PTPRC	inflammatory_like	0.0013460377231240273	-1.8205485343933105	38184
GSE220243_broad	CTSB	inflammatory_like	0.40119612216949463	-1.8287066221237183	38185
GSE220243_broad	AQP1	inflammatory_like	0.0810169130563736	-1.8340595960617065	38186
GSE220243_broad	NR2F2	inflammatory_like	0.22113831341266632	-1.8544365167617798	38187
GSE220243_broad	CYBA	inflammatory_like	0.3234640657901764	-1.8637765645980835	38188
GSE220243_broad	TPM2	inflammatory_like	0.5930478572845459	-1.891432523727417	38189
GSE220243_broad	TM4SF1	inflammatory_like	0.30141764879226685	-1.9078783988952637	38190
GSE220243_broad	LAPTM5	inflammatory_like	0.021574759855866432	-1.9089045524597168	38191
GSE220243_broad	MS4A6A	inflammatory_like	0.000811518169939518	-1.9161624908447266	38192
GSE220243_broad	CILP	inflammatory_like	0.8536761999130249	-1.9705537557601929	38194
GSE220243_broad	CTSZ	inflammatory_like	0.28433096408843994	-2.006349563598633	38195
GSE220243_broad	CTSS	inflammatory_like	0.02666686661541462	-2.025466203689575	38197
GSE220243_broad	FCER1G	inflammatory_like	0.00945238582789898	-2.040792465209961	38198
GSE220243_broad	HLA-DRB5	inflammatory_like	0.034289222210645676	-2.0835466384887695	38199
GSE220243_broad	CALD1	inflammatory_like	0.9216886758804321	-2.1079959869384766	38200
GSE220243_broad	COL3A1	inflammatory_like	0.3110158145427704	-2.113891124725342	38201
GSE220243_broad	C1QC	inflammatory_like	0.002190658589825034	-2.1377289295196533	38202
GSE220243_broad	IFI27	inflammatory_like	0.17957809567451477	-2.165116310119629	38203
GSE220243_broad	COL1A2	inflammatory_like	0.45205581188201904	-2.276154041290283	38204
GSE220243_broad	GNG11	inflammatory_like	0.1961795538663864	-2.3045923709869385	38205
GSE220243_broad	HLA-DPB1	inflammatory_like	0.24550047516822815	-2.306962013244629	38206
GSE220243_broad	C1QB	inflammatory_like	0.00326398853212595	-2.3322036266326904	38207
GSE220243_broad	MYL9	inflammatory_like	0.26869186758995056	-2.33803129196167	38208
GSE220243_broad	AIF1	inflammatory_like	0.0022614747285842896	-2.353450298309326	38209
GSE220243_broad	TYROBP	inflammatory_like	0.003937527071684599	-2.5226433277130127	38210
GSE220243_broad	HLA-DPA1	inflammatory_like	0.05198561027646065	-2.540386199951172	38211
GSE220243_broad	ACTA2	inflammatory_like	0.11528877168893814	-2.5509908199310303	38212
GSE220243_broad	C1QA	inflammatory_like	0.0032436831388622522	-2.642695903778076	38213
GSE220243_broad	RNASE1	inflammatory_like	0.006914800498634577	-2.678331136703491	38214
GSE220243_broad	SRGN	inflammatory_like	0.07075867801904678	-2.7126779556274414	38216
GSE220243_broad	RGS5	inflammatory_like	0.021700747311115265	-2.7560977935791016	38217
GSE220243_broad	HLA-DRB1	inflammatory_like	0.07868245244026184	-3.1302831172943115	38220
GSE220243_broad	IGFBP7	inflammatory_like	0.9860690832138062	-3.203273296356201	38221
GSE220243_broad	HLA-DRA	inflammatory_like	0.02241312898695469	-3.4182121753692627	38222
GSE220243_broad	TAGLN	inflammatory_like	0.3537842035293579	-3.4957847595214844	38223
GSE220243_broad	CD74	inflammatory_like	0.06927480548620224	-3.6356875896453857	38224
GSE220243_broad	TAGLN	mural_smooth_muscle	3.8495688438415527	2.863983392715454	1
GSE220243_broad	ACTA2	mural_smooth_muscle	2.6662795543670654	2.4356281757354736	2
GSE220243_broad	RGS5	mural_smooth_muscle	2.777798652648926	2.3707733154296875	3
GSE220243_broad	MYL9	mural_smooth_muscle	2.6067230701446533	1.7144752740859985	4
GSE220243_broad	C11ORF96	mural_smooth_muscle	2.680476665496826	1.6596417427062988	5
GSE220243_broad	TPM2	mural_smooth_muscle	2.484480381011963	1.636785626411438	6
GSE220243_broad	TPM1	mural_smooth_muscle	2.0317020416259766	1.3091888427734375	7
GSE220243_broad	CALD1	mural_smooth_muscle	3.029684543609619	1.2543023824691772	8
GSE220243_broad	NR2F2	mural_smooth_muscle	2.0755748748779297	1.1695444583892822	9
GSE220243_broad	CPE	mural_smooth_muscle	1.3071333169937134	1.150869607925415	10
GSE220243_broad	PPP1R14A	mural_smooth_muscle	1.3006517887115479	1.1046184301376343	11
GSE220243_broad	SYNPO2	mural_smooth_muscle	1.2251243591308594	1.0891835689544678	12
GSE220243_broad	MYH11	mural_smooth_muscle	1.0845500230789185	1.0342819690704346	13
GSE220243_broad	IGFBP7	mural_smooth_muscle	4.189342498779297	1.0331363677978516	14
