leiden	n_cells	n_samples	fibrochondrocyte_core_score	inner_chondrocyte_like_score	outer_fibrous_like_score	progenitor_prg4_gdf5_score	catabolic_hypertrophic_score	inflammatory_sasp_like_score	synovial_lining_like_score	endothelial_score	mural_smooth_muscle_score	immune_myeloid_score	t_nk_score	b_plasma_score	cycling_score	erythrocyte_score	OA	normal
0	12813	11	0.8420209932327269	-0.1268782069542185	0.7586363220214845	-0.1550428491319929	-0.04810089051723482	0.758445349799262	-0.0984306664466858	-0.10799798011779785	-0.312502197265625	-0.09354939460754394	-0.021140552520751952	-0.06575160821278891	-0.150076016108195	-0.01339650249864203	6	12807
1	3350	6	0.6664624738693238	-0.27176918686975093	1.0339421844482422	-0.0334014083317348	-0.12826872433225314	0.9685356754726833	-0.03597339057922362	-0.020967012246449784	-0.1787855073213577	-0.059143704970677696	-0.024927264213562013	-0.1177943714459737	-0.15209200286865232	-0.015615208081930995	2	3348
2	8954	14	1.50074800491333	-0.2570325705899771	1.6709779763221742	0.25106724739074704	-0.21811215040584406	0.6307965914408367	0.1609954849878947	-0.07622226109107336	-0.07495001896222434	-0.10215674877166747	-0.023510064125061035	-0.21636278053124747	-0.1744878845214844	-0.015163254067600971	6701	2253
3	3038	14	-0.569381178021431	-0.28548836333616256	0.04255600392818451	0.09516847528730119	-0.20716881434122722	0.6211987389458551	0.07180552538235982	1.1509087785085041	-0.06773307832082115	-0.12976290225982667	-0.027711809158325197	-0.21469403972228368	-0.13088428397973378	-0.021883240665297912	1171	1867
4	2302	11	0.10169344902038574	-0.22739056506788874	0.4528466844558716	0.06092753553390502	-0.10718158230185508	0.6960512373182508	0.0968689903418223	-0.07000075340270996	-0.12080495456854505	-0.06330279350280762	-0.016466606140136716	-0.17241923173268636	-0.07358778250217438	-0.010517330533529382	10	2292
5	16	1	-0.8244221079349517	-0.3155960481329615	-0.22447987794876098	0.12643314143589562	-0.2501230239868164	0.49089152336120606	0.06260903565088907	1.4899949645996093	0.041227428913116454	-0.120471248626709	-0.026606282234191894	-0.22855089783668517	-0.21568621826171874	-0.014465939088997593	0	16
6	5601	11	1.53784836769104	0.263602376052585	1.0905990982055664	-0.061156865801130056	-0.15137152920166652	0.6370259433322483	0.016560852845509844	-0.11806946843862534	-0.346484130859375	-0.1358310604095459	-0.021518747329711915	-0.04017260869344075	-0.08299789428710938	-0.017176279581215488	46	5555
7	6490	11	0.48312942504882816	-0.15029570954460147	0.48362908363342283	-0.14237296295166016	0.1652645242214203	0.537859295739068	0.02637681094805397	-0.07926496505737304	-0.2149267807006836	-0.07904013156890868	-0.011275901794433593	-0.07219571630160014	-0.017976627508799234	-0.007994617084901495	4	6486
8	5507	11	0.6718978118896484	-0.12523249032780553	0.6593523478507995	-0.12915796538761684	-0.03193002561728159	0.7563594648573133	-0.023706782658894865	-0.0743952488899231	-0.30319589233398436	-0.11312127033869424	-0.02309535598754883	-0.1121906344095866	-0.09399513872464499	-0.018456612246103555	27	5480
9	6434	10	1.1887014627456665	-0.297247430885652	1.5486596107482908	0.408740450995309	-0.22292482366164523	0.8825424024793838	0.46812071895599366	-0.07216806411743165	-0.19446345766385398	-0.09609881877899171	-0.023964987754821778	-0.16163865268230437	-0.12360368478298188	-0.020664667987440485	2497	3937
