celltype	n_cells	n_samples	abnormal_cells	normal_cells	inner_cells	outer_cells	median_nCount_RNA	median_nFeature_RNA	fraction_of_chondrocytes
Ch.1(CHAD)	10389	12	1845	8544	6979	3410	2541.0	900.0	0.36216272746287387
Ch.2(FNDC1)	6156	10	5950	206	3904	2252	9188.0	2458.0	0.21459945618071533
Ch.3(PRG4)	4729	11	4280	449	4222	507	6720.0	1864.0	0.16485393571777174
PCL.1	2880	10	688	2192	221	2659	1868.0	772.5	0.10039740640033466
Ch.4(CFD)	2224	11	1238	986	216	2008	2267.5	939.0	0.07752910827581398
PCL.2	2016	9	178	1838	40	1976	1562.0	691.5	0.07027818448023426
Ch.5(cycling)	292	8	288	4	233	59	16500.0	3634.5	0.010179181482256152
