program_id	score_column	group_type	group	n_cells	mean_score	median_score	q25_score	q75_score	high_score_fraction
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status	abnormal	14467	0.031194403458353896	0.0072692639254457484	-0.21795672415051387	0.2600259151410522	0.2621137761802723
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status	normal	14219	-0.0317384791358046	-0.05700740669097931	-0.3463340833229278	0.23023531530664804	0.23771010619593502
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy	inner	15815	0.14228486683487346	0.11663137239269754	-0.11194569037826457	0.3567088497395189	0.35757192538729055
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy	outer	12871	-0.1748298631802909	-0.21150198811463264	-0.4292460758542206	0.04953842175112319	0.11786185999533835
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	celltype	Ch.1(CHAD)	10389	0.1530703140155661	0.12856184462788078	-0.09818598411264463	0.3635915906267188	0.36519395514486475
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	celltype	Ch.2(FNDC1)	6156	-0.11367132630127151	-0.1347830620741947	-0.2924063489779322	0.046054822667122006	0.08333333333333333
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	celltype	Ch.3(PRG4)	4729	0.25234514921698703	0.2587123992557542	0.05457034879279858	0.4555215382780644	0.5165997039543244
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	celltype	Ch.4(CFD)	2224	-0.22576937616523693	-0.28096227174766375	-0.4798229176548713	-0.01679460192960433	0.09397482014388489
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	celltype	Ch.5(cycling)	292	-0.07014491267268813	-0.07806474350711598	-0.2180759362348038	0.06364666808287492	0.09246575342465753
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	celltype	PCL.1	2880	-0.2720371829224686	-0.3055094997292799	-0.48300580204169824	-0.09374456945041972	0.04722222222222222
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	celltype	PCL.2	2016	-0.3857968870712296	-0.41488583177190025	-0.6653172474298434	-0.23060428268789016	0.0248015873015873
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy	abnormal|inner	8966	0.0717806203037095	0.04611578685052124	-0.1816021703564704	0.30773695715565946	0.30314521525764
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy	abnormal|outer	5501	-0.03495648187803193	-0.05366804724846622	-0.27908555168211935	0.18295524942758123	0.19523722959461917
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy	normal|inner	6849	0.23458170935179798	0.18951804274374617	-0.008202047144564859	0.4177811383582701	0.42882172579938677
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy	normal|outer	7370	-0.27923196230426994	-0.31600292901153626	-0.5201628377444789	-0.09090310974325419	0.06010854816824966
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	abnormal|Ch.1(CHAD)	1845	0.16464944489066302	0.15166593036999432	-0.08191209459980744	0.3932555048655168	0.389159891598916
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	abnormal|Ch.2(FNDC1)	5950	-0.11494464415976545	-0.1362470870571944	-0.2941172424720004	0.045303555180894	0.08403361344537816
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	abnormal|Ch.3(PRG4)	4280	0.25634778014881	0.26240475667177243	0.0566819642056079	0.46234315661070047	0.5231308411214953
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	abnormal|Ch.4(CFD)	1238	-0.12225234557752981	-0.15389064848995485	-0.3952984133331095	0.12394922683848082	0.15266558966074315
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	abnormal|Ch.5(cycling)	288	-0.06401095379036281	-0.07180065336417138	-0.21204722736290565	0.06531640716409694	0.09375
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	abnormal|PCL.1	688	-0.10078709748472482	-0.10598539596536005	-0.3302249035431808	0.0983733353247285	0.12936046511627908
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	abnormal|PCL.2	178	-0.14950323422175668	-0.18724336417076892	-0.4597922815255869	0.14604401619247365	0.16853932584269662
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	normal|Ch.1(CHAD)	8544	0.1505699047851642	0.12247132503563654	-0.09962757268557854	0.3564564376448517	0.3600187265917603
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	normal|Ch.2(FNDC1)	206	-0.07689345611661616	-0.0908602316005765	-0.23563676610177972	0.08653011565713827	0.06310679611650485
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	normal|Ch.3(PRG4)	449	0.21419089445484388	0.21679100445736593	0.035603752620998665	0.3997406038544481	0.45434298440979953
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	normal|Ch.4(CFD)	986	-0.3557430920552789	-0.38409244897210126	-0.5473830162954896	-0.2118847792016826	0.02028397565922921
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	normal|Ch.5(cycling)	4	-0.5117899522001113	-0.4993418218445067	-0.6102917877614883	-0.40083998628312967	0.0
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	normal|PCL.1	2192	-0.32578720973869474	-0.35211474461167	-0.5227226629700622	-0.16831424896969902	0.02144160583941606
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_celltype	normal|PCL.2	1838	-0.40868060317961163	-0.43325590443526474	-0.6653172474298434	-0.25089414753938666	0.01088139281828074
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	inner|Ch.1(CHAD)	6979	0.24353833380157677	0.1965949393547748	-0.002627367479682505	0.42990383681168115	0.4401776758847972
