axis_id	phase	evidence_grade	ligand	receiver_context	target_gene_set_name	source	seed_gene_count	bulk_target_overlap_count	overlap_genes	mean_bulk_target_rank	hypergeom_p	fdr	overlap_score	max_combined_context_priority	concordance_tier
ANGPTL4_integrin	phase_1_frontline	frontline_context_supported	ANGPTL4	GSE220243_meniscus:mural_smooth_muscle	communication_axes	bulk_cell_state_proxy_signature_gene_sets	8	2	SPP1;ANGPTL4	63.0	0.0046309309576635	0.008232766146957332	4.6686633876685635	12.847567562929704	has_target_overlap
MIF_CD74	phase_1_frontline	frontline_context_supported	MIF	GSE220243_meniscus:immune_myeloid	communication_axes	bulk_cell_state_proxy_signature_gene_sets	8	2	SPP1;ANGPTL4	63.0	0.0046309309576635	0.008232766146957332	4.6686633876685635	13.19189423348782	has_target_overlap
MIF_chemokine_receptors	phase_2_mechanistic	context_supported	MIF	GSE220243_meniscus:t_nk	communication_axes	bulk_cell_state_proxy_signature_gene_sets	8	2	SPP1;ANGPTL4	63.0	0.0046309309576635	0.008232766146957332	4.6686633876685635	11.806726678386472	has_target_overlap
VEGF	phase_1_frontline	frontline_context_supported	VEGFA	GSE220243_meniscus:endothelial	communication_axes	bulk_cell_state_proxy_signature_gene_sets	8	2	SPP1;ANGPTL4	63.0	0.0046309309576635	0.008232766146957332	4.6686633876685635	10.952357403816022	has_target_overlap
IL11_gp130	phase_3_secondary	priority_with_weak_context	IL11	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	28	2	TIMP1;MMP13	136.0	0.05258771284475151	0.07649121868327492	2.5582314343952848	8.50428195638953	has_target_overlap
IL6_gp130	phase_3_secondary	priority_with_weak_context	IL6	GSE220243_meniscus:endothelial	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	28	2	TIMP1;MMP13	136.0	0.05258771284475151	0.07649121868327492	2.5582314343952848	7.004118192431696	has_target_overlap
LIF_gp130	phase_3_secondary	priority_with_sparse_receptor_context	LIF	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	28	2	TIMP1;MMP13	136.0	0.05258771284475151	0.07649121868327492	2.5582314343952848	6.081088348650156	has_target_overlap
SPP1_matrix_immune	phase_3_secondary	priority_with_weak_context	SPP1	GSE220243_meniscus:mural_smooth_muscle	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	28	2	TIMP1;MMP13	136.0	0.05258771284475151	0.07649121868327492	2.5582314343952848	6.308912503450915	has_target_overlap
CCL2_chemokine	reserve_exploratory	priority_with_sparse_receptor_context	CCL2	GSE220243_meniscus:t_nk	chemokine_inflammatory_programs	gse220243_cnmf_program_interpretation_priority	17	0			1.0	1.0	-0.0	2.6257597804213666	no_overlap
CCL2_chemokine	reserve_exploratory	priority_with_sparse_receptor_context	CCL2	GSE220243_meniscus:t_nk	immune_migration_signatures	bulk_cell_state_proxy_signature_gene_sets	27	0			1.0	1.0	-0.0	2.6257597804213666	no_overlap
CXCL12_CXCR4_ACKR3	reserve_exploratory	context_supported	CXCL12	HRA001986_chondrocyte:Ch.3(PRG4)	chemokine_inflammatory_programs	gse220243_cnmf_program_interpretation_priority	17	0			1.0	1.0	-0.0	4.851326689381346	no_overlap
CXCL12_CXCR4_ACKR3	reserve_exploratory	context_supported	CXCL12	HRA001986_chondrocyte:Ch.3(PRG4)	immune_migration_signatures	bulk_cell_state_proxy_signature_gene_sets	27	0			1.0	1.0	-0.0	4.851326689381346	no_overlap
CXCL8_chemokine	reserve_exploratory	priority_with_sparse_receptor_context	CXCL8	GSE220243_meniscus:immune_myeloid	chemokine_inflammatory_programs	gse220243_cnmf_program_interpretation_priority	17	0			1.0	1.0	-0.0	3.274090735560095	no_overlap
CXCL8_chemokine	reserve_exploratory	priority_with_sparse_receptor_context	CXCL8	GSE220243_meniscus:immune_myeloid	immune_migration_signatures	bulk_cell_state_proxy_signature_gene_sets	27	0			1.0	1.0	-0.0	3.274090735560095	no_overlap
IL11_gp130	phase_3_secondary	priority_with_weak_context	IL11	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_programs	gse220243_cnmf_program_interpretation_priority	17	0			1.0	1.0	-0.0	8.50428195638953	no_overlap
IL6_gp130	phase_3_secondary	priority_with_weak_context	IL6	GSE220243_meniscus:endothelial	inflammatory_sasp_programs	gse220243_cnmf_program_interpretation_priority	17	0			1.0	1.0	-0.0	7.004118192431696	no_overlap
LIF_gp130	phase_3_secondary	priority_with_sparse_receptor_context	LIF	HRA001986_chondrocyte:Ch.4(CFD)	inflammatory_sasp_programs	gse220243_cnmf_program_interpretation_priority	17	0			1.0	1.0	-0.0	6.081088348650156	no_overlap
SPP1_matrix_immune	phase_3_secondary	priority_with_weak_context	SPP1	GSE220243_meniscus:mural_smooth_muscle	inflammatory_sasp_programs	gse220243_cnmf_program_interpretation_priority	17	0			1.0	1.0	-0.0	6.308912503450915	no_overlap
