ligand	receptor	pathway	priority_score	priority_tier	ligand_program_support	bulk_ligand_support	bulk_ligand_delta_s1_minus_s2	bulk_ligand_fdr	bulk_receptor_support	bulk_receptor_delta_s1_minus_s2	bulk_receptor_fdr	receptor_context_support	receptor_top_context	source_programs	paracrine_rationale	recommended_validation
IL11	IL6ST	IL11	8.29526410632285	high	5.624768653442349	0.8942820839313308	0.4279555144869299	0.3128256643827453	0.7855833425940242	0.35737601618990567	0.3169285497864847	1.3048633633927578	GSE220243_broad:endothelial	K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	fibroblast activation and matrix remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
FGF2	FGFR2	FGF	7.735930237099745	high	6.212857852788097	0.5780521391491649	0.23299063750044144	0.3490339194820968	0.7055547763136464	0.35310173557060875	0.4448316235085808	0.5216873793742954	GSE220243_broad:fibrochondrocyte_core	K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K5_P2_fibrocartilage_matrix;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	repair/proliferation and stromal activation candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
IL11	IL11RA	IL11	7.195180377198925	high	5.624768653442349	0.8942820839313308	0.4279555144869299	0.3128256643827453	0.0	-0.13537876989389605	0.727922077922078	0.6761296398252457	HRA001986_chondrocyte:Ch.4(CFD)	K14_P9_angiogenic_paracrine;K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K16_P11_angiogenic_paracrine;K20_P11_angiogenic_paracrine;K18_P11_angiogenic_paracrine;K22_P16_angiogenic_paracrine	fibroblast activation and matrix remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
IL6	IL6ST	IL6	6.6633116263647	medium	3.569536114917655	0.3175621424978722	0.17176492206871757	0.7588754112086533	0.7855833425940242	0.35737601618990567	0.3169285497864847	1.3048633633927578	GSE220243_broad:endothelial	K22_P9_senescence_inflammatory;K16_P9_senescence_inflammatory;K28_P7_senescence_inflammatory;K30_P9_senescence_inflammatory;K20_P9_senescence_inflammatory	canonical SASP inflammatory signaling	synovial fluid proteomics + immune/synovial fibroblast response assay
SPP1	CD44	SPP1_CD44	5.947659309774308	medium	0.0	2.4928817560536656	0.9586583487188489	0.007766252994024447	1.5292802082195294	0.6457711408399993	0.0756402587973675	1.5372094287889249	HRA001986_chondrocyte:Ch.5(cycling)		matrix-immune and fibroblast activation candidate	synovial fluid proteomics + immune/synovial fibroblast response assay
LIF	IL6ST	LIF	5.940051342115718	medium	2.8747686534423487	1.2890693197241978	0.574359487197236	0.13961748871872592	0.7855833425940242	0.35737601618990567	0.3169285497864847	1.3048633633927578	GSE220243_broad:endothelial	K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K22_P16_angiogenic_paracrine	IL6-family inflammatory remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
IL6	IL6R	IL6	5.811811025086709	medium	3.569536114917655	0.3175621424978722	0.17176492206871757	0.7588754112086533	0.27745435485339764	0.15155318196468265	0.7938726427335114	0.7582401547591427	GSE220243_broad:immune_myeloid	K22_P9_senescence_inflammatory;K16_P9_senescence_inflammatory;K28_P7_senescence_inflammatory;K30_P9_senescence_inflammatory;K20_P9_senescence_inflammatory	canonical SASP inflammatory signaling	synovial fluid proteomics + immune/synovial fibroblast response assay
SPP1	ITGB1	SPP1_integrin	5.596543533745165	medium	0.0	2.4928817560536656	0.9586583487188489	0.007766252994024447	1.045545784357529	0.47674003545401367	0.21833760275585093	1.476334307076982	GSE220243_broad:mural_smooth_muscle		matrix-integrin communication candidate	synovial fluid proteomics + immune/synovial fibroblast response assay
SPP1	ITGAV	SPP1_integrin	5.494396451341059	medium	0.0	2.4928817560536656	0.9586583487188489	0.007766252994024447	1.8812611916042927	0.7405362153510527	0.02877970002068983	0.872757980324818	GSE220243_broad:outer_fibrous_like		matrix-integrin communication candidate	synovial fluid proteomics + immune/synovial fibroblast response assay
LIF	LIFR	LIF	5.288839071859905	medium	2.8747686534423487	1.2890693197241978	0.574359487197236	0.13961748871872592	0.3903138645144034	0.19446969578430162	0.635011160671375	0.8908127799847165	GSE220243_broad:endothelial	K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K22_P16_angiogenic_paracrine	IL6-family inflammatory remodeling candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
FGF1	FGFR1	FGF	4.594771097287175	medium	2.8747686534423487	0.03348665182689153	0.02042508557817274	0.9869654572361577	1.0513184386813534	0.4604088185294292	0.189928255054567	1.0557247288091234	GSE220243_broad:outer_fibrous_like	K24_P17_angiogenic_paracrine;K26_P19_angiogenic_paracrine;K30_P23_angiogenic_paracrine;K28_P20_angiogenic_paracrine;K22_P16_angiogenic_paracrine	repair/proliferation and stromal activation candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
CXCL12	CXCR4	CXCL12_CXCR4	3.7211761479497865	exploratory	0.0	0.6352087104526	0.3435951033559076	0.5759275967827691	1.0519310560812642	0.4931516512601355	0.23746130030959756	1.4548088038484281	GSE220243_broad:t_nk		progenitor/interface chemokine axis	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
CXCL12	ACKR3	CXCL12_ACKR3	3.3551040169261026	exploratory	0.0	0.6352087104526	0.3435951033559076	0.5759275967827691	0.7331222784986974	0.36684581578002284	0.4308170576918072	1.2800219393742842	GSE220243_broad:inflammatory_like		progenitor/interface chemokine axis	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
CXCL8	CXCR2	CXCL8	3.254046481631426	exploratory	0.0	1.9551819629042115	0.9297056439631206	0.0756402587973675	0.49243408545204215	0.22491973548777025	0.48965594932780293	0.0034040674559896182	GSE220243_broad:immune_myeloid		neutrophil/angiogenic inflammatory candidate	synovial fluid proteomics + immune/synovial fibroblast response assay
POSTN	ITGAV	POSTN_integrin	3.206797942283935	exploratory	0.0	1.2052832469965415	0.5630520240728879	0.189928255054567	1.8812611916042927	0.7405362153510527	0.02877970002068983	0.872757980324818	GSE220243_broad:outer_fibrous_like		fibrotic matrix-integrin communication candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
CXCL8	CXCR1	CXCL8	3.106147375267517	exploratory	0.0	1.9551819629042115	0.9297056439631206	0.0756402587973675	0.25140914713156215	0.14287202029051524	0.8429421422641007	0.00011992408436841088	GSE220243_broad:outer_fibrous_like		neutrophil/angiogenic inflammatory candidate	synovial fluid proteomics + immune/synovial fibroblast response assay
TNFSF12	TNFRSF12A	TWEAK_FN14	2.5487232964429554	exploratory	0.0	0.045740955444032325	0.017206641260550243	0.9123007100820103	1.9369161288022578	0.7776395068163628	0.02877970002068983	1.3408326637175683	HRA001986_chondrocyte:Ch.5(cycling)		FN14 receptor appears in MSP program; ligand availability needs validation	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
CCL2	CCR2	CCL2_CCR2	2.5436229243999624	exploratory	0.0	0.8971706141927158	0.4170470515213158	0.2862858784242631	0.5226511478610488	0.2735063709222307	0.595959595959596	0.3328616214906174	GSE220243_broad:t_nk		monocyte/macrophage recruitment candidate	synovial fluid proteomics + immune/synovial fibroblast response assay
POSTN	ITGB3	POSTN_integrin	2.3304704541633408	exploratory	0.0	1.2052832469965415	0.5630520240728879	0.189928255054567	1.0490052918862012	0.4654132880540165	0.1987143728384978	0.49578403203507865	GSE220243_broad:endothelial		fibrotic matrix-integrin communication candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
CCN2	ITGB1	CCN2_integrin	2.1036617776914994	exploratory	0.0	0.0	0.0	1.0	1.045545784357529	0.47674003545401367	0.21833760275585093	1.476334307076982	GSE220243_broad:mural_smooth_muscle		matrix remodeling communication candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
CCN1	ITGAV	CCN1_integrin	2.0015146952873937	exploratory	0.0	0.0	0.0	1.0	1.8812611916042927	0.7405362153510527	0.02877970002068983	0.872757980324818	GSE220243_broad:outer_fibrous_like		matrix inflammatory communication candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
CCN2	ITGAV	CCN2_integrin	2.0015146952873937	exploratory	0.0	0.0	0.0	1.0	1.8812611916042927	0.7405362153510527	0.02877970002068983	0.872757980324818	GSE220243_broad:outer_fibrous_like		matrix remodeling communication candidate	synovial fluid proteomics + CellChat/LIANA/NicheNet consensus
