k	n_samples	n_iterations	subsample_fraction	min_cluster_size	min_cluster_fraction	small_cluster_penalty	eligible_for_selection	pac_0_1_0_9	mean_within_consensus	mean_between_consensus	consensus_delta	silhouette	selection_score	selected
2	93	60	0.8	45	0.4838709677419355	0.0	True	0.5855539971949509	0.8359395596108393	0.29576443818431064	0.5401751214265287	0.19234006722720992	0.14696119145878772	True
3	93	60	0.8	21	0.22580645161290322	0.0	True	0.7575970079476391	0.7361590912958442	0.33270479096822236	0.40345430032762186	0.20759902213952214	-0.14654368548049512	False
4	93	60	0.8	2	0.021505376344086023	0.6279569892473118	False	0.3326320710612436	0.8202697618794119	0.07754448233727942	0.7427252795421325	0.21709956469594766	-0.0007642160704752765	False
