k	program	senescence_score	sasp_score	ecm_remodeling_score	fibrocartilage_score	communication_score	progenitor_interface_score	generic_stress_score	contamination_score	immune_score	mural_score	cycling_score	msp_axis_score	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected	mean_usage_oa	mean_usage_normal	median_usage_oa	median_usage_normal	usage_delta_oa_minus_normal	sample_mean_usage_sd	top_sample_by_mean	top_sample_mean_usage	silhouette	prediction_error	top_genes_20	program_label	candidate_status	analysis_tier	analysis_tier_rank	msp_rank_score
28	7	5.492652313930709	15.524227298058277	0.3617391140906241	0.0	2.562345321246125	0.0	4.466354042280349	0.0	0.0	0.0	0.0	21.58063947879018	0.0514758126341383	0.0224992088743798	0.1989731351132066	MenNorm5	0.1329256149234069	normal	0.624269684997409	14	0.04687337300889258	0.05565945809863722	0.014232024499999999	0.0286470445	-0.008786085089744641	0.024387599446440162	MenNorm5	0.09568847348438475	0.7988720153128822	140839324.06958038	GEM,CDKN1A,MAT2A,KDM6B,PPP1R15A,ABL2,HMOX1,IRF1,IER3,MYC,NFKBIA,SOCS3,NR4A3,NFKBIZ,ARID5B,ATF3,NR4A2,NR4A1,EGR1,IL6	senescence_inflammatory	msp_like_other_k_caution_normal_skew	context_k	2	21.314788248943366
9	3	3.992695314038047	3.1475820997997666	0.0	1.3702585104583136	13.992403477979646	0.0	3.0644524264946837	0.0	0.0	0.0	0.0	21.688742190167826	0.1495915114634023	0.0907775349945411	0.5219329626223211	MenNorm5	0.2203206375955362	normal	0.6370133121014289	14	0.13021746465231165	0.16669634284057971	0.0832870175	0.091935843	-0.03647887818826806	0.13298760823002173	MenNorm5	0.46807887752505	0.7122885393530889	148027667.73398447	RPS17,RPL17,EEF1G,GAS5,NME2,MIF,SNHG29,GABARAP,RNASEK,VEGFA,SEPTIN7,SNHG5,SERPINA3,BMP2,MICOS10,TNFRSF12A,ECRG4,HSPA5,FOSL1,CHAC1	senescence_paracrine_MSP_like	msp_like_other_k_caution_normal_skew	context_k	2	21.248100914976753
30	9	5.142652313930708	15.524227298058277	0.3617391140906241	0.0	2.562345321246125	0.0	4.466354042280349	0.0	0.0	0.0	0.0	21.17813947879018	0.0430456093841663	0.011720342093139	0.1845544900683083	MenNorm5	0.1502431612652832	normal	0.6423961413741077	14	0.03796594899124845	0.04803228160556069	0.0026194232999999997	0.0193828825	-0.010066332614312237	0.02415026737774074	MenNorm5	0.09054520070017806	0.7495418567195152	140564113.74093524	GEM,CDKN1A,KDM6B,MAT2A,ABL2,HMOX1,PPP1R15A,MYC,IRF1,IER3,NR4A3,NFKBIA,SOCS3,ARID5B,NFKBIZ,IL6,GLIS3,NAMPT,NR4A2,CXCL2	senescence_inflammatory	msp_like_other_k_caution_normal_skew	context_k	2	20.877653156259612
20	9	5.142652313930708	15.524227298058277	0.0	0.0	2.562345321246125	0.0	4.466354042280349	0.0	0.0	0.0	0.0	20.90683514322221	0.0538565701699426	0.0240755929184547	0.2078844982882989	MenOA5	0.1328331167984077	normal	0.6219465378941628	14	0.04901474860310053	0.05784720670186556	0.015938155000000002	0.0297598875	-0.008832458098765025	0.027266400939179012	MenOA5	0.10157052078523751	0.7836638522271612	143105734.46445733	GEM,CDKN1A,ABL2,MAT2A,PPP1R15A,HMOX1,KDM6B,IER3,NFKBIA,IRF1,MYC,NR4A3,SOCS3,NFKBIZ,ARID5B,NR4A2,IL6,ATF3,KCNQ1OT1,NR4A1	senescence_inflammatory	msp_like_other_k_caution_normal_skew	context_k	2	20.641168909625396
5	2	2.62791162442478	2.280622610055023	0.0	8.66691987582599	13.642403477979647	0.0	2.364452426494684	0.0	0.0	0.0	0.0	20.978990722171456	0.1938457787815314	0.1416806875214119	0.6413504218853826	MenNorm5	0.2123482443571496	normal	0.5941424792375186	14	0.18162005797305	0.2025995048613978	0.160106135	0.12195228699999999	-0.020979446888347797	0.1436456866160194	MenNorm5	0.5918722549494999	0.9985213610276532	151021527.92571026	RPS17,RPL17,MIF,VEGFA,EEF1G,GAS5,NME2,SNHG29,RNASEK,GABARAP,SEPTIN7,BMP2,SNHG5,TNFRSF12A,SERPINA3,ECRG4,FGF2,PAPSS2,HSPA5,CHAC1	fibrocartilage_matrix	msp_like_other_k_balanced	context_k	2	20.554294233457156
8	3	2.97791162442478	3.1475820997997666	0.0	1.3702585104583136	13.642403477979647	0.0	3.0644524264946837	0.0	0.0	0.0	0.0	20.15424094711257	0.1591976904643817	0.1011422320261446	0.5490962321808079	MenNorm5	0.2193167066220825	normal	0.6282755441000343	14	0.14140464828197524	0.1746125014130931	0.0988837255	0.09839131500000001	-0.03320785313111785	0.13546118184230826	MenNorm5	0.495728187041625	0.7013022166166022	148671761.49681348	RPS17,RPL17,EEF1G,GAS5,MIF,NME2,SNHG29,VEGFA,RNASEK,GABARAP,SEPTIN7,SNHG5,SERPINA3,BMP2,TNFRSF12A,MICOS10,ECRG4,HSPA5,FOSL1,CHAC1	senescence_paracrine_MSP_like	msp_like_other_k_caution_normal_skew	context_k	2	19.715607533868404
7	3	2.97791162442478	3.1475820997997666	0.0	1.3702585104583136	13.642403477979647	0.0	3.0644524264946837	0.0	0.0	0.0	0.0	20.15424094711257	0.157724363718917	0.0987013900779975	0.5480093779921235	MenNorm5	0.2196825555395737	normal	0.6374243163234452	14	0.13689212702628192	0.17590527728373775	0.093058875	0.09857901999999999	-0.03901315025745583	0.13586700467033605	MenNorm5	0.49549850911214044	0.7679169861686888	149407182.88119596	RPS17,RPL17,EEF1G,GAS5,MIF,NME2,SNHG29,VEGFA,RNASEK,GABARAP,SEPTIN7,SNHG5,SERPINA3,BMP2,MICOS10,TNFRSF12A,HSPA5,ECRG4,FOSL1,CHAC1	senescence_paracrine_MSP_like	msp_like_other_k_caution_normal_skew	context_k	2	19.71487583603342
6	4	2.97791162442478	3.1475820997997666	0.0	1.3702585104583136	13.642403477979647	0.0	3.0644524264946837	0.0	0.0	0.0	0.0	20.15424094711257	0.149901965463835	0.0885453182714729	0.5374613311971905	MenNorm5	0.2264276203363734	normal	0.644238549495451	14	0.1279537214863696	0.16869099238302304	0.081218755	0.089809749	-0.04073727089665344	0.13462845703747664	MenNorm5	0.484638363094895	0.9463005189929532	150103051.70879626	RPS17,RPL17,EEF1G,MIF,GAS5,NME2,SNHG29,VEGFA,RNASEK,GABARAP,SEPTIN7,SNHG5,SERPINA3,BMP2,TNFRSF12A,MICOS10,HSPA5,ECRG4,FOSL1,CHAC1	senescence_paracrine_MSP_like	msp_like_other_k_caution_normal_skew	context_k	2	19.701385706439822
10	5	2.97791162442478	3.497582099799766	0.0	0.7315048408184566	11.78437820088605	0.0	5.657310060964683	0.0	0.0	0.0	0.0	17.822554461860328	0.0922472729964769	0.0381461934099337	0.3952273583245687	MenNorm5	0.2595164207932878	normal	0.7544734828099767	14	0.0537971193137552	0.12007371636805345	0.012215386	0.060475817	-0.06627659705429825	0.0893207795895991	MenNorm5	0.3404094730417025	0.7563726184356605	147404826.03554556	VEGFA,TNFRSF12A,RPS17,BMP2,HSPA5,MIF,RPL17,FOSL1,PTGS2,SERPINA3,GAS5,EEF1G,KDM6B,SDF2L1,CDKN1A,ANGPTL4,NME2,SNHG29,INHBA,CHAC1	senescence_paracrine_MSP_like	msp_like_other_k_caution_normal_skew	context_k	2	17.303521620273752
30	23	0.4029321877586527	3.497582099799766	0.3617391140906241	2.1980882536391944	9.378707214994515	0.0	1.4721205999412117	0.0	0.0	0.0	0.0	13.810361655486014	0.0135705640698616	0.0	0.0700683622811154	MenNorm5	0.2731806146146596	normal	0.601346706723299	14	0.012865342131046552	0.01434985136587426	0.0	0.0	-0.0014845092348277078	0.012005428669742047	MenNorm5	0.052692364638816006	0.7495418567195152	140564113.74093524	IL11,INHBA,FGF1,PTGS2,FGF2,KRT16,TNFRSF12A,WNT16,HSPA5,BMP2,MSMO1,KRT17,DGKI,LIF,INSIG1,FHL2,ADPRHL1,S100A2,SYNJ2,CLDN4	angiogenic_paracrine	msp_like_other_k_caution_normal_skew	context_k	2	13.264000426256695
28	20	0.4029321877586527	3.497582099799766	0.3617391140906241	2.1980882536391944	9.028707214994515	0.0	0.7762558389660554	0.0	0.0	0.0	0.0	13.58203460768105	0.0156451355941781	0.0	0.0846012134374988	MenNorm5	0.277271723360648	normal	0.6092058063077902	14	0.014536464154351543	0.016665478653525696	0.0	0.0	-0.0021290144991741537	0.014038304323968154	MenNorm5	0.06075189641255375	0.7988720153128822	140839324.06958038	IL11,INHBA,FGF2,FGF1,PTGS2,WNT16,TNFRSF12A,KRT16,HSPA5,MSMO1,BMP2,INSIG1,KRT17,DGKI,LIF,FHL2,ADPRHL1,TNFRSF11B,ABI3BP,S100A2	angiogenic_paracrine	msp_like_other_k_caution_normal_skew	context_k	2	13.027491160959755
16	11	0.0	2.630622610055023	0.3617391140906241	3.5287864514845104	10.078707214994514	0.0	1.4721205999412117	0.0	0.0	0.0	0.0	13.677748622741863	0.0449222678946428	0.0	0.2642670684306029	MenNorm5	0.3970637844585228	normal	0.7742538314664787	14	0.024360026810630837	0.061088346531421006	0.0	0.0	-0.03672831972079017	0.06251364464289118	MenNorm5	0.24830093541888748	0.7744621952155285	144698308.23126858	VEGFA,HSPA5,TNFRSF12A,IL11,SDF2L1,MIF,BMP2,ANGPTL4,FGF2,RPS17,SLC2A1,INHBA,PTGS2,RFLNB,RPL17,EIF4EBP1,BHLHE40,SERPINA3,SIPA1L2,PAPSS2	angiogenic_paracrine	msp_like_other_k_caution_normal_skew	context_k	2	12.883621053824816
20	11	0.0	2.630622610055023	0.3617391140906241	3.5287864514845104	10.078707214994514	0.0	1.4721205999412117	0.0	0.0	0.0	0.0	13.677748622741863	0.0440774781992924	0.0	0.2522131700074313	MenNorm5	0.3989370574579696	normal	0.7636601830432657	14	0.025009982708938946	0.059292903589890006	0.0	0.0	-0.03428292088095106	0.060451012335999074	MenNorm5	0.24436503879636	0.7836638522271612	143105734.46445733	VEGFA,HSPA5,IL11,TNFRSF12A,SDF2L1,BMP2,MIF,FGF2,ANGPTL4,INHBA,SLC2A1,RPS17,PTGS2,RFLNB,BHLHE40,EIF4EBP1,PAPSS2,RPL17,SIPA1L2,SOX9	angiogenic_paracrine	msp_like_other_k_caution_normal_skew	context_k	2	12.879874507825924
18	11	0.0	2.630622610055023	0.3617391140906241	3.5287864514845104	10.078707214994514	0.0	1.4721205999412117	0.0	0.0	0.0	0.0	13.677748622741863	0.0425114601887535	0.0	0.249323990550258	MenNorm5	0.408524213757065	normal	0.7786239225079702	14	0.022700183390600273	0.05822057059753465	0.0	0.0	-0.03552038720693438	0.05989123154321365	MenNorm5	0.2410537442289875	0.7800992908893756	143785083.70412406	VEGFA,HSPA5,TNFRSF12A,IL11,SDF2L1,BMP2,MIF,FGF2,ANGPTL4,INHBA,SLC2A1,RPS17,PTGS2,RFLNB,EIF4EBP1,BHLHE40,RPL17,PAPSS2,SIPA1L2,SOX9	angiogenic_paracrine	msp_like_other_k_caution_normal_skew	context_k	2	12.860700195227732
22	16	0.4029321877586527	3.497582099799766	0.9750012716347	2.548088253639194	7.4642118264532	0.0	0.7762558389660554	0.0	0.0	0.0	0.0	12.486761067870725	0.0199049182554271	0.0	0.1034024528027733	MenNorm5	0.2718656780271761	normal	0.630334510564246	14	0.01750964654846806	0.022015826466861333	0.0	0.0	-0.004506179918393274	0.017207686266935793	MenNorm5	0.0756012183970575	0.7807298872207149	142485302.25937766	IL11,INHBA,FGF2,FGF1,PTGS2,WNT16,TNFRSF12A,KRT16,MSMO1,ABI3BP,HSPA5,INSIG1,BMP2,DGKI,KRT17,FHL2,LIF,DSP,TNFRSF11B,SQLE	angiogenic_paracrine	msp_like_other_k_caution_normal_skew	context_k	2	11.943029711816374
18	3	0.4029321877586527	2.280622610055023	0.7117391140906241	0.0	6.80114543363508	0.0	10.32518703309156	0.45176272825891506	0.45176272825891506	0.0	0.0	7.492343731237957	0.1175342806535146	0.0340147700328139	0.5612693280433511	MenNorm4	0.2377500571788209	normal	0.8386263168499531	14	0.04249143724471877	0.16879023368857163	0.0	0.077629632	-0.12629879644385286	0.122027308261545	MenNorm1AVAS	0.3970769777653325	0.7800992908893756	143785083.70412406	MT2A,MT1E,MT1X,MT1M,CHI3L1,LOX,EGLN3,DDIT4,SLC25A37,AC008592.5,SOD2,GLRX,ANGPTL4,MT1G,BNIP3,ERRFI1,CDA,EFNA1,GPX3,TMEM204	angiogenic_paracrine	msp_like_other_k_caution_normal_skew	context_k	2	6.790962252750858
20	3	0.4029321877586527	2.280622610055023	0.7117391140906241	0.0	6.80114543363508	0.0	10.32518703309156	0.45176272825891506	0.45176272825891506	0.0	0.0	7.492343731237957	0.1129752208872015	0.029648922595975	0.5480845894906791	MenNorm4	0.239103213663944	normal	0.8432228409945907	14	0.039497455339190836	0.16276713376438198	0.0	0.071828235	-0.12326967842519115	0.11865316088781463	MenNorm1AVAS	0.3856042975742811	0.7836638522271612	143105734.46445733	MT2A,MT1E,MT1X,MT1M,CHI3L1,LOX,EGLN3,DDIT4,SLC25A37,AC008592.5,SOD2,GLRX,ANGPTL4,MT1G,BNIP3,ERRFI1,CDA,EFNA1,GPX3,TMEM204	angiogenic_paracrine	msp_like_other_k_caution_normal_skew	context_k	2	6.788255939780612
28	3	0.4029321877586527	2.280622610055023	0.7117391140906241	0.0	4.961071779068464	0.0	7.3256773979734415	0.45176272825891506	0.45176272825891506	0.0	0.0	6.160168320966636	0.0970950771258832	0.019784354208958	0.4855211185000246	MenNorm1AVAS	0.2531882015808623	normal	0.8162066185475866	14	0.03943648175366013	0.13410117025004728	0.0050129412	0.0420257215	-0.09466468849638715	0.10245909171318175	MenNorm1AVAS	0.35759288440338005	0.7988720153128822	140839324.06958038	MT2A,MT1E,MT1M,MT1X,CHI3L1,LOX,AC008592.5,MT1G,DDIT4,SOD2,EGLN3,SLC25A37,GLRX,CDA,ANGPTL4,GPX3,BNIP3,EFNA1,TMEM204,MT1F	other_fibrochondrocyte_program	msp_like_other_k_caution_normal_skew	context_k	2	5.427910553675454
