fibro_leiden	sample_label	n_cells	disease_status	cluster_fraction	sample_fraction
7	MenOA5	597	OA	0.13577439163065727	0.12964169381107493
7	MenOA6	1164	OA	0.26472594951103023	0.22406159769008663
8	MenNorm1AVAS	3	normal	0.0006139991813344249	0.00036589828027808267
8	MenNorm1VAS	7	normal	0.0014326647564469914	0.0008770830722967047
8	MenNorm2	463	normal	0.09476054031927958	0.07127463054187193
8	MenNorm3	324	normal	0.0663119115841179	0.05232558139534884
8	MenNorm4	12	normal	0.0024559967253376994	0.0013895321908290875
8	MenNorm5	32	normal	0.006549324600900532	0.007304268431864871
8	MenNorm6	36	normal	0.007367990176013099	0.006294806784402867
8	MenNorm7	9	normal	0.0018419975440032747	0.0016178321049793278
8	MenOA1	964	OA	0.19729840360212852	0.12501621060822202
8	MenOA2	514	OA	0.1051985264019648	0.09683496608892238
8	MenOA3	568	OA	0.11625051166598445	0.1970853573907009
8	MenOA4	1683	OA	0.34445354072861234	0.16856971153846154
8	MenOA5	118	OA	0.024150634465820713	0.025624321389793703
8	MenOA6	153	OA	0.03131395824805567	0.029451395572666024
9	MenNorm1AVAS	0	normal	0.0	0.0
9	MenNorm1VAS	0	normal	0.0	0.0
9	MenNorm2	0	normal	0.0	0.0
9	MenNorm3	0	normal	0.0	0.0
9	MenNorm4	0	normal	0.0	0.0
9	MenNorm5	0	normal	0.0	0.0
9	MenNorm6	0	normal	0.0	0.0
9	MenNorm7	0	normal	0.0	0.0
9	MenOA1	7	OA	0.014736842105263158	0.0009077940604331475
9	MenOA2	2	OA	0.004210526315789474	0.00037678975131876413
9	MenOA3	3	OA	0.00631578947368421	0.001040943789035392
9	MenOA4	463	OA	0.9747368421052631	0.04637419871794872
9	MenOA5	0	OA	0.0	0.0
9	MenOA6	0	OA	0.0	0.0
10	MenNorm1AVAS	0	normal	0.0	0.0
10	MenNorm1VAS	0	normal	0.0	0.0
10	MenNorm2	1	normal	0.0001528584530724549	0.0001539408866995074
10	MenNorm3	2	normal	0.0003057169061449098	0.00032299741602067185
10	MenNorm4	0	normal	0.0	0.0
10	MenNorm5	109	normal	0.016661571384897586	0.024880164346039717
10	MenNorm6	43	normal	0.006572913482115561	0.007518796992481203
10	MenNorm7	2	normal	0.0003057169061449098	0.0003595182455509617
10	MenOA1	5	OA	0.0007642922653622745	0.0006484243288808196
10	MenOA2	6	OA	0.0009171507184347294	0.0011303692539562924
10	MenOA3	14	OA	0.0021400183430143687	0.004857737682165163
10	MenOA4	1	OA	0.0001528584530724549	0.00010016025641025641
10	MenOA5	3755	OA	0.5739834912870682	0.8154180238870793
10	MenOA6	2604	OA	0.3980434118006726	0.5012512030798845
11	MenNorm1AVAS	0	normal	0.0	0.0
11	MenNorm1VAS	0	normal	0.0	0.0
11	MenNorm2	6	normal	0.002110446711220542	0.0009236453201970443
11	MenNorm3	1	normal	0.00035174111853675694	0.00016149870801033592
11	MenNorm4	0	normal	0.0	0.0
11	MenNorm5	140	normal	0.049243756595145974	0.03195617438940881
11	MenNorm6	1443	normal	0.5075624340485403	0.2523168386081483
11	MenNorm7	8	normal	0.0028139289482940555	0.0014380729822038468
11	MenOA1	2	OA	0.0007034822370735139	0.00025936973155232785
11	MenOA2	9	OA	0.0031656700668308124	0.0016955538809344385
11	MenOA3	8	OA	0.0028139289482940555	0.002775850104094379
11	MenOA4	2	OA	0.0007034822370735139	0.00020032051282051281
11	MenOA5	37	OA	0.013014421385860007	0.008034744842562433
11	MenOA6	1187	OA	0.4175167077031305	0.22848893166506257
12	MenNorm1AVAS	0	normal	0.0	0.0
12	MenNorm1VAS	3	normal	0.00042887776983559683	0.0003758927452700163
12	MenNorm2	996	normal	0.14238741958541815	0.15332512315270935
12	MenNorm3	5626	normal	0.8042887776983559	0.9085917312661499
12	MenNorm4	1	normal	0.0001429592566118656	0.0001157943492357573
12	MenNorm5	24	normal	0.0034310221586847747	0.005478201323898653
12	MenNorm6	11	normal	0.0015725518227305219	0.0019234131841230984
12	MenNorm7	3	normal	0.00042887776983559683	0.0005392773683264426
12	MenOA1	200	OA	0.028591851322373123	0.025936973155232784
12	MenOA2	53	OA	0.007576840600428878	0.009984928409947249
12	MenOA3	28	OA	0.004002859185132237	0.009715475364330326
12	MenOA4	37	OA	0.0052894924946390275	0.003705929487179487
12	MenOA5	7	OA	0.0010007147962830592	0.0015200868621064061
12	MenOA6	6	OA	0.0008577555396711937	0.0011549566891241579
13	MenNorm1AVAS	1	normal	0.00019615535504119262	0.00012196609342602757
13	MenNorm1VAS	4	normal	0.0007846214201647705	0.0005011903270266884
13	MenNorm2	4788	normal	0.9391918399372303	0.7370689655172413
13	MenNorm3	128	normal	0.025107885445272655	0.020671834625323
13	MenNorm4	0	normal	0.0	0.0
13	MenNorm5	11	normal	0.0021577089054531187	0.0025108422734535494
13	MenNorm6	9	normal	0.0017653981953707335	0.0015737016961007168
13	MenNorm7	0	normal	0.0	0.0
13	MenOA1	52	OA	0.010200078462142017	0.006743613020360524
13	MenOA2	38	OA	0.00745390349156532	0.007159005275056519
13	MenOA3	12	OA	0.0023538642604943117	0.004163775156141568
13	MenOA4	52	OA	0.010200078462142017	0.005208333333333333
13	MenOA5	1	OA	0.00019615535504119262	0.00021715526601520088
13	MenOA6	2	OA	0.00039231071008238524	0.00038498556304138594
14	MenNorm1AVAS	0	normal	0.0	0.0
14	MenNorm1VAS	0	normal	0.0	0.0
14	MenNorm2	9	normal	0.001601423487544484	0.0013854679802955665
14	MenNorm3	5	normal	0.0008896797153024911	0.0008074935400516795
14	MenNorm4	3	normal	0.0005338078291814947	0.0003473830477072719
14	MenNorm5	3541	normal	0.6300711743772242	0.8082629536635472
14	MenNorm6	2004	normal	0.35658362989323844	0.3504109109984263
14	MenNorm7	17	normal	0.0030249110320284696	0.0030559050871831746
14	MenOA1	2	OA	0.00035587188612099647	0.00025936973155232785
14	MenOA2	2	OA	0.00035587188612099647	0.00037678975131876413
14	MenOA3	1	OA	0.00017793594306049823	0.00034698126301179735
14	MenOA4	0	OA	0.0	0.0
14	MenOA5	12	OA	0.002135231316725979	0.0026058631921824105
14	MenOA6	24	OA	0.004270462633451958	0.0046198267564966315
15	MenNorm1AVAS	0	normal	0.0	0.0
15	MenNorm1VAS	1	normal	0.0004701457451810061	0.0001252975817566721
15	MenNorm2	178	normal	0.08368594264221908	0.027401477832512317
15	MenNorm3	65	normal	0.0305594734367654	0.010497416020671835
15	MenNorm4	1	normal	0.0004701457451810061	0.0001157943492357573
15	MenNorm5	0	normal	0.0	0.0
15	MenNorm6	1	normal	0.0004701457451810061	0.00017485574401119076
15	MenNorm7	0	normal	0.0	0.0
15	MenOA1	637	OA	0.29948283968030087	0.08260925949941642
15	MenOA2	687	OA	0.3229901269393512	0.1294272795779955
15	MenOA3	224	OA	0.10531264692054537	0.0777238029146426
15	MenOA4	325	OA	0.152797367183827	0.032552083333333336
15	MenOA5	2	OA	0.0009402914903620122	0.00043431053203040176
15	MenOA6	6	OA	0.0028208744710860366	0.0011549566891241579
16	MenNorm1AVAS	0	normal	0.0	0.0
16	MenNorm1VAS	0	normal	0.0	0.0
16	MenNorm2	24	normal	0.0030939796313007605	0.003694581280788177
16	MenNorm3	4	normal	0.00051566327188346	0.0006459948320413437
16	MenNorm4	0	normal	0.0	0.0
16	MenNorm5	4	normal	0.00051566327188346	0.0009130335539831089
16	MenNorm6	0	normal	0.0	0.0
16	MenNorm7	1	normal	0.000128915817970865	0.00017975912277548085
16	MenOA1	338	OA	0.04357354647415238	0.043833484632343406
16	MenOA2	591	OA	0.07618924842078123	0.1113413715146948
16	MenOA3	625	OA	0.08057238623179064	0.21686328938237334
16	MenOA4	6161	OA	0.7942503545184995	0.6170873397435898
16	MenOA5	7	OA	0.0009024107257960552	0.0015200868621064061
16	MenOA6	2	OA	0.00025783163594173	0.00038498556304138594
17	MenNorm1AVAS	0	normal	0.0	0.0
17	MenNorm1VAS	0	normal	0.0	0.0
17	MenNorm2	17	normal	0.004331210191082803	0.0026169950738916255
17	MenNorm3	9	normal	0.0022929936305732482	0.0014534883720930232
17	MenNorm4	0	normal	0.0	0.0
17	MenNorm5	9	normal	0.0022929936305732482	0.002054325496461995
17	MenNorm6	2	normal	0.0005095541401273885	0.0003497114880223815
17	MenNorm7	0	normal	0.0	0.0
17	MenOA1	1774	OA	0.4519745222929936	0.2300609518869148
17	MenOA2	439	OA	0.11184713375796178	0.08270535041446872
17	MenOA3	651	OA	0.16585987261146498	0.22588480222068008
17	MenOA4	953	OA	0.24280254777070065	0.09545272435897435
17	MenOA5	54	OA	0.013757961783439491	0.011726384364820847
17	MenOA6	17	OA	0.004331210191082803	0.0032723772858517805
18	MenNorm1AVAS	0	normal	0.0	0.0
18	MenNorm1VAS	0	normal	0.0	0.0
18	MenNorm2	8	normal	0.0010310607036989304	0.0012315270935960591
18	MenNorm3	6	normal	0.0007732955277741977	0.0009689922480620155
18	MenNorm4	0	normal	0.0	0.0
18	MenNorm5	0	normal	0.0	0.0
18	MenNorm6	0	normal	0.0	0.0
18	MenNorm7	0	normal	0.0	0.0
18	MenOA1	3727	OA	0.48034540533573916	0.48333549474776294
18	MenOA2	2956	OA	0.38097693001675476	0.5568952524491334
18	MenOA3	745	OA	0.09601752803196288	0.25850104094378906
18	MenOA4	302	OA	0.038922541564634615	0.030248397435897436
18	MenOA5	8	OA	0.0010310607036989304	0.001737242128121607
18	MenOA6	7	OA	0.000902178115736564	0.001347449470644851
