fibro_leiden	sample_label	disease_status	n_cells	cluster_total_cells	sample_total_cells	cluster_fraction	sample_fraction	program_gene_count	program_score_logcpm	total_counts	present_for_recurrence	program_score_z
3	MenNorm4	normal	1	3157	8636	0.0003167564143173899	0.0001157943492357573	30	4.966553769675907	3168.0	False	0.8673450812619308
3	MenNorm5	normal	0	3157	4381	0.0	0.0	30	0.0	0.0	False	-0.8036701294573998
3	MenNorm6	normal	0	3157	5719	0.0	0.0	30	0.0	0.0	False	-0.8036701294573998
3	MenNorm7	normal	4	3157	5563	0.0012670256572695597	0.0007190364911019234	30	5.36209963176171	26601.0	False	1.0004279356383565
3	MenOA1	OA	1	3157	7711	0.0003167564143173899	0.00012968486577616392	30	2.281717346913123	893.0	False	-0.03597796904356264
3	MenOA2	OA	0	3157	5308	0.0	0.0	30	0.0	0.0	False	-0.8036701294573998
3	MenOA3	OA	0	3157	2882	0.0	0.0	30	0.0	0.0	False	-0.8036701294573998
3	MenOA4	OA	0	3157	9984	0.0	0.0	30	0.0	0.0	False	-0.8036701294573998
3	MenOA5	OA	0	3157	4605	0.0	0.0	30	0.0	0.0	False	-0.8036701294573998
3	MenOA6	OA	0	3157	5195	0.0	0.0	30	0.0	0.0	False	-0.8036701294573998
4	MenNorm1AVAS	normal	20	6224	8199	0.003213367609254499	0.0024393218685205514	30	7.479027441325266	59715.0	False	0.7561934561914755
4	MenNorm1VAS	normal	27	6224	7981	0.004338046272493574	0.0033830347074301466	30	7.613272016181704	102215.0	False	0.7989580959547792
4	MenNorm2	normal	1	6224	6496	0.00016066838046272492	0.0001539408866995074	30	7.660760173813301	3703.0	False	0.8140858130808529
4	MenNorm3	normal	5	6224	6192	0.0008033419023136247	0.0008074935400516795	30	7.311404584146639	9489.0	False	0.7027959083873607
4	MenNorm4	normal	6133	6224	8636	0.985379177377892	0.7101667438628995	30	8.278793913067904	39342492.0	True	1.0109652046618915
4	MenNorm5	normal	1	6224	4381	0.00016066838046272492	0.00022825838849577722	30	5.131329009210949	893.0	False	0.008316100033071665
4	MenNorm6	normal	2	6224	5719	0.00032133676092544985	0.0003497114880223815	30	6.596675120915047	3621.0	False	0.4751133517104518
