signature	source	gene	signature_class
hra_Ch.4_CFD	HRA001986_author_processed_chondrocyte_markers	CFD	HRA_reference_state
hra_Ch.4_CFD	HRA001986_author_processed_chondrocyte_markers	GSN	HRA_reference_state
hra_Ch.4_CFD	HRA001986_author_processed_chondrocyte_markers	SELENOP	HRA_reference_state
hra_Ch.4_CFD	HRA001986_author_processed_chondrocyte_markers	SERPING1	HRA_reference_state
hra_PCL_progenitor_like	HRA001986_author_processed_chondrocyte_markers	ENG	HRA_reference_state
hra_PCL_progenitor_like	HRA001986_author_processed_chondrocyte_markers	GDF5	HRA_reference_state
hra_PCL_progenitor_like	HRA001986_author_processed_chondrocyte_markers	ITGA5	HRA_reference_state
hra_PCL_progenitor_like	HRA001986_author_processed_chondrocyte_markers	ITGB1	HRA_reference_state
hra_PCL_progenitor_like	HRA001986_author_processed_chondrocyte_markers	MCAM	HRA_reference_state
hra_PCL_progenitor_like	HRA001986_author_processed_chondrocyte_markers	NT5E	HRA_reference_state
hra_PCL_progenitor_like	HRA001986_author_processed_chondrocyte_markers	PRG4	HRA_reference_state
hra_PCL_progenitor_like	HRA001986_author_processed_chondrocyte_markers	THY1	HRA_reference_state
hra_communication_axes	HRA001986_author_processed_chondrocyte_markers	ANGPTL4	HRA_reference_state
hra_communication_axes	HRA001986_author_processed_chondrocyte_markers	CXCL12	HRA_reference_state
hra_communication_axes	HRA001986_author_processed_chondrocyte_markers	MIF	HRA_reference_state
hra_communication_axes	HRA001986_author_processed_chondrocyte_markers	SPP1	HRA_reference_state
hra_communication_axes	HRA001986_author_processed_chondrocyte_markers	VEGFA	HRA_reference_state
hra_cycling	HRA001986_author_processed_chondrocyte_markers	CENPF	HRA_reference_state
hra_cycling	HRA001986_author_processed_chondrocyte_markers	HMGB2	HRA_reference_state
hra_cycling	HRA001986_author_processed_chondrocyte_markers	MKI67	HRA_reference_state
hra_cycling	HRA001986_author_processed_chondrocyte_markers	TOP2A	HRA_reference_state
hra_cycling	HRA001986_author_processed_chondrocyte_markers	TYMS	HRA_reference_state
hra_cycling	HRA001986_author_processed_chondrocyte_markers	UBE2C	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	CCL2	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	CXCL1	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	CXCL2	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	CXCL8	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	IL6	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	MMP1	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	MMP13	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	MMP3	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	MMP9	HRA_reference_state
hra_sasp_ecm_remodeling	HRA001986_author_processed_chondrocyte_markers	TIMP1	HRA_reference_state
hra_senescence_arrest	HRA001986_author_processed_chondrocyte_markers	CDKN1A	HRA_reference_state
hra_senescence_arrest	HRA001986_author_processed_chondrocyte_markers	CDKN2A	HRA_reference_state
hra_senescence_arrest	HRA001986_author_processed_chondrocyte_markers	CDKN2B	HRA_reference_state
hra_senescence_arrest	HRA001986_author_processed_chondrocyte_markers	GADD45A	HRA_reference_state
hra_senescence_arrest	HRA001986_author_processed_chondrocyte_markers	GADD45B	HRA_reference_state
hra_senescence_arrest	HRA001986_author_processed_chondrocyte_markers	GLB1	HRA_reference_state
hra_senescence_arrest	HRA001986_author_processed_chondrocyte_markers	LMNB1	HRA_reference_state
hra_senescence_arrest	HRA001986_author_processed_chondrocyte_markers	SERPINE1	HRA_reference_state
immune_myeloid	GSE220243_broad_markers	AIF1	immune_celltype
immune_myeloid	GSE220243_broad_markers	C1QA	immune_celltype
immune_myeloid	GSE220243_broad_markers	C1QB	immune_celltype
immune_myeloid	GSE220243_broad_markers	CD68	immune_celltype
immune_myeloid	GSE220243_broad_markers	CD74	immune_celltype
immune_myeloid	GSE220243_broad_markers	FCGR3A	immune_celltype
immune_myeloid	GSE220243_broad_markers	LST1	immune_celltype
immune_myeloid	GSE220243_broad_markers	LYZ	immune_celltype
immune_myeloid	GSE220243_broad_markers	PTPRC	immune_celltype
immune_myeloid	GSE220243_broad_markers	TYROBP	immune_celltype
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	C1R	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	C1S	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	CCL2	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	CCL3	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	CFD	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	CXCL8	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	FOS	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	IER3	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	IL6	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	JUN	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	NFKBIA	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	PTGS2	inflammatory_senescence_state
inflammatory_sasp_like	GSE220243_broad_markers+HRA_Ch4	SOD2	inflammatory_senescence_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	ACAN	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	CHAD	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	CILP	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	CILP2	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	COL11A1	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	COL2A1	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	COL9A1	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	COMP	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	MATN3	fibrocartilage_state
inner_chondrocyte_like	GSE220243_broad_markers+HRA_Ch1	SOX9	fibrocartilage_state
mural_smooth_muscle	GSE220243_broad_markers	ACTA2	vascular_or_contaminating_celltype
mural_smooth_muscle	GSE220243_broad_markers	MCAM	vascular_or_contaminating_celltype
