fibro_leiden	program_gene_rank	gene	present	score	logfoldchanges	pvals_adj
11	30	SEPTIN2	True	55.904346	3.1875918	0.0
12	1	PCOLCE2	True	64.20119	1.5435561	0.0
12	2	FHL1	True	60.577423	1.8325405	0.0
12	3	FRZB	True	54.654293	1.960398	0.0
12	4	CD9	True	54.59715	1.2072086	0.0
12	5	RPS4Y1	True	53.526306	1.7219226	0.0
12	6	S100A6	True	52.843132	0.992048	0.0
12	7	C2orf40	True	52.368317	1.8261691	0.0
12	8	CILP	True	47.097443	1.678238	0.0
12	9	ANXA2	True	45.04847	1.0407685	0.0
12	10	MGLL	True	44.855297	1.6595592	0.0
12	11	CLU	True	44.298088	1.2252253	0.0
12	12	COMP	True	44.08646	1.5083541	0.0
12	13	SERTAD4-AS1	True	43.777767	1.4758526	0.0
12	14	NR1D1	True	43.294884	1.3921443	0.0
12	15	GADD45G	True	42.541542	1.6846753	0.0
12	16	SPINK2	True	42.49333	4.4663157	0.0
12	17	VIM	True	42.27863	0.6257604	0.0
12	18	IGFBP7	True	41.20592	1.2366223	0.0
12	19	IER3	True	40.948837	1.4115785	0.0
12	20	PRELP	True	40.215023	1.0493356	0.0
12	21	MTRNR2L12	True	38.453663	1.1924503	1.6135686638691335e-304
12	22	MT-ND5	True	38.31526	0.98813057	3.9496468221556723e-302
12	23	IGFBP6	True	37.73446	1.380904	6.871463120582323e-294
12	24	VCAN	True	37.711555	1.3857919	1.2743665432874393e-293
12	25	HES1	True	37.686363	1.213296	2.797302219785946e-293
12	26	CRIP2	True	37.64343	1.1125981	1.1832039200138746e-292
12	27	DCN	True	37.510605	0.708705	7.185903545596846e-288
12	28	DSTN	True	36.914234	0.6380533	9.991367244851111e-282
12	29	MYOC	True	36.880547	2.12457	1.3158149483283115e-279
12	30	ITM2C	True	36.12486	1.1198357	1.5813279818192963e-270
13	1	SCRG1	True	65.59799	2.428018	0.0
13	2	RPS4Y1	True	64.21188	2.1485648	0.0
13	3	CLU	True	58.287342	1.6436708	0.0
13	4	FGFBP2	True	56.562405	2.5073483	0.0
13	5	BHLHE41	True	56.49982	2.0271058	0.0
13	6	HLA-C	True	55.423763	1.2186321	0.0
13	7	NDUFA4L2	True	55.306065	1.5697654	0.0
13	8	C2orf40	True	54.479446	2.0806296	0.0
13	9	SOD3	True	51.987846	1.4198319	0.0
13	10	CILP	True	51.86434	2.0334451	0.0
13	11	WWP2	True	51.810555	1.9244856	0.0
13	12	ITM2C	True	51.204464	1.7412899	0.0
13	13	FBXO2	True	50.843147	1.647362	0.0
13	14	FRZB	True	49.75075	2.0451102	0.0
13	15	MT-CO3	True	49.640747	1.4784021	0.0
13	16	PCOLCE2	True	49.483494	1.3882421	0.0
13	17	MAGED2	True	48.91102	1.4376249	0.0
13	18	DBP	True	47.21673	2.1212757	0.0
13	19	NINJ1	True	46.86917	1.6639205	0.0
13	20	SERPINA1	True	46.724068	2.0294933	0.0
13	21	STC2	True	46.567253	2.3602457	0.0
