sample_id	sample_title	source_name	series_title	platform_id	age	sex	bmi	disease_state	dataset_id	tissue	condition	contrast_group	score_Fibrocartilage_matrix	score_Fibrotic_remodeling	score_MSP_paracrine	score_MSP_angiogenic	score_MSP_inflammatory	score_MSP_paracrine_consensus	score_MSP_interface_matrix_fibrotic	primary_oa_normal	gse89408_oa_normal_sensitivity	gse98918_oa_apm_exploratory	gse191157_aged_young_exploratory
OA_Cart_3_9	OA_Cart_3_9		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	-0.0881501385073562	0.4521733988398209	-0.1765308400979618	-0.1382897245498224	-0.448945330051638	-0.2563968443069016	0.3640232603324647	True	False	False	False
OA_Cart_4_10	OA_Cart_4_10		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	1.1550969833037894	0.4809084262341031	-0.143358591340162	-0.1800792633272498	-1.284248341164741	-0.1369549695712036	1.6360054095378924	True	False	False	False
OA_Cart_5_5	OA_Cart_5_5		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	-0.2025519504028314	1.859731527672685	0.588426252208096	0.2541040567924549	0.3951191630148908	0.4196851605658284	1.6571795772698534	True	False	False	False
OA_Cart_6_1	OA_Cart_6_1		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.8236388441714884	0.3635864184977043	-0.051113050705096	-0.593969611385385	-0.5176953590902602	-0.3982645806058684	1.1872252626691926	True	False	False	False
OA_Cart_7_2	OA_Cart_7_2		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.8497610980016287	0.229801546713199	0.2191898819193712	0.0739436717492428	-0.3393337841824307	0.0347321273538597	1.0795626447148277	True	False	False	False
OA_Cart_8_5	OA_Cart_8_5		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.6791566701508469	0.707403635278271	0.2087023636505915	-0.0075061954560266	-0.6335161226769747	0.0391217109944963	1.3865603054291178	True	False	False	False
OA_Cart_9_6	OA_Cart_9_6		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.386004981384188	-0.3039638537811827	-0.0448309285477633	-0.0379595797102518	-0.2975801780451027	-0.1944728764136795	0.0820411276030053	True	False	False	False
OA_01	OA_01		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.4944532732493186	0.8121239328057441	0.1142756141476422	0.2860764867679811	-0.6868793980242298	0.0525710696443635	1.3065772060550627	True	False	False	False
OA_02	OA_02		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.2572228587057351	1.0766980975631584	-0.1268928560622454	-0.1197489682350192	-0.4203918910601554	-0.2485241599727995	1.3339209562688934	True	False	False	False
OA_03	OA_03		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.6034084436600279	0.455322169213501	-0.4007708108900216	-0.1757084449742269	-0.746085291426178	-0.4104752775857009	1.058730612873529	True	False	False	False
OA_04	OA_04		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.6866535096329788	0.7414251009436831	-0.1459393869966216	0.1289309182011915	-0.6461206337693869	-0.1467144916947539	1.4280786105766619	True	False	False	False
