reference_name	dataset_id	n_signature_genes	n_common_genes	common_gene_fraction	n_assigned_samples	n_matched_samples	used_for_nnls
GSE220243_broad	GSE114007	420	405	0.9642857142857143	20	20	True
HRA001986_chondrocyte	GSE114007	420	406	0.9666666666666667	20	20	True
GSE220243_broad	GSE98918	420	408	0.9714285714285714	12	12	True
HRA001986_chondrocyte	GSE98918	420	407	0.969047619047619	12	12	True
GSE220243_broad	GSE55235	420	372	0.8857142857142857	10	10	True
GSE220243_broad	GSE55457	420	372	0.8857142857142857	10	10	True
GSE220243_broad	GSE89408	420	407	0.969047619047619	22	22	True
GSE220243_broad	GSE169077	420	372	0.8857142857142857	6	6	True
HRA001986_chondrocyte	GSE169077	420	351	0.8357142857142857	6	6	True
