reference_name	dataset_id	sample_id	tissue	condition	subtype_id	subtype_label	state	fraction	n_genes_used	reconstruction_rmse
GSE220243_broad	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.9553622572353355
GSE220243_broad	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.0	405	1.9553622572353355
GSE220243_broad	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.0	405	1.9553622572353355
GSE220243_broad	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.9553622572353355
GSE220243_broad	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	endothelial	0.0	405	1.9113026447125465
GSE220243_broad	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	fibrochondrocyte_core	0.7912675564247292	405	1.9113026447125465
GSE220243_broad	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	immune_myeloid	0.0	405	1.9113026447125465
GSE220243_broad	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	inflammatory_like	0.0	405	1.9113026447125465
GSE220243_broad	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	mural_smooth_muscle	0.2087324435752708	405	1.9113026447125465
GSE220243_broad	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	outer_fibrous_like	0.0	405	1.9113026447125465
GSE220243_broad	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	t_nk	0.0	405	1.9113026447125465
GSE220243_broad	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	endothelial	0.0	405	1.878367834141535
GSE220243_broad	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	fibrochondrocyte_core	1.0	405	1.878367834141535
GSE220243_broad	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	immune_myeloid	0.0	405	1.878367834141535
GSE220243_broad	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	inflammatory_like	0.0	405	1.878367834141535
GSE220243_broad	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	mural_smooth_muscle	0.0	405	1.878367834141535
GSE220243_broad	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	outer_fibrous_like	0.0	405	1.878367834141535
GSE220243_broad	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	t_nk	0.0	405	1.878367834141535
GSE220243_broad	GSE114007	OA_Cart_9_6	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.8592534844144664
GSE220243_broad	GSE114007	OA_Cart_9_6	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.9927582672898914	405	1.8592534844144664
GSE220243_broad	GSE114007	OA_Cart_9_6	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.8592534844144664
GSE220243_broad	GSE114007	OA_Cart_9_6	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.8592534844144664
GSE220243_broad	GSE114007	OA_Cart_9_6	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.007241732710108549	405	1.8592534844144664
GSE220243_broad	GSE114007	OA_Cart_9_6	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.0	405	1.8592534844144664
GSE220243_broad	GSE114007	OA_Cart_9_6	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.8592534844144664
