leiden	sample_label	disease_status	n_cells	sample_total_cells	fraction_of_sample
15	MenNorm2	normal	11	7727	0.001423579655752556
15	MenNorm3	normal	5	6976	0.0007167431192660551
15	MenOA1	OA	3902	8488	0.45970782280867106
15	MenOA2	OA	3272	5753	0.5687467408308708
15	MenOA3	OA	1081	3647	0.2964080065807513
15	MenOA4	OA	372	11376	0.03270042194092827
15	MenOA5	OA	12	5504	0.002180232558139535
15	MenOA6	OA	6	6514	0.00092109303039607
16	MenNorm2	normal	27	7727	0.0034942409732108192
16	MenNorm3	normal	7	6976	0.0010034403669724771
16	MenNorm5	normal	3	4675	0.0006417112299465241
16	MenNorm6	normal	4	7744	0.0005165289256198347
16	MenNorm7	normal	1	6350	0.00015748031496062991
16	MenOA1	OA	159	8488	0.018732327992459944
16	MenOA2	OA	256	5753	0.04449852250999479
16	MenOA3	OA	230	3647	0.06306553331505346
16	MenOA4	OA	6426	11376	0.564873417721519
16	MenOA5	OA	3	5504	0.0005450581395348837
16	MenOA6	OA	7	6514	0.0010746085354620817
17	MenNorm2	normal	1	7727	0.00012941633234114146
17	MenNorm3	normal	4	6976	0.0005733944954128441
17	MenNorm5	normal	163	4675	0.03486631016042781
17	MenNorm6	normal	178	7744	0.022985537190082644
17	MenNorm7	normal	5	6350	0.0007874015748031496
17	MenOA1	OA	3	8488	0.000353440150801131
17	MenOA2	OA	4	5753	0.0006952894142186686
17	MenOA3	OA	7	3647	0.0019193857965451055
17	MenOA4	OA	1	11376	8.790436005625879e-05
17	MenOA5	OA	3892	5504	0.7071220930232558
17	MenOA6	OA	2846	6514	0.4369051274178692
