k	program	senescence_score	sasp_score	ecm_remodeling_score	fibrocartilage_score	communication_score	progenitor_interface_score	generic_stress_score	contamination_score	immune_score	mural_score	cycling_score	msp_axis_score	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected	mean_usage_oa	mean_usage_normal	median_usage_oa	median_usage_normal	usage_delta_oa_minus_normal	sample_mean_usage_sd	top_sample_by_mean	top_sample_mean_usage	silhouette	prediction_error	top_genes_20	program_label	candidate_status	analysis_tier	analysis_tier_rank	msp_rank_score
14	10	5.142652313930708	15.524227298058277	0.0	0.0	2.562345321246125	0.0	5.657310060964683	0.0	0.0	0.0	0.0	20.668643939485342	0.0590229643156456	0.0280519009665151	0.2237989400106504	MenOA5	0.1382937436931944	normal	0.622033726170916	14	0.05344385088343909	0.06342675178530319	0.019900785	0.033449999	-0.0099829009018641	0.03233474342693353	MenOA5	0.11349331875162424	0.8743303614517992	145275256.12035054	GEM,CDKN1A,PPP1R15A,ABL2,MAT2A,HMOX1,KDM6B,IRF1,NFKBIA,MYC,IER3,SOCS3,ATF3,NR4A3,NFKBIZ,ARID5B,NR4A1,KCNQ1OT1,NR4A2,HSPH1	senescence_inflammatory	msp_like_primary_caution_normal_skew	primary_k	0	21.392056452098952
12	8	2.97791162442478	5.584807007258588	0.0	0.7315048408184566	11.78437820088605	0.0	5.657310060964683	0.0	0.0	0.0	0.0	19.596695633200326	0.075252785646794	0.0210407730025242	0.3471146659014882	MenNorm5	0.2910803589206648	normal	0.7298763590881415	14	0.04829425893937763	0.0953527885354307	0.0053569597	0.033373222	-0.04705852959605306	0.08203870187472191	MenNorm5	0.3074881919730825	0.8856960871615933	146180669.3533125	TNFRSF12A,VEGFA,BMP2,HSPA5,RPS17,MIF,RPL17,PTGS2,KDM6B,FOSL1,CDKN1A,INHBA,SDF2L1,CHAC1,RCAN1,SERPINA3,GLIS3,EEF1G,NME2,GAS5	senescence_paracrine_MSP_like	msp_like_primary_caution_normal_skew	primary_k	0	20.014534915358997
14	9	0.4029321877586527	2.630622610055023	0.0	1.7202585104583135	10.078707214994514	0.0	1.4721205999412117	0.6797377023445434	0.0	0.0	0.0	12.635985960143572	0.0566066472762576	0.0025276421267954	0.3061130197767323	MenNorm5	0.3449363485263837	normal	0.8059548931928247	14	0.025949603093592347	0.07942711217616714	0.0	0.01518323475	-0.0534775090825748	0.07059138740229137	MenNorm5	0.2751892936948175	0.8743303614517992	145275256.12035054	VEGFA,HSPA5,TNFRSF12A,MIF,SDF2L1,ANGPTL4,IL11,BMP2,RPS17,RPL17,SERPINA3,SLC2A1,FGF2,BNIP3,EGLN3,EIF4EBP1,INHBA,BHLHE40,PTGS2,RFLNB	angiogenic_paracrine	msp_like_primary_caution_normal_skew	primary_k	0	12.606244411918533
14	4	0.0	0.0	2.12410455900652	23.651685955090866	0.9343698044025642	0.0	0.0	0.0	0.0	0.0	0.0	8.487088202650298	0.1102152870954688	0.031839212232949	0.4432319836715488	MenOA1	0.1851814959665761	OA	0.7351779724954051	14	0.18786507703677408	0.04962296731176856	0.15160746	0.0	0.1382421097250055	0.08895924639358056	MenOA1	0.2830088676530475	0.8743303614517992	145275256.12035054	SCRG1,FMOD,COL2A1,SBSPON,CILP2,CLEC3A,SMOC2,COL9A3,FIBIN,COL11A1,OGN,MGP,COMP,TSPAN2,COL11A2,C2orf40,ACAN,SPARC,BGN,CILP	fibrocartilage_matrix	primary_non_msp_or_context_program	primary_k	0	9.116725210717146
12	2	0.4029321877586527	0.0	0.3617391140906241	26.76106346016496	0.0	0.6286531841066286	0.42625583896605546	0.0	0.0	0.0	0.0	7.339691048738447	0.1753417657424296	0.0853655029498563	0.5798793955196448	MenNorm2	0.1523078491527496	OA	0.5668763548966795	14	0.22981060973468306	0.12855306202074518	0.18527753	0.0340178405	0.10125754771393788	0.12178444288826148	MenNorm2	0.35620857019739	0.8856960871615933	146180669.3533125	SCRG1,COMP,CILP2,FMOD,C2orf40,MGP,CILP,SBSPON,DCN,PRELP,COL2A1,CLEC3A,COL9A3,FIBIN,ACAN,C9orf3,FBXO2,SMOC2,BGN,FRZB	fibrocartilage_matrix	primary_non_msp_or_context_program	primary_k	0	8.035075350432948
14	7	1.0691243519392781	0.31061906245110604	6.745648428390129	0.0	0.9343698044025642	0.9786531841066286	0.0	0.5454431699804685	0.0	0.5454431699804685	0.0	6.90658417825136	0.0633867913660815	0.0136748809443987	0.2926224775927442	MenOA1	0.1984584624287413	OA	0.7619482128834258	14	0.11813817126570926	0.026636434332174264	0.0596731605	0.0	0.091501736933535	0.05396447986180051	MenOA1	0.17565286257967652	0.8743303614517992	145275256.12035054	COL1A1,COL1A2,COL6A1,POSTN,COL5A2,LGALS1,SPARC,TGFBI,COL6A2,COL3A1,MXRA5,COL6A3,FNDC1,LOXL2,DKK3,ITGB1,SPON2,COL5A1,LRRC15,TPM1	other_fibrochondrocyte_program	primary_non_msp_or_context_program	primary_k	0	7.236945668403644
12	6	1.0691243519392781	0.31061906245110604	6.745648428390129	0.0	0.9343698044025642	0.9786531841066286	0.0	0.5454431699804685	0.0	0.5454431699804685	0.0	6.90658417825136	0.0690224705571291	0.0168099009306319	0.3135298687900021	MenOA1	0.2001280055794496	OA	0.7674192443591803	14	0.12894111748076767	0.027858187684511187	0.0712613175	0.0	0.10108292979625648	0.0596112566316537	MenOA1	0.19194525880257626	0.8856960871615933	146180669.3533125	COL1A1,COL1A2,COL6A1,COL5A2,POSTN,LGALS1,SPARC,COL6A2,TGFBI,COL3A1,MXRA5,FNDC1,COL6A3,LOXL2,DKK3,ITGB1,SPON2,COL5A1,LRRC15,TPM1	other_fibrochondrocyte_program	primary_non_msp_or_context_program	primary_k	0	7.233606582102226
12	1	0.4029321877586527	1.930622610055023	1.3250012716347	0.0	4.961071779068464	0.0	9.465503393361118	0.45176272825891506	0.45176272825891506	0.0	0.0	5.894649740047158	0.1684725896591997	0.0753642757630118	0.7029939818147498	MenNorm1AVAS	0.2184958450623173	normal	0.8422629236833765	14	0.060606366588735076	0.24444958493777638	0.01554931475	0.15552723000000002	-0.1838432183490413	0.16539511819547045	MenNorm1AVAS	0.5465686808226625	0.8856960871615933	146180669.3533125	MT2A,MT1E,MT1X,MT1M,DDIT4,CHI3L1,GPX3,CDA,SOD2,SLC25A37,LOX,BNIP3,EGLN3,GLRX,AC008592.5,GALNT15,ERRFI1,MT1G,MTHFD2,EFNA1	generic_stress_response	primary_non_msp_or_context_program	primary_k	0	6.231776685793066
14	1	0.4029321877586527	1.930622610055023	1.6750012716347	0.0	4.611071779068465	0.0	9.465503393361118	0.45176272825891506	0.45176272825891506	0.0	0.0	5.789649740047158	0.1630258318378018	0.0697010078054025	0.68520697711674	MenNorm1AVAS	0.2290542701111868	normal	0.8427068220556486	14	0.058500561101623376	0.23615489986820143	0.017114616	0.145644265	-0.17765433876657805	0.16624680381597462	MenNorm1AVAS	0.5508628598152124	0.8743303614517992	145275256.12035054	MT1X,MT2A,MT1E,MT1M,DDIT4,GPX3,CHI3L1,CDA,GALNT15,SOD2,LOX,SLC25A37,MTHFD2,MT1G,AC008592.5,GLRX,BNIP3,EGLN3,ERRFI1,EFNA1	generic_stress_response	primary_non_msp_or_context_program	primary_k	0	6.105659835695326
12	9	0.7529321877586527	0.660619062451106	4.123300698215905	0.3815048408184566	0.5843698044025643	3.464822081877302	0.0	0.0	0.0	0.0	0.0	5.228838247495126	0.0659045068619914	0.004120811888387	0.3366097283253061	MenOA1	0.1583176395938745	OA	0.7000840176962684	14	0.10590393862486032	0.03410620238757855	0.039332334	0.0	0.07179773623728178	0.04345388520935925	MenOA1	0.13961439261588393	0.8856960871615933	146180669.3533125	CRLF1,CD55,FN1,HTRA1,TREM1,TNFAIP6,DYSF,CCDC80,SMOC1,ADGRG2,NECTIN4,CAPS,SLC7A2,IGFBP5,CRTAC1,TNFRSF11B,PRDX4,ADAMTS6,AMTN,CLU	other_fibrochondrocyte_program	primary_non_msp_or_context_program	primary_k	0	5.912202968307377
