subtype_id	subtype_label	program_id	n_samples	n_dominant_program	fraction_in_subtype	mean_program_weight	median_program_weight
S1	ECM_fibrotic_high	NMF1	48	13	0.2708333333333333	0.5091582237548967	0.5181677436708122
S1	ECM_fibrotic_high	NMF2	48	35	0.7291666666666666	0.7684355395939261	0.7457116577850302
S2	mixed_low	NMF1	45	14	0.3111111111111111	0.39485753287868497	0.3424059418942793
S2	mixed_low	NMF2	45	31	0.6888888888888889	0.6099953662293247	0.6382695773509659
