gene	n_datasets	n_tissues	tissues	weighted_delta_s1_minus_s2	stouffer_z	p_value	n_positive_datasets	n_negative_datasets	fdr	evidence_tier
SLC39A14	4	2	meniscus;synovium	1.2711205991410672	4.853077074276109	1.2156041910723941e-06	4	0	0.02757476547028619	high_confidence_S1_high
ANKH	4	2	meniscus;synovium	1.133849370932486	4.414458824793614	1.0126298648368943e-05	4	0	0.1046761005270709	candidate_S1_high
COL5A2	4	2	meniscus;synovium	1.115402601500307	4.346327171015469	1.3843603490619498e-05	4	0	0.1046761005270709	candidate_S1_high
TIMP1	4	3	cartilage;meniscus;synovium	0.9832766591200546	4.165402874096823	3.108032224305244e-05	4	0	0.1471580709216235	candidate_S1_high
ITPR3	2	1	synovium	1.469853754765735	4.155649087824419	3.2436534764949634e-05	2	0	0.1471580709216235	candidate_S1_high
FOSL1	5	3	cartilage;meniscus;synovium	0.9310023679445134	4.0742085402014405	4.617109568730566e-05	5	0	0.17455752242847358	candidate_S1_high
SPP1	5	3	cartilage;meniscus;synovium	1.0241427579232654	4.010381633040551	6.0620685028159034e-05	5	0	0.19644565988267995	candidate_S1_high
TNC	4	2	cartilage;synovium	0.9930592378719252	3.9055563858733513	9.400883383771494e-05	4	0	0.23566811204529872	candidate_S1_high
HIST1H2AK	4	3	cartilage;meniscus;synovium	0.9066366784293277	3.893542876824385	9.879073147129016e-05	4	0	0.23566811204529872	candidate_S1_high
CRTAC1	4	2	meniscus;synovium	0.9402759706873324	3.8350157286086604	0.00012555625948704158	4	0	0.23566811204529872	candidate_S1_high
SERPINA1	3	2	meniscus;synovium	1.212808664148423	3.811476083475673	0.00013813942299564953	3	0	0.23566811204529872	candidate_S1_high
KCNK1	3	1	synovium	0.9157363898115528	3.810324400654793	0.0001387845607202105	3	0	0.23566811204529872	candidate_S1_high
S1PR3	2	2	meniscus;synovium	1.2511294582561334	3.789232774083809	0.00015111326786175838	2	0	0.23566811204529872	candidate_S1_high
SEC14L2	2	1	synovium	1.1352347316039162	3.7713798434067374	0.00016234732753808733	2	0	0.23566811204529872	candidate_S1_high
SERTAD1	2	2	meniscus;synovium	1.2526127282059945	3.769423913825877	0.0001636247782225769	2	0	0.23566811204529872	candidate_S1_high
COL1A2	3	2	meniscus;synovium	1.1812127344621892	3.76548388235546	0.00016622684679619025	3	0	0.23566811204529872	candidate_S1_high
HHIPL2	4	2	meniscus;synovium	0.8981724681590856	3.7371486986047318	0.0001861188639802459	4	0	0.24834825356046455	candidate_S1_high
NDP	3	1	synovium	1.0616634448267068	3.716687592310174	0.00020185178130317641	3	0	0.25064131523369193	candidate_S1_high
C6ORF195	2	2	meniscus;synovium	1.1496796042508313	3.6938481534577137	0.00022088573421005257	2	0	0.25064131523369193	candidate_S1_high
HIST1H2AH	2	2	cartilage;meniscus	1.2648373182187949	3.693733831193731	0.0002209851130609169	2	0	0.25064131523369193	candidate_S1_high
SLC20A1	3	1	synovium	1.0507082613261005	3.6422050929026426	0.0002703125708812711	3	0	0.26369505936611715	candidate_S1_high
CACNA1D	3	1	synovium	0.8164589560067922	3.6389023466859514	0.0002738025931314034	3	0	0.26369505936611715	candidate_S1_high
INHBA	3	1	synovium	1.081811083523694	3.6111148944506124	0.0003048835492580321	3	0	0.26369505936611715	candidate_S1_high
NDUFA4L2	4	2	meniscus;synovium	1.0594458854869406	3.6045388474340445	0.00031270767512638797	4	0	0.26369505936611715	candidate_S1_high
ANPEP	3	2	cartilage;synovium	1.059346451843082	3.5943935554562865	0.00032514804085935056	3	0	0.26369505936611715	candidate_S1_high
COX6B1	2	2	meniscus;synovium	1.3710799799032072	3.571228271554036	0.00035531105023640946	2	0	0.26369505936611715	candidate_S1_high
LYPD5	1	1	synovium	1.3651911101250307	3.562666794167458	0.0003671065153572446	1	0	0.26369505936611715	mixed_or_weak
SLC16A10	3	1	synovium	1.0142882779385338	3.5397601016670626	0.00040049090460783675	3	0	0.26369505936611715	candidate_S1_high
PKDREJ	2	1	synovium	1.3339793872108212	3.5387002397063014	0.00040210218323023767	2	0	0.26369505936611715	candidate_S1_high
CGREF1	3	1	synovium	0.9664589577855265	3.531871288026575	0.00041263014482454947	3	0	0.26369505936611715	candidate_S1_high
AK054972	1	1	synovium	1.2924594732818142	3.531676128437361	0.00041293476595571417	1	0	0.26369505936611715	mixed_or_weak
MRPL41	3	2	meniscus;synovium	1.0652573367990161	3.5070819898809575	0.00045304953316852595	3	0	0.26369505936611715	candidate_S1_high
ZMIZ1-AS1	1	1	synovium	1.1527957935491502	3.4966914831643567	0.0004710662818631167	1	0	0.26369505936611715	mixed_or_weak
ARHGAP44	3	1	synovium	1.0255297692744227	3.485539811573482	0.0004911451328331042	3	0	0.26369505936611715	candidate_S1_high
MPZ	3	1	synovium	0.8658635673938114	3.4680756861468724	0.0005241996280786351	2	1	0.26369505936611715	candidate_S1_high
LCMT2	2	1	synovium	0.9573732185627134	3.458135304733119	0.0005439281369607713	2	0	0.26369505936611715	candidate_S1_high
GDF5	3	1	synovium	1.0922447940131597	3.450980809100965	0.0005585532844897367	3	0	0.26369505936611715	candidate_S1_high
STEAP1	3	1	synovium	0.9690455043626532	3.4423730068666565	0.0005766345380851514	3	0	0.26369505936611715	candidate_S1_high
GFPT2	3	2	meniscus;synovium	1.0782434354236208	3.43800732150648	0.0005860118536730814	3	0	0.26369505936611715	candidate_S1_high
GPR64	4	2	meniscus;synovium	0.8640151797403838	3.4270503153429037	0.0006101759981464774	4	0	0.26369505936611715	candidate_S1_high
CRLF1	4	2	meniscus;synovium	0.8896540062136338	3.424978704218568	0.0006148476127958097	4	0	0.26369505936611715	candidate_S1_high
STEAP3	2	1	synovium	1.2597917171584856	3.4155781768763935	0.000636467569299474	2	0	0.26369505936611715	candidate_S1_high
HTRA1	2	1	synovium	1.2721300470419552	3.414795572568525	0.0006382989779757054	2	0	0.26369505936611715	candidate_S1_high
NT5E	2	2	meniscus;synovium	1.4732650628626023	3.409727771005271	0.00065027752814585	2	0	0.26369505936611715	candidate_S1_high
CEBPZ	2	2	meniscus;synovium	1.3492719102590849	3.404083380741374	0.000663864853290461	2	0	0.26369505936611715	candidate_S1_high
AC156455.1	1	1	synovium	1.3503214335639917	3.4015764550577723	0.0006699838500000089	1	0	0.26369505936611715	mixed_or_weak
AK092965	1	1	synovium	1.1654249489478516	3.3967685707395257	0.0006818660839866788	1	0	0.26369505936611715	mixed_or_weak
AL389983	1	1	synovium	1.1396973681757978	3.395809437988303	0.0006842598049474444	1	0	0.26369505936611715	mixed_or_weak
PGM3	4	2	meniscus;synovium	1.077364777144656	3.380852453263521	0.0007226133405190037	4	0	0.26369505936611715	candidate_S1_high
PDGFRA	2	2	meniscus;synovium	1.0790964410536876	3.3733783150202847	0.0007425185765310252	2	0	0.26369505936611715	candidate_S1_high
HIF1A	2	2	meniscus;synovium	1.1457901137277797	3.3649084277458448	0.0007656906665523154	2	0	0.26369505936611715	candidate_S1_high
PABPC1L	1	1	synovium	1.1681034575162985	3.3647408611581544	0.0007661557990494966	1	0	0.26369505936611715	mixed_or_weak
ENG	2	2	meniscus;synovium	1.3599526132391042	3.357118786983446	0.0007875926777340685	2	0	0.26369505936611715	candidate_S1_high
ZNF259P1	2	1	synovium	1.3383378910655859	3.35186253756752	0.0008026986421579875	2	0	0.26369505936611715	candidate_S1_high
RP11-142A23.1	1	1	synovium	1.2149158111268954	3.3364717368492203	0.0008484905543834138	1	0	0.26369505936611715	mixed_or_weak
AK123878	1	1	synovium	1.3408919037294447	3.3298713906487247	0.0008688610598347449	1	0	0.26369505936611715	mixed_or_weak
HIST1H3B	5	3	cartilage;meniscus;synovium	0.8197612915775755	3.325908744675493	0.0008813077699971049	5	0	0.26369505936611715	candidate_S1_high
RGS16	3	1	synovium	0.9372355008399177	3.3193465856899262	0.0009022836729819698	3	0	0.26369505936611715	candidate_S1_high
SLC11A1	2	1	synovium	1.2999919553187582	3.315756406207233	0.0009139545609417548	2	0	0.26369505936611715	candidate_S1_high
IGFBP3	5	3	cartilage;meniscus;synovium	0.7819373748478177	3.3100073404992822	0.0009329352456219952	4	1	0.26369505936611715	candidate_S1_high
LGI2	3	1	synovium	0.9890814153430127	3.280592090362378	0.0010358944123413378	3	0	0.26369505936611715	candidate_S1_high
CFB	3	1	synovium	0.9831419750414477	3.279384280267515	0.001040338666904138	3	0	0.26369505936611715	candidate_S1_high
KCNN4	3	1	synovium	1.1174240389980379	3.277178861297477	0.0010484992724312245	3	0	0.26369505936611715	candidate_S1_high
MRPS24	2	2	cartilage;meniscus	1.2593386857324034	3.26921041825058	0.001078480671931892	2	0	0.26369505936611715	candidate_S1_high
AX747480	1	1	synovium	1.15081039644099	3.2648552281865344	0.0010952003790318844	1	0	0.26369505936611715	mixed_or_weak
AGPAT4-IT1	1	1	synovium	1.1442393787521805	3.2648552281865344	0.0010952003790318844	1	0	0.26369505936611715	mixed_or_weak
ARSG	1	1	synovium	1.1008807451378493	3.2639333433091458	0.001098770124574993	1	0	0.26369505936611715	mixed_or_weak
LOXL2	4	2	meniscus;synovium	0.8581755665369281	3.259125286969854	0.0011175630292499649	4	0	0.26369505936611715	candidate_S1_high
LDHB	2	2	meniscus;synovium	1.3644102121520134	3.2469354437585234	0.0011665484664658476	2	0	0.26369505936611715	candidate_S1_high
INE1	3	1	synovium	0.9619095563985552	3.246927536521708	0.0011665808762471156	3	0	0.26369505936611715	candidate_S1_high
CDC45	3	1	synovium	1.0677700135223358	3.2389847510589584	0.001199559866340749	3	0	0.26369505936611715	candidate_S1_high
LRRC15	5	3	cartilage;meniscus;synovium	0.9077669070700265	3.2260252207900773	0.0012552229553369737	5	0	0.26369505936611715	candidate_S1_high
ALDOC	2	2	meniscus;synovium	1.4202553762404888	3.2051945608841015	0.0013497121263548718	2	0	0.26369505936611715	candidate_S1_high
POC1A	1	1	synovium	1.2438682170453692	3.2025192695086444	0.0013623118568255306	1	0	0.26369505936611715	mixed_or_weak
RASAL2-AS1	1	1	synovium	1.2286518316397397	3.2016129388637755	0.001366604915625782	1	0	0.26369505936611715	mixed_or_weak
DQ574806	1	1	synovium	1.289884521637647	3.2007073772733623	0.001370906791070976	1	0	0.26369505936611715	mixed_or_weak
AX748200	1	1	synovium	1.1503047980356937	3.197995295969567	0.0013838653775658065	1	0	0.26369505936611715	mixed_or_weak
BC069212	1	1	synovium	1.3434912137066215	3.1885180828199666	0.0014300406535814156	1	0	0.26369505936611715	mixed_or_weak
HSPA5	2	2	meniscus;synovium	1.4519803675455336	3.188030353333906	0.001432454987438988	2	0	0.26369505936611715	candidate_S1_high
RCAN1	4	2	meniscus;synovium	0.914178676272862	3.1859540671765174	0.0014427750177129352	4	0	0.26369505936611715	candidate_S1_high
ENC1	3	1	synovium	0.9505270456585427	3.175667112367803	0.001494923897063282	3	0	0.26369505936611715	candidate_S1_high
ENPP1	4	2	meniscus;synovium	0.85135441356049	3.1711121329937715	0.0015185651199662985	4	0	0.26369505936611715	candidate_S1_high
VAV3	3	2	meniscus;synovium	1.1717358966316553	3.168772721933476	0.0015308405254577386	3	0	0.26369505936611715	candidate_S1_high
GLDN	2	2	meniscus;synovium	1.183748766863146	3.166613460391587	0.0015422516898176565	2	0	0.26369505936611715	candidate_S1_high
TNFSF11	4	2	cartilage;synovium	0.8893652155945188	3.1661949336781783	0.0015444725434986333	4	0	0.26369505936611715	candidate_S1_high
MT1F	5	3	cartilage;meniscus;synovium	0.7926391527057229	3.1619373066909797	0.0015672330186583129	5	0	0.26369505936611715	candidate_S1_high
NDNF	4	2	meniscus;synovium	0.7992409791918037	3.1578068930643965	0.0015896081922632805	3	1	0.26369505936611715	candidate_S1_high
BGN	4	2	meniscus;synovium	0.9033554896922864	3.1551336830553844	0.0016042458024460979	4	0	0.26369505936611715	candidate_S1_high
CTD-3023J11.2	1	1	synovium	1.2013971968658794	3.14272262767443	0.001673843711315148	1	0	0.26369505936611715	mixed_or_weak
ADAMTSL2	2	1	synovium	1.1227179187050456	3.1422134738337997	0.0016767573602641352	2	0	0.26369505936611715	candidate_S1_high
PAN2	3	1	synovium	0.8913304274153215	3.1399268635363007	0.0016899001783617813	3	0	0.26369505936611715	candidate_S1_high
FAM46B	1	1	synovium	1.3885620475784155	3.132941885633544	0.0017306370421896608	1	0	0.26369505936611715	mixed_or_weak
AX746653	1	1	synovium	1.2362877454671206	3.132941885633544	0.0017306370421896608	1	0	0.26369505936611715	mixed_or_weak
MEI1	1	1	synovium	1.2065223952303823	3.1320572486299882	0.0017358602386387972	1	0	0.26369505936611715	mixed_or_weak
DNAH1	1	1	synovium	1.1767254511183158	3.1320572486299882	0.0017358602386387972	1	0	0.26369505936611715	mixed_or_weak
BC128546	1	1	synovium	1.1530154907739225	3.1320572486299882	0.0017358602386387972	1	0	0.26369505936611715	mixed_or_weak
AGAP5	1	1	synovium	1.0780053562685905	3.1320572486299882	0.0017358602386387972	1	0	0.26369505936611715	mixed_or_weak
AK125727	1	1	synovium	1.0072279590570299	3.1320572486299882	0.0017358602386387972	1	0	0.26369505936611715	mixed_or_weak
RAB5B	3	2	meniscus;synovium	1.0728660664554024	3.130477273790301	0.0017452250241674092	3	0	0.26369505936611715	candidate_S1_high
AK055772	1	1	synovium	1.3616031526643537	3.1247778336641634	0.001779393952464264	1	0	0.26369505936611715	mixed_or_weak
CEP55	4	2	cartilage;synovium	0.9271543364660134	3.120784378157198	0.0018037004990769134	4	0	0.26369505936611715	candidate_S1_high
ITGAX	4	2	cartilage;synovium	0.8318403738435916	3.1142626096439523	0.0018440528071435051	3	1	0.26369505936611715	candidate_S1_high
DMBT1	2	1	synovium	0.9216036845813261	3.10917438135851	0.0018761095320785949	2	0	0.26369505936611715	candidate_S1_high
BIRC7	3	2	cartilage;synovium	0.7680494065040796	3.1087366980627706	0.001878890786404525	2	1	0.26369505936611715	candidate_S1_high
BX648502	1	1	synovium	1.2205365696564696	3.107874996846718	0.0018843775297838969	1	0	0.26369505936611715	mixed_or_weak
BTBD16	1	1	synovium	1.303968474348392	3.1025939819917	0.0019183262663500956	1	0	0.26369505936611715	mixed_or_weak
AX746823	1	1	synovium	1.1774238201581415	3.0999635499952958	0.0019354445910320438	1	0	0.26369505936611715	mixed_or_weak
ADAM8	4	2	cartilage;synovium	0.6982865539575739	3.097851186037143	0.0019492928534523364	4	0	0.26369505936611715	candidate_S1_high
TBC1D2	3	2	meniscus;synovium	0.963846674172796	3.0970834544731787	0.0019543484563065657	3	0	0.26369505936611715	candidate_S1_high
DL490846	1	1	synovium	1.3475092119052139	3.0968734233093866	0.001955733631820378	1	0	0.26369505936611715	mixed_or_weak
ARFGEF2	2	2	meniscus;synovium	1.3072451159011853	3.0919664920323924	0.001988352922248903	2	0	0.26369505936611715	candidate_S1_high
PFDN5	2	2	meniscus;synovium	1.261297577966712	3.0919664920323924	0.001988352922248903	2	0	0.26369505936611715	candidate_S1_high
UBC	2	2	meniscus;synovium	1.2709336945470895	3.0832767881103793	0.0020473463442463803	2	0	0.26369505936611715	candidate_S1_high
HSPA8	2	2	meniscus;synovium	1.1622352474047524	3.081004993314996	0.00206303189096008	2	0	0.26369505936611715	candidate_S1_high
SCPEP1	2	2	meniscus;synovium	1.099958310241199	3.080398717496314	0.002067236502233712	2	0	0.26369505936611715	candidate_S1_high
GJA1	4	3	cartilage;meniscus;synovium	0.8799367390404442	3.0799357879828806	0.0020704522771958517	4	0	0.26369505936611715	candidate_S1_high
RNFT2	2	1	synovium	1.1270883438152555	3.0754247204734892	0.002102029847247207	2	0	0.26369505936611715	candidate_S1_high
HIST1H2BM	5	3	cartilage;meniscus;synovium	0.7952393296239345	3.0736023579454144	0.002114911217437151	4	1	0.26369505936611715	candidate_S1_high
SELM	2	2	cartilage;meniscus	1.012397760022948	3.0733565464972665	0.002116654265721654	2	0	0.26369505936611715	candidate_S1_high
ARF4	2	2	meniscus;synovium	1.2638623941506928	3.0677970967745565	0.0021564298357079977	2	0	0.26369505936611715	candidate_S1_high
HSP90AB4P	1	1	synovium	1.2599677631949517	3.066985214357047	0.0021622955258786317	1	0	0.26369505936611715	mixed_or_weak
AK095267	1	1	synovium	1.112652708736753	3.066985214357047	0.0021622955258786317	1	0	0.26369505936611715	mixed_or_weak
AX748395	1	1	synovium	1.0887003587468675	3.066985214357047	0.0021622955258786317	1	0	0.26369505936611715	mixed_or_weak
CTD-2127H9.1	1	1	synovium	1.0851951706568872	3.066985214357047	0.0021622955258786317	1	0	0.26369505936611715	mixed_or_weak
MTHFD1L	1	1	synovium	1.2890337430147176	3.0661192012904106	0.0021685684190888635	1	0	0.26369505936611715	mixed_or_weak
FAM87B	1	1	synovium	1.0998644917117557	3.0661192012904106	0.0021685684190888635	1	0	0.26369505936611715	mixed_or_weak
PCDHGA1	2	1	synovium	0.920938993159707	3.062884949083403	0.0021921432308406688	2	0	0.26369505936611715	candidate_S1_high
C1QTNF1	2	2	meniscus;synovium	1.1651636949940603	3.0609143915675596	0.0022066217627091838	2	0	0.26369505936611715	candidate_S1_high
PHACTR1	3	1	synovium	0.8347525633961966	3.058359245640316	0.002225526013501551	3	0	0.26369505936611715	candidate_S1_high
FKSG56	1	1	synovium	1.2013518937273313	3.0539135701383584	0.002258771457956687	1	0	0.26369505936611715	mixed_or_weak
PKM	2	2	meniscus;synovium	1.3453676693917476	3.045375328433979	0.0023239010235416	2	0	0.26369505936611715	candidate_S1_high
MELK	4	2	cartilage;synovium	0.7292326246524788	3.037749533552377	0.002383519734787916	4	0	0.26369505936611715	candidate_S1_high
AK094462	1	1	synovium	1.288914456542853	3.0374409566473743	0.00238596141726783	1	0	0.26369505936611715	mixed_or_weak
RP11-527N22.2	1	1	synovium	1.275536239549668	3.0357224609190654	0.002399601326971894	1	0	0.26369505936611715	mixed_or_weak
GDPGP1	1	1	synovium	1.1376028777249323	3.0348643061426492	0.002406439293612179	1	0	0.26369505936611715	mixed_or_weak
LOC285033	1	1	synovium	0.9066579809775925	3.0348643061426492	0.002406439293612179	1	0	0.26369505936611715	mixed_or_weak
RUNX1-IT1	4	2	cartilage;synovium	0.727240306335609	3.034499270990396	0.0024093533777193588	3	1	0.26369505936611715	candidate_S1_high
TMEM234	1	1	synovium	1.0045094593840516	3.0340068787188	0.0024132892737660384	1	0	0.26369505936611715	mixed_or_weak
CTD-2267D19.6	1	1	synovium	1.29816406492157	3.018991251411741	0.002536178550980038	1	0	0.26369505936611715	mixed_or_weak
FN1	3	1	synovium	0.9235926737322364	3.0185079613978476	0.002540227272064064	3	0	0.26369505936611715	candidate_S1_high
C5AR2	4	2	cartilage;synovium	0.7674793681400763	3.0084306530205813	0.002626007255632625	4	0	0.26369505936611715	candidate_S1_high
SNED1	2	1	synovium	1.1328814074659228	3.0074939483734893	0.002634113692018697	2	0	0.26369505936611715	candidate_S1_high
BC101234	1	1	synovium	1.2579300199720982	3.0047732727083027	0.0026577888667302027	1	0	0.26369505936611715	mixed_or_weak
DKFZP686L08115	1	1	synovium	0.9670321071534308	3.0044252940751197	0.0026608309462677737	1	0	0.26369505936611715	mixed_or_weak
AX748283	1	1	synovium	1.073140169660681	3.0018766506410985	0.0026832087473916398	1	0	0.26369505936611715	mixed_or_weak
SERPINH1	4	2	meniscus;synovium	0.9202628357478589	3.0013766644850377	0.0026876188936111036	4	0	0.26369505936611715	candidate_S1_high
AK311213	1	1	synovium	1.1952447290061432	3.0010285430805523	0.0026906934217407544	1	0	0.26369505936611715	mixed_or_weak
RP11-834C11.11	1	1	synovium	1.1836353656863947	3.0010285430805523	0.0026906934217407544	1	0	0.26369505936611715	mixed_or_weak
AX747819	1	1	synovium	1.0496921468230147	3.0010285430805523	0.0026906934217407544	1	0	0.26369505936611715	mixed_or_weak
RP11-150O12.1	1	1	synovium	1.268818859727622	3.000181153950831	0.002698190805807959	1	0	0.26369505936611715	mixed_or_weak
WDFY4	1	1	synovium	1.2053276069451084	3.000181153950831	0.002698190805807959	1	0	0.26369505936611715	mixed_or_weak
BX641154	1	1	synovium	1.1671788672541623	3.000181153950831	0.002698190805807959	1	0	0.26369505936611715	mixed_or_weak
GBGT1	1	1	synovium	1.1117613083700792	3.000181153950831	0.002698190805807959	1	0	0.26369505936611715	mixed_or_weak
AK313893	1	1	synovium	1.0971316134882063	3.000181153950831	0.002698190805807959	1	0	0.26369505936611715	mixed_or_weak
WASH5P	1	1	synovium	1.088430338220544	3.000181153950831	0.002698190805807959	1	0	0.26369505936611715	mixed_or_weak
NME1-NME2	1	1	synovium	1.0815058603593597	3.000181153950831	0.002698190805807959	1	0	0.26369505936611715	mixed_or_weak
LOC100287846	2	2	meniscus;synovium	1.1056503555111545	2.9967261064890445	0.0027289577849412914	2	0	0.26369505936611715	candidate_S1_high
PLK1	3	1	synovium	0.8896025867020675	2.995613150431845	0.002738936633481158	3	0	0.26369505936611715	candidate_S1_high
C10ORF105	2	2	meniscus;synovium	1.1328404776575325	2.993964598166396	0.0027537789468914937	2	0	0.26369505936611715	candidate_S1_high
SEMA5A	4	2	meniscus;synovium	0.7483653470390055	2.9909513012561244	0.0027810984116748267	3	1	0.26369505936611715	candidate_S1_high
DNAH17	3	1	synovium	0.6843942150335847	2.990944663675676	0.002781158862275654	3	0	0.26369505936611715	candidate_S1_high
FICD	2	1	synovium	0.9868419866826519	2.9850617631646528	0.0028352107074420788	2	0	0.26369505936611715	candidate_S1_high
FAT3	3	3	cartilage;meniscus;synovium	0.9690010502141368	2.9839109132228865	0.002845896186906758	3	0	0.26369505936611715	candidate_S1_high
AGPAT4	2	1	synovium	0.8206254864138631	2.9835890549556217	0.002848891168191041	2	0	0.26369505936611715	candidate_S1_high
SPOCK1	3	2	meniscus;synovium	0.9672127464071643	2.9787433849001754	0.002894330640509892	3	0	0.26369505936611715	candidate_S1_high
NAALADL1	3	1	synovium	0.5108291245949578	2.9720253025001533	0.0029584230188477267	3	0	0.26369505936611715	candidate_S1_high
DDX17	4	2	meniscus;synovium	0.6904430044187084	2.9709829660657707	0.0029684824501819917	3	1	0.26369505936611715	candidate_S1_high
ZHX1-C8ORF76	2	2	cartilage;synovium	0.9771755226435264	2.9696407696790197	0.0029814817511460705	2	0	0.26369505936611715	candidate_S1_high
GOLM1	3	2	meniscus;synovium	1.0141620659522377	2.969380843864368	0.0029840051524509807	3	0	0.26369505936611715	candidate_S1_high
HIST1H2AL	4	2	cartilage;synovium	0.624994923760877	2.9684843840721875	0.00299272308326814	4	0	0.26369505936611715	candidate_S1_high
TTC39A	2	1	synovium	1.0644879166162708	2.968248121084424	0.002995024569496115	2	0	0.26369505936611715	candidate_S1_high
GAA	4	2	meniscus;synovium	0.8097482083804635	2.9641016555283146	0.0030356798641353925	3	1	0.26369505936611715	candidate_S1_high
ERP27	3	3	cartilage;meniscus;synovium	1.0075700278821216	2.962472281736661	0.003051792853216446	3	0	0.26369505936611715	candidate_S1_high
SAR1A	3	2	meniscus;synovium	1.0374938095677488	2.9569613004285107	0.0031068710925422536	3	0	0.26369505936611715	candidate_S1_high
ANGPTL4	4	2	meniscus;synovium	0.8313773933481592	2.9554180285215446	0.0031224565895944835	3	1	0.26369505936611715	candidate_S1_high
TOP2A	5	3	cartilage;meniscus;synovium	0.7869955715242426	2.9552551773803457	0.003124105373479696	5	0	0.26369505936611715	candidate_S1_high
SPAG5	3	2	meniscus;synovium	0.7146020185779557	2.954473202014288	0.0031320335328053543	2	1	0.26369505936611715	candidate_S1_high
FAM156A	2	2	cartilage;synovium	0.9353903721153761	2.9456508349408668	0.0032227597310500312	2	0	0.26369505936611715	candidate_S1_high
PCOLCE	4	2	meniscus;synovium	0.8097105562620758	2.945222813626588	0.003227221666623996	3	1	0.26369505936611715	candidate_S1_high
RP11-296K13.4	1	1	synovium	1.1984269058641743	2.944234882768677	0.003237541913460706	1	0	0.26369505936611715	mixed_or_weak
ANGPTL6	2	2	cartilage;synovium	0.792680197616962	2.943350264083888	0.003246808436449912	2	0	0.26369505936611715	candidate_S1_high
RP4-806M20.3	1	1	synovium	1.2389326237273477	2.94172737212264	0.0032638713470609262	1	0	0.26369505936611715	mixed_or_weak
CAPN14	2	2	cartilage;synovium	0.8855220826742698	2.9409691921832604	0.00327187073248449	2	0	0.26369505936611715	candidate_S1_high
AX746622	1	1	synovium	1.0961272188064797	2.9408929578746466	0.0032726760508946565	1	0	0.26369505936611715	mixed_or_weak
MEF2A	2	2	meniscus;synovium	1.0752226951974737	2.9405840814078807	0.0032759407858122635	2	0	0.26369505936611715	candidate_S1_high
BC068088	1	1	synovium	1.0698724265274173	2.9383939689306118	0.003299174873351814	1	0	0.26369505936611715	mixed_or_weak
KIAA1199	1	1	synovium	1.2352104254199492	2.934243106611252	0.0033436220846027958	1	0	0.26369505936611715	mixed_or_weak
STAC2	1	1	synovium	1.221554461816818	2.934243106611252	0.0033436220846027958	1	0	0.26369505936611715	mixed_or_weak
L01117	1	1	synovium	1.0831619293430028	2.934243106611252	0.0033436220846027958	1	0	0.26369505936611715	mixed_or_weak
AK124308	1	1	synovium	1.080079896484274	2.934243106611252	0.0033436220846027958	1	0	0.26369505936611715	mixed_or_weak
AP4B1	1	1	synovium	1.0791274429368576	2.934243106611252	0.0033436220846027958	1	0	0.26369505936611715	mixed_or_weak
AX747770	1	1	synovium	1.0696858724003262	2.934243106611252	0.0033436220846027958	1	0	0.26369505936611715	mixed_or_weak
TTC21A	1	1	synovium	1.0559448505859366	2.934243106611252	0.0033436220846027958	1	0	0.26369505936611715	mixed_or_weak
TGFBI	4	3	cartilage;meniscus;synovium	0.8923239726824355	2.931198768362283	0.0033765665858950466	4	0	0.26369505936611715	candidate_S1_high
ITGAV	3	2	meniscus;synovium	0.9855452639505081	2.925596515647374	0.0034379651375048724	3	0	0.26369505936611715	candidate_S1_high
IL21R	4	2	cartilage;synovium	0.7347055377441817	2.9238478326307726	0.0034573371221815067	4	0	0.26369505936611715	candidate_S1_high
XYLB	3	1	synovium	0.735781953121098	2.9108043030176773	0.003604997319698386	3	0	0.26369505936611715	candidate_S1_high
AK056686	1	1	synovium	1.3383596020040605	2.910326442171049	0.0036105143123296027	1	0	0.26369505936611715	mixed_or_weak
NPCR	1	1	synovium	1.1100284586299582	2.910326442171049	0.0036105143123296027	1	0	0.26369505936611715	mixed_or_weak
AC012354.6	1	1	synovium	1.2292685971618162	2.905378306358358	0.003668094567639861	1	0	0.26369505936611715	mixed_or_weak
ASNS	2	1	synovium	0.977570585267633	2.902388339684992	0.003703291529193223	2	0	0.26369505936611715	candidate_S1_high
LEPREL4	3	1	synovium	0.923832655238562	2.897200129866012	0.0037650948836675077	3	0	0.26369505936611715	candidate_S1_high
TMEM45A	2	2	meniscus;synovium	1.0144675052619376	2.896010190145975	0.0037794012736055934	2	0	0.26369505936611715	candidate_S1_high
DOCK3	3	1	synovium	0.6702772443121991	2.8942294699960742	0.003800902787524349	2	1	0.26369505936611715	candidate_S1_high
CLU	2	1	synovium	1.0042823371998295	2.8916851945171698	0.0038318168376194266	2	0	0.26369505936611715	candidate_S1_high
SYT12	4	2	meniscus;synovium	0.8088975643708812	2.8908742644378442	0.0038417178939051983	3	1	0.26369505936611715	candidate_S1_high
SGK1	4	2	meniscus;synovium	0.8384392953731274	2.8898860107620328	0.0038538154045354156	4	0	0.26369505936611715	candidate_S1_high
TPP1	2	2	meniscus;synovium	1.1398900891753114	2.8873038491821164	0.0038855879479344226	2	0	0.26369505936611715	candidate_S1_high
GIPR	3	1	synovium	0.8341731797845792	2.8813330262383356	0.003959969885528441	3	0	0.26369505936611715	candidate_S1_high
C8ORF31	2	2	cartilage;synovium	0.7524345866725788	2.8799413381427867	0.0039774917008624676	2	0	0.26369505936611715	candidate_S1_high
AP1G2	3	1	synovium	0.6097191693021518	2.878831026267093	0.003991521349535251	2	1	0.26369505936611715	candidate_S1_high
