gene	n_datasets	n_tissues	tissues	weighted_delta_s1_minus_s2	stouffer_z	p_value	n_positive_datasets	n_negative_datasets	fdr	evidence_tier
ALDOAP2	3	2	meniscus;synovium	0.31968441851546914	0.9243195422459569	0.35531997103930624	2	1	0.8397245748191201	candidate_S1_high
RANBP6	3	2	meniscus;synovium	0.22546913028020465	0.9242379069480239	0.3553624634211059	2	1	0.8397245748191201	candidate_S1_high
CTD-2246P4.1	1	1	synovium	0.5814354002941653	0.9241769308060382	0.3553942044980102	1	0	0.8397245748191201	mixed_or_weak
AX748388	1	1	synovium	0.548294048072047	0.9241769308060382	0.3553942044980102	1	0	0.8397245748191201	mixed_or_weak
AC026806.2	1	1	synovium	0.4910107969933574	0.9239155315840631	0.35553029590266816	1	0	0.8397245748191201	mixed_or_weak
TUBA1A	3	2	meniscus;synovium	0.37834205949125943	0.9237826715738162	0.35559947896615474	2	1	0.8397245748191201	candidate_S1_high
AX746640	1	1	synovium	0.6838807836329224	0.9236543540434149	0.35566630472382654	1	0	0.8397245748191201	mixed_or_weak
U80764	1	1	synovium	0.5112514016563852	0.9236543540434149	0.35566630472382654	1	0	0.8397245748191201	mixed_or_weak
MIR155HG	1	1	synovium	0.1391064669899162	0.9236543540434149	0.35566630472382654	1	0	0.8397245748191201	mixed_or_weak
PANX2	2	2	cartilage;synovium	0.3051957245050073	0.9234004647440859	0.35579854962977053	2	0	0.8397245748191201	candidate_S1_high
RP11-441O15.3	1	1	synovium	0.7691406376390244	0.9233933978709389	0.3558022310397023	1	0	0.8397245748191201	mixed_or_weak
RBM45	1	1	synovium	0.7049198018048031	0.9233933978709389	0.3558022310397023	1	0	0.8397245748191201	mixed_or_weak
AQPEP	1	1	synovium	0.4858506206439378	0.9233933978709389	0.3558022310397023	1	0	0.8397245748191201	mixed_or_weak
LOC100507053	1	1	synovium	0.47235799699405717	0.9233933978709389	0.3558022310397023	1	0	0.8397245748191201	mixed_or_weak
MIR31HG	1	1	synovium	0.4270934600643268	0.9233933978709389	0.3558022310397023	1	0	0.8397245748191201	mixed_or_weak
FAM43B	1	1	synovium	0.31885016689875456	0.9233933978709389	0.3558022310397023	1	0	0.8397245748191201	mixed_or_weak
FAM47E-STBD1	1	1	synovium	0.3184655334336889	0.9233933978709389	0.3558022310397023	1	0	0.8397245748191201	mixed_or_weak
GTPBP10	3	2	meniscus;synovium	0.38187119664689867	0.9231606105698386	0.35592351245598186	2	1	0.8397245748191201	candidate_S1_high
WDR86	2	2	cartilage;synovium	0.17963043010224394	0.9231183218508617	0.35594554753688656	2	0	0.8397245748191201	candidate_S1_high
SEL1L3	5	3	cartilage;meniscus;synovium	0.2304251899113124	0.9222186662592198	0.3564145284551028	3	2	0.8397245748191201	candidate_S1_high
FCGR3B	4	2	cartilage;synovium	0.32909223739427806	0.9219294003615357	0.35656540240384993	3	1	0.8397245748191201	candidate_S1_high
ANO1	3	2	meniscus;synovium	0.4778462555642266	0.9213038065495576	0.3568918343070169	2	1	0.8397245748191201	candidate_S1_high
ZDHHC11	3	1	synovium	0.2484048208419484	0.9208393851722163	0.3571342889090108	3	0	0.8397245748191201	candidate_S1_high
MID1IP1	2	2	meniscus;synovium	0.4484190706148124	0.9199366731507945	0.3576058530691445	1	1	0.8397245748191201	mixed_or_weak
LHX5	3	2	meniscus;synovium	0.21566261800145936	0.9196074099795646	0.35777795306618065	1	2	0.8397245748191201	mixed_or_weak
GNG10	4	2	cartilage;synovium	0.1859803871146177	0.9194201449885644	0.35787585639307895	3	1	0.8397245748191201	candidate_S1_high
ARGLU1	2	2	meniscus;synovium	0.43805133604682517	0.9190018374846017	0.3580946110995923	1	1	0.8397245748191201	mixed_or_weak
CAMK2B	3	1	synovium	-0.15470700567558185	0.9183175282177759	0.3584526532785507	1	2	0.8397245748191201	S2_high_or_inverse
SCNN1D	3	1	synovium	0.32426389357968566	0.9182727871810161	0.3584760703844774	2	1	0.8397245748191201	candidate_S1_high
OR51E2	4	3	cartilage;meniscus;synovium	0.1985062220131515	0.918104627274612	0.35856409255730326	3	1	0.8397245748191201	candidate_S1_high
NR4A2	3	2	meniscus;synovium	0.24956438180831725	0.9180741541613202	0.3585800449582278	2	1	0.8397245748191201	candidate_S1_high
