ligand	receptor	pathway	previous_priority_score	single_cell_context_score	combined_context_priority	context_tier	best_reference	best_ligand_state	best_receptor_state	recommended_next_step	context_call	ligand_state_support	receptor_state_support
SPP1	ITGB1	SPP1_integrin	5.596543533745165	0.22034654039429769	5.984731595611879	exploratory_context_priority	GSE220243_meniscus	endothelial	mural_smooth_muscle	SPP1->ITGB1: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	context_weak_supported	0.049715798917020444	0.9766029898216851
IL6	IL6R	IL6	5.811811025086709	0.09412208484432812	5.9765120655438775	exploratory_context_priority	GSE220243_meniscus	mural_smooth_muscle	immune_myeloid	IL6->IL6R: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	context_weak_supported	0.04956512692275742	0.1787338680530117
SPP1	ITGAV	SPP1_integrin	5.494396451341059	0.12243569165139112	5.709228218233934	exploratory_context_priority	GSE220243_meniscus	endothelial	outer_fibrous_like	SPP1->ITGAV: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	context_weak_supported	0.049715798917020444	0.301523839839622
LIF	LIFR	LIF	5.288839071859905	0.04062377810513396	5.358818553238029	exploratory_context_priority	GSE220243_meniscus	t_nk	endothelial	LIF->LIFR: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	ligand_or_receptor_sparse	0.005539286884188561	0.2979248740926892
CXCL12	CXCR4	CXCL12_CXCR4	3.7211761479497865	0.6394035819660997	4.851326689381346	exploratory_context_priority	GSE220243_meniscus	outer_fibrous_like	t_nk	CXCL12->CXCR4: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	context_supported	0.5314569280943787	0.7692757757378891
FGF1	FGFR1	FGF	4.594771097287175	0.12697332449026927	4.8176369812058875	exploratory_context_priority	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.5(cycling)	FGF1->FGFR1: LIANA/NicheNet target check + conditioned-medium blockade assay in chondrocytes/synovial fibroblasts	ligand_or_receptor_sparse	0.030397460696903265	0.5303806555708012
CXCL12	ACKR3	CXCL12_ACKR3	3.3551040169261026	0.6423847627559435	4.490532895365357	exploratory_context_priority	HRA001986_chondrocyte	Ch.4(CFD)	Ch.3(PRG4)	CXCL12->ACKR3: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	context_supported	1.0035701960748884	0.41119015394735414
POSTN	ITGAV	POSTN_integrin	3.206797942283935	0.47909381812270846	4.053111635553817	exploratory_context_priority	HRA001986_chondrocyte	Ch.2(FNDC1)	Ch.3(PRG4)	POSTN->ITGAV: replicate in formal communication tools and prioritize if protein-level evidence is available	context_supported	0.7884669846121707	0.2911103331438741
CXCL8	CXCR2	CXCL8	3.254046481631426	0.012420588238368283	3.274090735560095	exploratory_context_priority	GSE220243_meniscus	immune_myeloid	immune_myeloid	CXCL8->CXCR2: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	ligand_or_receptor_sparse	0.6752469925835937	0.00022846604854444315
TNFSF12	TNFRSF12A	TWEAK_FN14	2.548723296442956	0.34207859064502316	3.1524443404253395	exploratory_context_priority	HRA001986_chondrocyte	PCL.2	Ch.5(cycling)	TNFSF12->TNFRSF12A: replicate in formal communication tools and prioritize if protein-level evidence is available	context_supported	0.14459010071178505	0.809306872335193
CXCL8	CXCR1	CXCL8	3.106147375267517	0.001099684576516991	3.106147375267517	exploratory_context_priority	GSE220243_meniscus	immune_myeloid	outer_fibrous_like	CXCL8->CXCR1: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	ligand_or_receptor_sparse	0.6752469925835937	1.7909093725873127e-06
CCN2	ITGB1	CCN2_integrin	2.1036617776914994	0.5195916370555981	3.0216789842580702	exploratory_context_priority	GSE220243_meniscus	outer_fibrous_like	mural_smooth_muscle	CCN2->ITGB1: replicate in formal communication tools and prioritize if protein-level evidence is available	context_supported	0.2764434187810651	0.9766029898216851
CCL2	CCR2	CCL2_CCR2	2.5436229243999624	0.047490208135775244	2.6257597804213666	exploratory_context_priority	GSE220243_meniscus	mural_smooth_muscle	t_nk	CCL2->CCR2: CellChat/LIANA/NicheNet consensus + synovial fluid proteomics + immune/synovial fibroblast response assay	ligand_or_receptor_sparse	0.49911586949445735	0.004518629854553841
CCN1	ITGAV	CCN1_integrin	2.0015146952873937	0.29323178210961814	2.5187499018195347	exploratory_context_priority	GSE220243_meniscus	mural_smooth_muscle	outer_fibrous_like	CCN1->ITGAV: replicate in formal communication tools and prioritize if protein-level evidence is available	context_supported	0.28516776015096257	0.301523839839622
CCN2	ITGAV	CCN2_integrin	2.0015146952873937	0.28871141496182556	2.5107463546056765	exploratory_context_priority	GSE220243_meniscus	outer_fibrous_like	outer_fibrous_like	CCN2->ITGAV: replicate in formal communication tools and prioritize if protein-level evidence is available	context_supported	0.2764434187810651	0.301523839839622
POSTN	ITGB3	POSTN_integrin	2.3304704541633408	0.05016887622301176	2.417350032579965	exploratory_context_priority	GSE220243_meniscus	endothelial	endothelial	POSTN->ITGB3: replicate in formal communication tools and prioritize if protein-level evidence is available	ligand_or_receptor_sparse	0.20865139617273223	0.012062781211376338
