k	program	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected
5	1	0.35633586200757905	0.3217062819889416	0.8775005982310199	MenNorm1AVAS	0.14906567005237897	normal	0.7609995047582152	14
5	2	0.19384577878153147	0.14168068752141194	0.6413504218853826	MenNorm5	0.21234824435714963	normal	0.5941424792375186	14
5	3	0.17333604406429876	0.04878742212218815	0.7746194767111686	MenNorm6	0.12682399682549741	normal	0.5702604078845946	14
5	4	0.18610466779093682	0.13019850805768832	0.6071647470505507	MenOA1	0.1880697216242463	OA	0.7428228071084703	14
5	5	0.09037764735565386	0.015613408551101278	0.554023608067735	MenNorm6	0.2144553044660717	normal	0.5534238415266017	14
6	1	0.3365184042934329	0.2939469871724675	0.8702385051740255	MenNorm1AVAS	0.15652256127120412	normal	0.7776592395744012	14
6	2	0.18189202403966093	0.10032889961972202	0.6023652627305034	MenOA1	0.16553118380901563	OA	0.6524421421531368	14
6	3	0.1476451422837568	0.03608313935751111	0.7094814146687324	MenNorm6	0.1279460555481082	normal	0.6046044738266623	14
6	4	0.14990196546383505	0.08854531827147294	0.5374613311971905	MenNorm5	0.2264276203363734	normal	0.644238549495451	14
6	5	0.09424964724820897	0.03474573666848764	0.39333688951286466	MenOA1	0.16955892833202924	OA	0.750604941505786	14
6	6	0.08979281667110542	0.015241669511520912	0.5489794950109753	MenNorm6	0.21005336036917985	normal	0.5435796389286618	14
7	1	0.32650274719238187	0.28117293541680954	0.8579293417652477	MenNorm1AVAS	0.15966874913572274	normal	0.784370035876726	14
7	2	0.18233077312882448	0.10281947474006276	0.5987081306398631	MenOA1	0.1645632158934916	OA	0.6453279643846497	14
7	3	0.15772436371891704	0.09870139007799753	0.5480093779921235	MenNorm5	0.21968255553957378	normal	0.6374243163234452	14
7	4	0.14475801991956347	0.03507026493670165	0.6986999096307259	MenNorm6	0.12889056626892612	normal	0.6052553522170908	14
7	5	0.09685391383410286	0.03828876831125276	0.3978613388991136	MenOA1	0.16664143392807537	OA	0.7483700563021428	14
7	6	0.08952361678625079	0.015449548877611938	0.5459284048709263	MenNorm6	0.21034378937914017	normal	0.5434284828539189	14
