fibro_leiden	signature	gene	present	matched_var_name	mean_expression	fraction_expressing
1	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.028022952377796173	0.042307106985238166
2	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.14767341315746307	0.2393526405451448
3	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.026820996776223183	0.03325942350332594
4	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.09397891163825989	0.08997429305912596
5	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.023103591054677963	0.024351297405189622
6	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.030122024938464165	0.0446927374301676
7	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.03881216421723366	0.04912440300204685
8	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.05162324383854866	0.0550552599263201
9	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.32749781012535095	0.391578947368421
10	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.2976834177970886	0.29471109752369307
11	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.025047624483704567	0.042912416461484346
12	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.07261050492525101	0.08177269478198713
13	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.2143719494342804	0.2367595135347195
14	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.3729410469532013	0.38416370106761566
15	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.03237704187631607	0.047014574518100614
16	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.3398388922214508	0.2769111770014181
17	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.27034279704093933	0.2226751592356688
18	inner_zone_chondrocyte_like	COL11A1	True	COL11A1	0.6727036833763123	0.5927310220389226
0	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.75423264503479	0.6084986720824871
1	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.47330719232559204	0.4602039263430224
2	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.9325212240219116	0.7555366269165247
3	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.25371432304382324	0.26924295216978145
4	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.5867920517921448	0.4444087403598972
5	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.2517789602279663	0.2403193612774451
6	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.41035446524620056	0.40782122905027934
7	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.37497907876968384	0.37343643393222653
8	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.28607675433158875	0.2756856324191568
9	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.7404067516326904	0.6947368421052632
10	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.7388632297515869	0.5888107612350963
11	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.23368500173091888	0.27857896588111153
12	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.7430339455604553	0.5884203002144389
13	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.6996236443519592	0.6127893291486858
14	inner_zone_chondrocyte_like	SOX9	True	SOX9	1.2296984195709229	0.7943060498220641
15	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.20798830687999725	0.2529384109073813
16	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.6897748112678528	0.4989042155472476
17	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.5614479780197144	0.4856050955414013
18	inner_zone_chondrocyte_like	SOX9	True	SOX9	0.7479621171951294	0.6661940971774714
0	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.38156288862228394	0.3274488361193563
1	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.4304535984992981	0.3501750114137879
2	inner_zone_chondrocyte_like	CHAD	True	CHAD	1.013352870941162	0.6575809199318569
3	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.0103229945525527	0.013620525815647768
4	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.06893903017044067	0.06330334190231363
5	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.008715805597603321	0.012375249500998005
6	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.2340700924396515	0.17970204841713222
7	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.06480978429317474	0.06186035933591085
8	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.044885024428367615	0.04789193614408514
9	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.5495051741600037	0.5494736842105263
10	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.6707517504692078	0.4787526750229288
11	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.05232904851436615	0.06823777699613084
12	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.8219371438026428	0.5735525375268049
13	inner_zone_chondrocyte_like	CHAD	True	CHAD	1.1974729299545288	0.7353864260494312
14	inner_zone_chondrocyte_like	CHAD	True	CHAD	1.0008642673492432	0.6279359430604983
15	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.03322625905275345	0.04231311706629055
16	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.6256909370422363	0.42310171458037904
17	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.22378766536712646	0.18445859872611464
18	inner_zone_chondrocyte_like	CHAD	True	CHAD	0.8039442896842957	0.6293336770202346
0	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.0009430792415514588	0.0012498047180128104
1	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.00042931860662065446	0.0007609191903819814
2	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.0007197386585175991	0.002129471890971039
3	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.00991975050419569	0.014254038644282548
4	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.00061218993505463	0.0006426735218508997
5	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.002824824070557952	0.003592814371257485
6	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.004864360671490431	0.0074487895716946
7	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.0071821389719843864	0.011143961792130999
8	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.012157661840319633	0.015349979533360623
