dataset_id	signature	signature_class	n_requested_genes	n_present_genes	coverage_fraction	present_genes	missing_genes
GSE185064	cycling	cycling_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE185064	endothelial	vascular_or_contaminating_celltype	7	7	1.0	CLDN5,CLEC14A,EMCN,KDR,PECAM1,RAMP2,VWF	
GSE185064	fibrochondrocyte_matrix	fibrocartilage_state	10	10	1.0	ACAN,BGN,CHAD,CILP,COL2A1,COMP,FMOD,FRZB,PCOLCE2,PRELP	
GSE185064	hra_Ch.1_CHAD_matrix	HRA_reference_state	7	7	1.0	ACAN,CHAD,CILP,COL2A1,COMP,MATN3,SOX9	
GSE185064	hra_Ch.2_FNDC1	HRA_reference_state	7	7	1.0	COL14A1,COL1A1,COL1A2,COL3A1,DCN,FNDC1,LUM	
GSE185064	hra_Ch.3_PRG4	HRA_reference_state	6	6	1.0	CRTAC1,GDF5,ITGBL1,PRG4,SPARCL1,THY1	
GSE185064	hra_Ch.4_CFD	HRA_reference_state	6	6	1.0	C1R,C1S,CFD,GSN,SELENOP,SERPING1	
GSE185064	hra_PCL_progenitor_like	HRA_reference_state	8	8	1.0	ENG,GDF5,ITGA5,ITGB1,MCAM,NT5E,PRG4,THY1	
GSE185064	hra_communication_axes	HRA_reference_state	5	5	1.0	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	
GSE185064	hra_cycling	HRA_reference_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE185064	hra_sasp_ecm_remodeling	HRA_reference_state	10	10	1.0	CCL2,CXCL1,CXCL2,CXCL8,IL6,MMP1,MMP13,MMP3,MMP9,TIMP1	
GSE185064	hra_senescence_arrest	HRA_reference_state	8	8	1.0	CDKN1A,CDKN2A,CDKN2B,GADD45A,GADD45B,GLB1,LMNB1,SERPINE1	
GSE185064	immune_myeloid	immune_celltype	10	10	1.0	AIF1,C1QA,C1QB,CD68,CD74,FCGR3A,LST1,LYZ,PTPRC,TYROBP	
GSE185064	inflammatory_sasp_like	inflammatory_senescence_state	13	13	1.0	C1R,C1S,CCL2,CCL3,CFD,CXCL8,FOS,IER3,IL6,JUN,NFKBIA,PTGS2,SOD2	
GSE185064	inner_chondrocyte_like	fibrocartilage_state	10	10	1.0	ACAN,CHAD,CILP,CILP2,COL11A1,COL2A1,COL9A1,COMP,MATN3,SOX9	
GSE185064	mural_smooth_muscle	vascular_or_contaminating_celltype	6	6	1.0	ACTA2,MCAM,MYH11,PDGFRB,RGS5,TAGLN	
GSE185064	outer_fibrous_like	fibrocartilage_state	10	10	1.0	COL14A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,DCN,LUM,POSTN,TNMD	
GSE185064	progenitor_prg4_gdf5	interface_progenitor_state	10	10	1.0	ENG,GDF5,ITGA5,ITGB1,ITGBL1,MCAM,NT5E,PRG4,SPARCL1,THY1	
GSE185064	sasp_matrix_remodeling	inflammatory_senescence_state	10	10	1.0	CXCL1,CXCL2,CXCL8,IL6,MMP1,MMP13,MMP3,MMP9,SERPINE1,TIMP1	
GSE185064	senescence_arrest	inflammatory_senescence_state	8	8	1.0	CDKN1A,CDKN2A,CDKN2B,GADD45A,GADD45B,GLB1,LMNB1,SERPINE1	
GSE185064	synovial_lining_like	interface_progenitor_state	7	7	1.0	CD55,CLIC5,CXCL12,HAS1,ITGA6,PRG4,VCAM1	
GSE185064	t_nk	immune_celltype	7	7	1.0	CD3D,CD3E,GNLY,KLRD1,NKG7,PTPRC,TRAC	
GSE191157	angiogenic_interface	communication_state	10	8	0.8	ANGPTL4,CXCL12,FGF2,IL11,MIF,POSTN,SPP1,VEGFA	CCN1,CCN2
GSE191157	b_plasma	immune_celltype	6	5	0.8333333333333334	CD79A,JCHAIN,MS4A1,MZB1,XBP1	IGHG1
GSE191157	catabolic_hypertrophic	catabolic_remodeling_state	8	8	1.0	ADAMTS5,ALPL,COL10A1,IBSP,MMP13,MMP3,RUNX2,SPP1	
GSE191157	communication_axes	communication_state	7	5	0.7142857142857143	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	CCN1,CCN2
GSE191157	cycling	cycling_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE191157	endothelial	vascular_or_contaminating_celltype	7	6	0.8571428571428571	CLDN5,CLEC14A,EMCN,KDR,RAMP2,VWF	PECAM1
GSE191157	fibrochondrocyte_matrix	fibrocartilage_state	10	10	1.0	ACAN,BGN,CHAD,CILP,COL2A1,COMP,FMOD,FRZB,PCOLCE2,PRELP	
GSE191157	hra_Ch.1_CHAD_matrix	HRA_reference_state	7	7	1.0	ACAN,CHAD,CILP,COL2A1,COMP,MATN3,SOX9	
GSE191157	hra_Ch.2_FNDC1	HRA_reference_state	7	7	1.0	COL14A1,COL1A1,COL1A2,COL3A1,DCN,FNDC1,LUM	
GSE191157	hra_Ch.3_PRG4	HRA_reference_state	6	6	1.0	CRTAC1,GDF5,ITGBL1,PRG4,SPARCL1,THY1	
GSE191157	hra_Ch.4_CFD	HRA_reference_state	6	6	1.0	C1R,C1S,CFD,GSN,SELENOP,SERPING1	
GSE191157	hra_PCL_progenitor_like	HRA_reference_state	8	8	1.0	ENG,GDF5,ITGA5,ITGB1,MCAM,NT5E,PRG4,THY1	
GSE191157	hra_communication_axes	HRA_reference_state	5	5	1.0	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	
GSE191157	hra_cycling	HRA_reference_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE191157	hra_sasp_ecm_remodeling	HRA_reference_state	10	10	1.0	CCL2,CXCL1,CXCL2,CXCL8,IL6,MMP1,MMP13,MMP3,MMP9,TIMP1	
GSE191157	hra_senescence_arrest	HRA_reference_state	8	8	1.0	CDKN1A,CDKN2A,CDKN2B,GADD45A,GADD45B,GLB1,LMNB1,SERPINE1	
GSE191157	immune_myeloid	immune_celltype	10	10	1.0	AIF1,C1QA,C1QB,CD68,CD74,FCGR3A,LST1,LYZ,PTPRC,TYROBP	
GSE191157	inflammatory_sasp_like	inflammatory_senescence_state	13	13	1.0	C1R,C1S,CCL2,CCL3,CFD,CXCL8,FOS,IER3,IL6,JUN,NFKBIA,PTGS2,SOD2	
GSE191157	inner_chondrocyte_like	fibrocartilage_state	10	10	1.0	ACAN,CHAD,CILP,CILP2,COL11A1,COL2A1,COL9A1,COMP,MATN3,SOX9	
GSE191157	mural_smooth_muscle	vascular_or_contaminating_celltype	6	6	1.0	ACTA2,MCAM,MYH11,PDGFRB,RGS5,TAGLN	
GSE191157	outer_fibrous_like	fibrocartilage_state	10	10	1.0	COL14A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,DCN,LUM,POSTN,TNMD	
GSE191157	progenitor_prg4_gdf5	interface_progenitor_state	10	10	1.0	ENG,GDF5,ITGA5,ITGB1,ITGBL1,MCAM,NT5E,PRG4,SPARCL1,THY1	
GSE191157	sasp_matrix_remodeling	inflammatory_senescence_state	10	10	1.0	CXCL1,CXCL2,CXCL8,IL6,MMP1,MMP13,MMP3,MMP9,SERPINE1,TIMP1	
GSE191157	senescence_arrest	inflammatory_senescence_state	8	8	1.0	CDKN1A,CDKN2A,CDKN2B,GADD45A,GADD45B,GLB1,LMNB1,SERPINE1	
GSE191157	synovial_lining_like	interface_progenitor_state	7	7	1.0	CD55,CLIC5,CXCL12,HAS1,ITGA6,PRG4,VCAM1	
GSE191157	t_nk	immune_celltype	7	6	0.8571428571428571	CD3D,CD3E,GNLY,KLRD1,NKG7,PTPRC	TRAC
GSE55235	angiogenic_interface	communication_state	10	8	0.8	ANGPTL4,CXCL12,FGF2,IL11,MIF,POSTN,SPP1,VEGFA	CCN1,CCN2
GSE55235	b_plasma	immune_celltype	6	5	0.8333333333333334	CD79A,IGHG1,MS4A1,MZB1,XBP1	JCHAIN
GSE55235	catabolic_hypertrophic	catabolic_remodeling_state	8	8	1.0	ADAMTS5,ALPL,COL10A1,IBSP,MMP13,MMP3,RUNX2,SPP1	
GSE55235	communication_axes	communication_state	7	5	0.7142857142857143	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	CCN1,CCN2
GSE55235	cycling	cycling_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE55235	endothelial	vascular_or_contaminating_celltype	7	6	0.8571428571428571	CLDN5,EMCN,KDR,PECAM1,RAMP2,VWF	CLEC14A
GSE55235	fibrochondrocyte_matrix	fibrocartilage_state	10	10	1.0	ACAN,BGN,CHAD,CILP,COL2A1,COMP,FMOD,FRZB,PCOLCE2,PRELP	
GSE55235	hra_Ch.1_CHAD_matrix	HRA_reference_state	7	7	1.0	ACAN,CHAD,CILP,COL2A1,COMP,MATN3,SOX9	
GSE55235	hra_Ch.2_FNDC1	HRA_reference_state	7	6	0.8571428571428571	COL14A1,COL1A1,COL1A2,COL3A1,DCN,LUM	FNDC1
GSE55235	hra_Ch.3_PRG4	HRA_reference_state	6	6	1.0	CRTAC1,GDF5,ITGBL1,PRG4,SPARCL1,THY1	
GSE55235	hra_Ch.4_CFD	HRA_reference_state	6	5	0.8333333333333334	C1R,C1S,CFD,GSN,SERPING1	SELENOP
GSE55235	hra_PCL_progenitor_like	HRA_reference_state	8	8	1.0	ENG,GDF5,ITGA5,ITGB1,MCAM,NT5E,PRG4,THY1	
GSE55235	hra_communication_axes	HRA_reference_state	5	5	1.0	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	
GSE55235	hra_cycling	HRA_reference_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE55235	hra_sasp_ecm_remodeling	HRA_reference_state	10	10	1.0	CCL2,CXCL1,CXCL2,CXCL8,IL6,MMP1,MMP13,MMP3,MMP9,TIMP1	
GSE55235	hra_senescence_arrest	HRA_reference_state	8	8	1.0	CDKN1A,CDKN2A,CDKN2B,GADD45A,GADD45B,GLB1,LMNB1,SERPINE1	
GSE55235	immune_myeloid	immune_celltype	10	10	1.0	AIF1,C1QA,C1QB,CD68,CD74,FCGR3A,LST1,LYZ,PTPRC,TYROBP	
GSE55235	inflammatory_sasp_like	inflammatory_senescence_state	13	12	0.9230769230769231	C1R,C1S,CCL2,CCL3,CFD,CXCL8,FOS,IER3,IL6,JUN,NFKBIA,PTGS2	SOD2
GSE55235	inner_chondrocyte_like	fibrocartilage_state	10	9	0.9	ACAN,CHAD,CILP,COL11A1,COL2A1,COL9A1,COMP,MATN3,SOX9	CILP2
GSE55235	mural_smooth_muscle	vascular_or_contaminating_celltype	6	6	1.0	ACTA2,MCAM,MYH11,PDGFRB,RGS5,TAGLN	
GSE55235	outer_fibrous_like	fibrocartilage_state	10	10	1.0	COL14A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,DCN,LUM,POSTN,TNMD	
GSE55235	progenitor_prg4_gdf5	interface_progenitor_state	10	10	1.0	ENG,GDF5,ITGA5,ITGB1,ITGBL1,MCAM,NT5E,PRG4,SPARCL1,THY1	
GSE55235	sasp_matrix_remodeling	inflammatory_senescence_state	10	10	1.0	CXCL1,CXCL2,CXCL8,IL6,MMP1,MMP13,MMP3,MMP9,SERPINE1,TIMP1	
GSE55235	senescence_arrest	inflammatory_senescence_state	8	8	1.0	CDKN1A,CDKN2A,CDKN2B,GADD45A,GADD45B,GLB1,LMNB1,SERPINE1	
GSE55235	synovial_lining_like	interface_progenitor_state	7	7	1.0	CD55,CLIC5,CXCL12,HAS1,ITGA6,PRG4,VCAM1	
GSE55235	t_nk	immune_celltype	7	7	1.0	CD3D,CD3E,GNLY,KLRD1,NKG7,PTPRC,TRAC	
GSE55457	angiogenic_interface	communication_state	10	8	0.8	ANGPTL4,CXCL12,FGF2,IL11,MIF,POSTN,SPP1,VEGFA	CCN1,CCN2
GSE55457	b_plasma	immune_celltype	6	5	0.8333333333333334	CD79A,IGHG1,MS4A1,MZB1,XBP1	JCHAIN
GSE55457	catabolic_hypertrophic	catabolic_remodeling_state	8	8	1.0	ADAMTS5,ALPL,COL10A1,IBSP,MMP13,MMP3,RUNX2,SPP1	
GSE55457	communication_axes	communication_state	7	5	0.7142857142857143	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	CCN1,CCN2
GSE55457	cycling	cycling_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE55457	endothelial	vascular_or_contaminating_celltype	7	6	0.8571428571428571	CLDN5,EMCN,KDR,PECAM1,RAMP2,VWF	CLEC14A
GSE55457	fibrochondrocyte_matrix	fibrocartilage_state	10	10	1.0	ACAN,BGN,CHAD,CILP,COL2A1,COMP,FMOD,FRZB,PCOLCE2,PRELP	
GSE55457	hra_Ch.1_CHAD_matrix	HRA_reference_state	7	7	1.0	ACAN,CHAD,CILP,COL2A1,COMP,MATN3,SOX9	
GSE55457	hra_Ch.2_FNDC1	HRA_reference_state	7	6	0.8571428571428571	COL14A1,COL1A1,COL1A2,COL3A1,DCN,LUM	FNDC1
GSE55457	hra_Ch.3_PRG4	HRA_reference_state	6	6	1.0	CRTAC1,GDF5,ITGBL1,PRG4,SPARCL1,THY1	
GSE55457	hra_Ch.4_CFD	HRA_reference_state	6	5	0.8333333333333334	C1R,C1S,CFD,GSN,SERPING1	SELENOP
GSE55457	hra_PCL_progenitor_like	HRA_reference_state	8	8	1.0	ENG,GDF5,ITGA5,ITGB1,MCAM,NT5E,PRG4,THY1	
GSE55457	hra_communication_axes	HRA_reference_state	5	5	1.0	ANGPTL4,CXCL12,MIF,SPP1,VEGFA	
GSE55457	hra_cycling	HRA_reference_state	6	6	1.0	CENPF,HMGB2,MKI67,TOP2A,TYMS,UBE2C	
GSE55457	hra_sasp_ecm_remodeling	HRA_reference_state	10	10	1.0	CCL2,CXCL1,CXCL2,CXCL8,IL6,MMP1,MMP13,MMP3,MMP9,TIMP1	
GSE55457	hra_senescence_arrest	HRA_reference_state	8	8	1.0	CDKN1A,CDKN2A,CDKN2B,GADD45A,GADD45B,GLB1,LMNB1,SERPINE1	
GSE55457	immune_myeloid	immune_celltype	10	10	1.0	AIF1,C1QA,C1QB,CD68,CD74,FCGR3A,LST1,LYZ,PTPRC,TYROBP	
GSE55457	inflammatory_sasp_like	inflammatory_senescence_state	13	12	0.9230769230769231	C1R,C1S,CCL2,CCL3,CFD,CXCL8,FOS,IER3,IL6,JUN,NFKBIA,PTGS2	SOD2
GSE55457	inner_chondrocyte_like	fibrocartilage_state	10	9	0.9	ACAN,CHAD,CILP,COL11A1,COL2A1,COL9A1,COMP,MATN3,SOX9	CILP2
GSE55457	mural_smooth_muscle	vascular_or_contaminating_celltype	6	6	1.0	ACTA2,MCAM,MYH11,PDGFRB,RGS5,TAGLN	
