scope	tissue	n_cohorts	random_effect_smd	random_effect_se	ci95_low	ci95_high	z_score	random_effect_p	tau2	i2_percent	positive_cohorts	negative_cohorts	direction_consistency	contributing_datasets	axis	fdr_bh	evidence_grade
overall	all	9	0.803744987810416	0.19705597700304828	0.4175152728844414	1.1899747027363907	4.078764826290871	4.52756077843424e-05	0.0983631789766342	29.71894049972065	8	1	0.8888888888888888	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	Fibrocartilage_matrix_K14P4	0.00031692925449039683	strong_consistent
overall	all	9	0.29824361810260386	0.4611730466452145	-0.6056555533220165	1.2021427895272243	0.6467065243126534	0.5178218997428854	1.5623417314201258	85.85300424358525	4	5	0.5555555555555556	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	Fibrotic_remodeling_K14P7	0.5178218997428854	heterogeneous_or_inconsistent
overall	all	9	-0.9664929987664357	0.42433395048993705	-1.7981875417267124	-0.13479845580615912	-2.2776706828443034	0.022746205714557387	1.2603825163155	83.23979918754176	1	8	0.8888888888888888	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	Generic_stress_K14P1	0.0678971135154018	heterogeneous_or_inconsistent
overall	all	9	-0.5479933071498356	0.4053493202267002	-1.3424779747941682	0.24649136049449683	-1.3519038513333603	0.17640607534797303	1.1621209005044606	82.48950137321697	3	6	0.6666666666666666	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	MSP_angiogenic_K14P9	0.24696850548716226	heterogeneous_or_inconsistent
overall	all	9	-0.9694543319984212	0.44426649482312425	-1.8402166618517448	-0.09869200214509777	-2.1821459490983894	0.0290987629351722	1.4160078384009087	84.4894556212775	3	6	0.6666666666666666	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	MSP_inflammatory_K14P10	0.0678971135154018	heterogeneous_or_inconsistent
overall	all	9	-0.48082920162647036	0.4025318894528612	-1.2697917049540783	0.3081333017011376	-1.1945120727702698	0.23227772104292221	1.1382854483444862	82.3694002702966	4	5	0.5555555555555556	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	MSP_paracrine_K12P8	0.2709906745500759	heterogeneous_or_inconsistent
overall	all	9	-0.6515900753285676	0.43113480124245296	-1.4966142857637754	0.1934341351066402	-1.511337227824806	0.1307025535976656	1.3511103655378032	84.2872854062709	3	6	0.6666666666666666	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	MSP_paracrine_consensus_K12P8_K14P9	0.22872946879591483	heterogeneous_or_inconsistent
