reference_name	dataset_id	tissue	n_samples	n_states	n_genes_used	median_rmse	priority	common_gene_fraction	n_matched_samples
GSE220243_broad	GSE114007	cartilage	20	7	405	1.856705837591298	high	0.9642857142857143	20
GSE220243_broad	GSE55235	synovium	10	7	372	1.0745908241423903	high	0.8857142857142857	10
GSE220243_broad	GSE55457	synovium	10	7	372	1.099646360712748	high	0.8857142857142857	10
GSE220243_broad	GSE89408	synovium	22	7	407	1.2361116554734317	high	0.969047619047619	22
GSE220243_broad	GSE98918	meniscus	12	7	408	1.1168697900584013	high	0.9714285714285714	12
HRA001986_chondrocyte	GSE114007	cartilage	20	7	406	1.889445143293416	high	0.9666666666666667	20
HRA001986_chondrocyte	GSE98918	meniscus	12	7	407	1.2525888384147654	high	0.969047619047619	12
GSE220243_broad	GSE169077	cartilage	6	7	372	1.0330076521053058	medium	0.8857142857142857	6
HRA001986_chondrocyte	GSE169077	cartilage	6	7	351	1.1801735690570658	medium	0.8357142857142857	6
