leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
1	12	EFEMP1	56.600216	3.2447987	0.0	0.0
1	13	GLUL	56.133026	2.7581387	0.0	0.0
1	14	SERPINF1	56.068516	3.0135908	0.0	0.0
1	15	GPNMB	55.29387	2.5165508	0.0	0.0
1	16	SUN2	55.103516	2.2344468	0.0	0.0
1	17	CYBRD1	54.72869	1.9046038	0.0	0.0
1	18	MT-CO2	52.88255	1.8899493	0.0	0.0
1	19	FBLN2	52.765667	3.3656003	0.0	0.0
1	20	MGST1	52.744102	2.620473	0.0	0.0
1	21	PLTP	52.333553	2.9872487	0.0	0.0
1	22	SRPX	51.401825	4.084023	0.0	0.0
1	23	ADH5	51.026863	2.2077153	0.0	0.0
1	24	CYP1B1	50.635334	2.7308965	0.0	0.0
1	25	PLPP3	50.58897	2.437213	0.0	0.0
1	26	MT-CYB	50.499805	1.8514084	0.0	0.0
1	27	JUN	50.483524	1.9134587	0.0	0.0
1	28	C3	48.00163	4.268515	0.0	0.0
1	29	EEF2	47.77856	1.2981242	0.0	0.0
1	30	APOD	47.733967	3.6903718	0.0	0.0
1	31	MT-ND2	47.5911	1.5464716	0.0	0.0
1	32	VIT	46.430893	3.6611414	0.0	0.0
1	33	EBF1	46.373627	2.3600674	0.0	0.0
1	34	PODN	46.046837	4.0093694	0.0	0.0
1	35	MYC	45.635498	2.4693425	0.0	0.0
1	36	MEDAG	45.248978	2.3595707	0.0	0.0
1	37	TSKU	44.83313	3.196073	0.0	0.0
1	38	CXCL12	44.71164	3.2832744	0.0	0.0
1	39	LTBP4	44.023396	1.8315294	0.0	0.0
1	40	PLA2G2A	43.891132	3.1283607	0.0	0.0
1	41	SCARA5	43.79181	2.976288	0.0	0.0
1	42	MMP14	43.272934	2.6604693	0.0	0.0
1	43	SNED1	43.100853	2.509496	0.0	0.0
1	44	CTSF	43.08466	1.8008769	0.0	0.0
1	45	PDGFRL	43.00758	2.003584	0.0	0.0
1	46	CAT	42.589943	2.3510547	0.0	0.0
1	47	LAMP1	42.430046	1.5768	0.0	0.0
1	48	HLA-E	42.356472	1.3055657	0.0	0.0
1	49	PSAP	42.162605	1.2728039	0.0	0.0
1	50	PTGFR	41.93993	3.0757082	0.0	0.0
1	51	FBLN1	41.508564	2.1643329	0.0	0.0
1	52	CYR61	41.435696	2.0611587	0.0	0.0
1	53	AGTR1	41.35411	4.0743546	6.1214147625354e-311	3.342642255473614e-308
1	54	SREBF1	41.028797	2.5638914	0.0	0.0
1	55	MT-ND4	40.809795	1.3720752	0.0	0.0
1	56	SFRP1	40.59457	3.1219878	0.0	0.0
1	57	MT-ND1	40.21101	1.4101503	2.2435109773853103e-304	1.1910550499941125e-301
1	58	DEPP1	40.049393	2.296761	0.0	0.0
1	59	STOM	39.617584	1.750272	3.94548336491232e-308	2.1241148752170213e-305
1	60	EPHX1	39.201134	2.1770086	2.3827886877092787e-299	1.2476673260136914e-296
1	61	BASP1	38.90389	2.3114653	4.493253670352499e-296	2.2900017106073856e-293
