fibro_leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
0	111	RPS4X	42.82306	0.560546	0.0	0.0
0	112	RACK1	42.790554	0.6075572	0.0	0.0
0	113	WBP2	42.589966	1.3662037	0.0	0.0
0	114	SLC25A37	42.41847	1.2889454	0.0	0.0
0	115	RPS3A	42.408615	0.55121636	0.0	0.0
0	116	CNOT8	42.36469	1.7073541	0.0	0.0
0	117	RGS10	42.332752	1.2954429	0.0	0.0
0	118	SAT2	42.192028	1.186878	0.0	0.0
0	119	RPS5	42.07741	0.6081116	0.0	0.0
0	120	PCBP2	41.815205	1.0085914	0.0	0.0
1	1	GPX3	131.82535	3.6659293	0.0	0.0
1	2	SUN2	96.28995	2.5662866	0.0	0.0
1	3	PABPC1	87.41045	1.7869269	0.0	0.0
1	4	DCXR	85.83969	2.4913902	0.0	0.0
1	5	GALNT15	84.7659	2.4853063	0.0	0.0
1	6	SERPING1	82.30987	1.9044784	0.0	0.0
1	7	PLPP3	81.02438	2.5438025	0.0	0.0
1	8	RHOB	78.794945	1.9225754	0.0	0.0
1	9	CIRBP	78.45424	1.4961357	0.0	0.0
1	10	CCNI	74.66034	1.3662325	0.0	0.0
1	11	EEF1A1	73.42499	0.8256211	0.0	0.0
1	12	CEBPD	71.7497	1.6983765	0.0	0.0
1	13	GLUL	71.4329	2.389381	0.0	0.0
1	14	FBLN1	71.41355	2.1056762	0.0	0.0
1	15	TSC22D3	70.95113	2.1061833	0.0	0.0
1	16	CYBRD1	70.767395	1.6883457	0.0	0.0
1	17	EEF2	69.16283	1.2787546	0.0	0.0
1	18	CNBP	68.17005	1.2438891	0.0	0.0
1	19	MT1X	67.9761	2.1354702	0.0	0.0
1	20	VIM	67.0684	0.96096236	0.0	0.0
1	21	LDHB	66.75715	1.7904742	0.0	0.0
1	22	BTF3	65.03302	1.0135418	0.0	0.0
1	23	KLF15	64.75251	3.222423	0.0	0.0
1	24	DDIT4	64.58411	2.261846	0.0	0.0
1	25	GPM6B	62.943615	2.8370473	0.0	0.0
1	26	SNHG7	62.833496	1.6147956	0.0	0.0
1	27	CYP4B1	61.694992	4.389399	0.0	0.0
1	28	TXNIP	60.01381	1.7170118	0.0	0.0
1	29	ASS1	59.434483	2.0415106	0.0	0.0
1	30	RPS26	57.73688	1.1075902	0.0	0.0
1	31	ADH5	57.72968	1.8318582	0.0	0.0
1	32	STK24	57.109726	1.7463728	0.0	0.0
1	33	ZFP36	56.933624	1.7826225	0.0	0.0
1	34	EIF4A2	56.86897	1.2165934	0.0	0.0
1	35	MFGE8	56.538044	1.3340122	0.0	0.0
1	36	CDO1	56.223625	1.4970541	0.0	0.0
1	37	PCBP2	55.66698	1.28546	0.0	0.0
1	38	SNHG12	55.536613	1.8157399	0.0	0.0
1	39	SLPI	55.472992	2.5411887	0.0	0.0
1	40	SLC25A3	55.02606	1.1006323	0.0	0.0
1	41	GDI2	55.013206	1.5132189	0.0	0.0
1	42	ZBTB16	54.649235	1.8634318	0.0	0.0
1	43	ANGPTL7	54.43602	2.6504283	0.0	0.0
1	44	HLA-E	54.136555	1.2027858	0.0	0.0
1	45	GYG1	53.740402	2.0072157	0.0	0.0
1	46	EIF3L	53.465668	1.3483809	0.0	0.0
1	47	CAVIN1	53.433277	1.3570781	0.0	0.0
1	48	PNPLA2	53.357445	1.8013728	0.0	0.0
1	49	CCT4	53.0645	1.5078951	0.0	0.0
1	50	APOD	50.896713	2.59348	0.0	0.0
1	51	XIST	50.87811	1.72878	0.0	0.0
1	52	MTHFD2	50.7905	1.8936045	0.0	0.0
1	53	EIF3F	50.415028	1.1996603	0.0	0.0
1	54	HNRNPF	50.189	1.3693216	0.0	0.0
1	55	RACK1	50.137466	0.69897854	0.0	0.0
1	56	OXA1L	49.992718	1.733116	0.0	0.0
1	57	ZFAND5	49.769905	1.3914706	0.0	0.0
1	58	KLF9	49.7354	1.3214507	0.0	0.0
1	59	FAXDC2	49.706593	1.9470943	0.0	0.0
1	60	MPST	49.678593	1.6858726	0.0	0.0
1	61	PDK4	49.60528	2.1387198	0.0	0.0
1	62	CNOT8	48.868362	1.8998427	0.0	0.0
1	63	CCNB1IP1	47.85417	1.4961737	0.0	0.0
1	64	POLR1D	47.83978	1.2558302	0.0	0.0
1	65	YBX3	47.602787	0.9233661	0.0	0.0
1	66	LETMD1	46.398453	1.6604019	0.0	0.0
1	67	UBXN1	46.38539	1.1398594	0.0	0.0
1	68	IGFBP6	46.281384	1.6680577	0.0	0.0
1	69	KHDRBS1	46.20174	1.237116	0.0	0.0
1	70	CSDE1	45.444843	1.0769601	0.0	0.0
1	71	CCDC3	45.23998	2.3220172	0.0	0.0
1	72	EBPL	45.107517	1.3799301	0.0	0.0
1	73	SNX3	45.018	0.9836433	0.0	0.0
1	74	FOXO1	44.951134	1.399728	0.0	0.0
1	75	RBM3	44.848293	0.99628544	0.0	0.0
1	76	C8orf59	44.643333	1.3270531	0.0	0.0
1	77	ALDH2	44.562138	1.5703909	0.0	0.0
1	78	EIF4B	44.53293	1.0762964	0.0	0.0
1	79	GSN	43.950718	1.404682	0.0	0.0
1	80	H1FX	43.613697	1.205682	0.0	0.0
1	81	LINC01088	43.487534	3.035977	0.0	0.0
1	82	NPC2	43.019287	0.98201007	0.0	0.0
1	83	PABPC4	42.88347	1.3533392	0.0	0.0
1	84	EIF3E	42.47102	0.8318828	0.0	0.0
1	85	TMOD1	42.438072	1.8058331	0.0	0.0
1	86	BTG2	42.154377	1.2830226	0.0	0.0
1	87	KLF4	42.133286	1.2009261	0.0	0.0
1	88	SPSB3	41.750454	1.5017142	0.0	0.0
1	89	RPSA	41.6568	0.66497725	0.0	0.0
1	90	LTBP4	41.653946	1.222622	0.0	0.0
1	91	FADS3	41.556408	1.6914322	0.0	0.0
1	92	CMPK1	41.414253	1.1080152	0.0	0.0
1	93	CCNG1	41.38344	1.6694131	0.0	0.0
1	94	ADI1	41.31347	1.2789875	0.0	0.0
1	95	PPP2R1A	41.2318	1.5366069	0.0	0.0
1	96	TMEM120A	41.161037	1.665341	0.0	0.0
1	97	MMP3	40.854275	2.3936014	0.0	0.0
1	98	TMBIM1	40.78247	1.1944926	0.0	0.0
1	99	PHB2	40.739017	1.1114997	0.0	0.0
1	100	EFHD1	40.671066	1.9767499	0.0	0.0
1	101	UBE2D3	40.39493	0.9115646	0.0	0.0
1	102	PCOLCE2	40.289642	0.9952171	0.0	0.0
1	103	JAGN1	40.198444	1.3620354	0.0	0.0
1	104	IGBP1	40.19722	1.2019358	0.0	0.0
1	105	VPS51	40.03784	1.497881	0.0	0.0
1	106	HSD17B11	39.952972	1.7567457	0.0	0.0
1	107	C1orf43	39.9059	1.153636	0.0	0.0
1	108	TKT	39.750423	1.3327681	0.0	0.0
1	109	C1R	39.660007	1.2146626	0.0	0.0
1	110	ABHD14B	39.460506	1.5251789	0.0	0.0
1	111	CHPT1	39.349407	1.3261309	0.0	0.0
1	112	PMP22	39.16229	0.8485698	0.0	0.0
1	113	ESD	39.05847	0.9580762	0.0	0.0
1	114	MAMDC2	39.053223	1.6972582	0.0	0.0
1	115	PRR13	38.9946	1.3412751	0.0	0.0
1	116	DSE	38.890995	1.4540396	0.0	0.0
1	117	PSMG2	38.74222	1.0769477	6.2293736019393e-311	1.240164461252757e-308
1	118	RPL4	38.705273	0.721507	9.83095808624444e-310	1.947039077143043e-307
1	119	RSL24D1	38.681347	0.8984581	1.62623838229613e-309	3.204192573447794e-307
1	120	PIK3R1	38.627388	1.2132101	2.880449667682816e-309	5.6462722101286125e-307
2	1	SNHG6	91.327065	3.8532665	0.0	0.0
2	2	GAS5	87.732376	3.8519065	0.0	0.0
2	3	RPL17	80.848114	3.835446	0.0	0.0
2	4	SNHG5	78.02029	3.5207968	0.0	0.0
2	5	GABARAP	72.77942	3.1653676	0.0	0.0
2	6	EEF1G	72.43606	3.3017995	0.0	0.0
2	7	SERPINA3	69.89523	4.4809375	0.0	0.0
2	8	SNHG29	65.563065	3.1451943	0.0	0.0
2	9	MRPS24	60.039455	3.0728228	0.0	0.0
2	10	RNASEK	59.621155	2.7405026	0.0	0.0
2	11	ECRG4	59.47598	3.6970665	0.0	0.0
2	12	RBIS	58.93871	3.1364021	0.0	0.0
2	13	ATP6V0C	58.533375	2.9633884	0.0	0.0
2	14	RPS17	58.311005	2.6134818	0.0	0.0
2	15	LINC01578	57.894928	2.9218652	0.0	0.0
2	16	DANCR	56.4065	3.291831	0.0	0.0
2	17	RPL36A	54.361374	2.0749915	0.0	0.0
2	18	CCNB1IP1	53.688732	2.3640382	0.0	0.0
2	19	LINC00632	53.587303	2.8360868	0.0	0.0
2	20	SNHG1	51.808468	3.5866745	0.0	0.0
2	21	CIAO2B	51.590443	2.8474321	0.0	0.0
2	22	NME2	50.77828	2.5573404	0.0	0.0
2	23	POLD4	50.71308	3.0012608	0.0	0.0
2	24	EPB41L4A-AS1	49.116802	1.8273858	0.0	0.0
2	25	SSR3	47.94467	1.7532586	0.0	0.0
2	26	SEPTIN7	47.5194	2.4818149	0.0	0.0
2	27	SNHG16	47.169216	3.0028667	0.0	0.0
2	28	S100A1	46.165096	2.880232	0.0	0.0
2	29	MIF	45.765274	1.9004493	0.0	0.0
2	30	MT1E	43.498756	2.5755265	0.0	0.0
