subtype_id	subtype_label	signature	signature_class	proxy_column	n_samples	mean_proxy_score	median_proxy_score	sd_proxy_score	rank_within_subtype
S2	mixed_low	inner_chondrocyte_like	fibrocartilage_state	proxy_inner_chondrocyte_like	45	-0.08872822557097271	-0.13392747252911313	0.6051128987436036	9
S2	mixed_low	fibrochondrocyte_matrix	fibrocartilage_state	proxy_fibrochondrocyte_matrix	45	-0.10631293796978532	-0.14375315157130064	0.5372955799862333	10
S2	mixed_low	hra_Ch.1_CHAD_matrix	HRA_reference_state	proxy_hra_Ch.1_CHAD_matrix	45	-0.10640050313884115	-0.13010905043726936	0.5801688177027633	11
S2	mixed_low	endothelial	vascular_or_contaminating_celltype	proxy_endothelial	45	-0.1228682486701246	-0.03635060600863062	0.682116658961871	12
S2	mixed_low	hra_PCL_progenitor_like	HRA_reference_state	proxy_hra_PCL_progenitor_like	45	-0.1638591155302937	-0.15685633574058358	0.49518096498143077	13
S2	mixed_low	catabolic_hypertrophic	catabolic_remodeling_state	proxy_catabolic_hypertrophic	45	-0.18801546632803678	-0.2470840290916764	0.610082941992889	14
S2	mixed_low	t_nk	immune_celltype	proxy_t_nk	45	-0.2168014044432036	-0.22464901911236143	0.7879260393155932	15
S2	mixed_low	hra_sasp_ecm_remodeling	HRA_reference_state	proxy_hra_sasp_ecm_remodeling	45	-0.22665548662402882	-0.30822108221368016	0.6270008322763272	16
S2	mixed_low	sasp_matrix_remodeling	inflammatory_senescence_state	proxy_sasp_matrix_remodeling	45	-0.22955871405152106	-0.31604056208669945	0.5799293088486589	17
S2	mixed_low	angiogenic_interface	communication_state	proxy_angiogenic_interface	45	-0.25709703178699544	-0.285446946632542	0.4784100335986311	18
S2	mixed_low	hra_communication_axes	HRA_reference_state	proxy_hra_communication_axes	45	-0.2710101720111989	-0.2718896098233313	0.517910549982568	19
S2	mixed_low	communication_axes	communication_state	proxy_communication_axes	45	-0.278241973443802	-0.2718896098233313	0.5132418314839927	20
S2	mixed_low	hra_cycling	HRA_reference_state	proxy_hra_cycling	45	-0.2954605047966186	-0.2797584009872212	0.6509317536230501	21
S2	mixed_low	cycling	cycling_state	proxy_cycling	45	-0.2954605047966186	-0.2797584009872212	0.6509317536230501	22
S2	mixed_low	b_plasma	immune_celltype	proxy_b_plasma	45	-0.34751365950180524	-0.3885123272151719	0.6870309301999854	23
S2	mixed_low	inflammatory_sasp_like	inflammatory_senescence_state	proxy_inflammatory_sasp_like	45	-0.3592911313612362	-0.36191519525000637	0.6421753014213147	24
S2	mixed_low	hra_senescence_arrest	HRA_reference_state	proxy_hra_senescence_arrest	45	-0.3683370013606758	-0.36041283378998723	0.4978686802396645	25
S2	mixed_low	senescence_arrest	inflammatory_senescence_state	proxy_senescence_arrest	45	-0.3683370013606758	-0.36041283378998723	0.4978686802396645	26
