k	expected_runs	completed_runs	merged_spectra_exists	k_selection_stats_exists	consensus_usage_exists	gene_spectra_score_exists	gene_spectra_tpm_exists	usage_has_nan	silhouette	prediction_error
5	5	5	True	True	True	True	True	False	0.8168480240484329	4518963.843377862
8	5	5	True	True	True	True	True	False	0.8330535104351263	4406314.075444296
