dataset_id	gsm_id	sample_label	tissue	disease_status	region	replicate	barcodes_path	features_path	matrix_path	barcodes_size_bytes	features_size_bytes	matrix_size_bytes	analysis_include
GSE220243	GSM6797161	MenNorm1VAS	meniscus	normal	vascular	1	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797161_MenNorm1VAS_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797161_MenNorm1VAS_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797161_MenNorm1VAS_matrix.mtx.gz	36667	270603	70318244	TRUE
GSE220243	GSM6797162	MenNorm2	meniscus	normal	not_reported	2	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797162_MenNorm2_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797162_MenNorm2_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797162_MenNorm2_matrix.mtx.gz	35302	270600	59589212	TRUE
GSE220243	GSM6797163	MenNorm3	meniscus	normal	not_reported	3	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797163_MenNorm3_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797163_MenNorm3_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797163_MenNorm3_matrix.mtx.gz	31545	270600	51764828	TRUE
GSE220243	GSM6797164	MenNorm4	meniscus	normal	not_reported	4	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797164_MenNorm4_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797164_MenNorm4_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797164_MenNorm4_matrix.mtx.gz	19367598	270600	82471049	TRUE
GSE220243	GSM6797165	MenNorm5	meniscus	normal	not_reported	5	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797165_MenNorm5_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797165_MenNorm5_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797165_MenNorm5_matrix.mtx.gz	21858	294505	48033434	TRUE
GSE220243	GSM6797166	MenNorm6	meniscus	normal	not_reported	6	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797166_MenNorm6_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797166_MenNorm6_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797166_MenNorm6_matrix.mtx.gz	34744	294505	61565697	TRUE
GSE220243	GSM6797167	MenNorm7	meniscus	normal	not_reported	7	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797167_MenNorm7_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797167_MenNorm7_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797167_MenNorm7_matrix.mtx.gz	28689	294505	60446309	TRUE
GSE220243	GSM6797168	MenOA1	meniscus	OA	not_reported	1	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797168_MenOA1_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797168_MenOA1_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797168_MenOA1_matrix.mtx.gz	19367600	270598	91290067	TRUE
GSE220243	GSM6797169	MenOA2	meniscus	OA	not_reported	2	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797169_MenOA2_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797169_MenOA2_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797169_MenOA2_matrix.mtx.gz	26172	270598	48339295	TRUE
GSE220243	GSM6797170	MenOA3	meniscus	OA	not_reported	3	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797170_MenOA3_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797170_MenOA3_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797170_MenOA3_matrix.mtx.gz	18344	270598	29658061	TRUE
GSE220243	GSM6797171	MenOA4	meniscus	OA	not_reported	4	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797171_MenOA4_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797171_MenOA4_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797171_MenOA4_matrix.mtx.gz	49899	270598	72103019	TRUE
GSE220243	GSM6797172	MenOA5	meniscus	OA	not_reported	5	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797172_MenOA5_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797172_MenOA5_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797172_MenOA5_matrix.mtx.gz	25275	294503	44314002	TRUE
GSE220243	GSM6797173	MenOA6	meniscus	OA	not_reported	6	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797173_MenOA6_barcodes.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797173_MenOA6_features.tsv.gz	G:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑扩展资料\raw_large\single_cell\GSE220243\extracted\GSM6797173_MenOA6_matrix.mtx.gz	29966	294503	59404483	TRUE
