dataset_id	file_name	path	n_cells	n_genes	size_bytes	matrix_kind	has_status	has_anatomy	has_celltype	obs_columns	var_columns
HRA001986	meniscal_chondrocyte.h5ad	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\raw\HRA001986\meniscal_chondrocyte.h5ad	28686	21473	234779038	normalized_log_expression	True	True	True	orig.ident;nCount_RNA;nFeature_RNA;project;percent_mito;phase;status;anatomy;percent.disso;celltype	vst.mean;vst.variance;vst.variance.expected;vst.variance.standardized;vst.variable
HRA001986	meniscal_endo.h5ad	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\raw\HRA001986\meniscal_endo.h5ad	3650	21473	44393051	normalized_log_expression	True	True	True	phase;nCount_RNA;nFeature_RNA;project;anatomy;status;percent_mito;celltype	vst.mean;vst.variance;vst.variance.expected;vst.variance.standardized;vst.variable
HRA001986	meniscal_immune.h5ad	F:\半月板特异性衰老程序连接纤维软骨细胞命运障碍与膝骨关节炎滑膜-软骨炎症重塑\data\raw\HRA001986\meniscal_immune.h5ad	2626	21473	33094415	normalized_log_expression	False	False	True	phase;nCount_RNA;nFeature_RNA;project;percent_mito;ann210815	vst.mean;vst.variance;vst.variance.expected;vst.variance.standardized;vst.variable
